time,open,high,low,close,Volume
1246539600,2140,2181,2085,2175,10915
1246845600,2130,2146,2100,2129,8318
1246885200,2126,2133,2059,2069,10797
1246971600,2010,2014,1983,2002,9790
1247058000,2010,2047,2000,2047,7930
1247144400,2040,2058,2002,2010,7908
1247450400,2010,2035,1964,1990,7427
1247490000,2023,2078,2023,2036,6771
1247576400,2054,2124,2049,2103,8508
1247662800,2085,2100,2020,2020,9215
1247749200,2035,2123,2028,2123,7437
1248055200,2165,2184,2144,2160,7975
1248094800,2140,2162,2128,2143,8715
1248181200,2126,2135,2078,2083,10878
1248267600,2103,2123,2091,2100,8488
1248354000,2104,2134,2063,2122,7858
1248660000,2090,2116,2085,2098,6514
1248699600,2125,2146,2106,2140,10682
1248786000,2128,2158,2109,2113,9961
1248872400,2111,2155,2098,2145,7581
1248958800,2206,2248,2175,2189,12690
1249264800,2232,2296,2225,2295,8612
1249304400,2339,2345,2288,2304,11204
1249390800,2331,2357,2304,2335,10840
1249477200,2300,2345,2275,2325,11408
1249563600,2306,2345,2306,2340,7124
1249869600,2380,2424,2354,2400,9587
1249909200,2392,2471,2376,2465,13754
1249995600,2490,2490,2410,2460,10309
1250082000,2467,2521,2446,2515,11399
1250168400,2482,2510,2424,2441,12274
1250474400,2371,2397,2325,2335,12582
1250514000,2360,2390,2355,2375,8652
1250600400,2390,2397,2284,2299,20092
1250686800,2330,2353,2301,2301,14644
1250773200,2320,2346,2234,2345,13092
1251079200,2378,2402,2364,2375,12761
1251118800,2367,2373,2323,2355,9931
1251205200,2364,2385,2337,2357,9427
1251291600,2360,2369,2335,2346,7488
1251378000,2357,2375,2352,2370,7238
1251723600,2312,2335,2299,2303,10203
1251810000,2279,2280,2220,2245,11213
1251896400,2226,2258,2218,2218,7323
1251982800,2218,2236,2197,2197,7349
1252288800,2168,2171,2125,2130,9668
1252328400,2141,2210,2135,2210,8801
1252414800,2201,2217,2170,2179,10963
1252501200,2180,2240,2135,2184,12256
1252587600,2194,2205,2140,2145,8408
1252893600,2101,2119,2070,2070,10468
1252933200,2098,2118,2085,2100,9253
1253019600,2122,2181,2122,2181,13761
1253106000,2180,2193,2165,2182,6661
