time,open,high,low,close,Volume
1472648400,2501,2522,2487,2520,17199
1472734800,2543,2598,2538,2595,16127
1473040800,2596,2658,2596,2644,25089
1473080400,2650,2662,2628,2629,21839
1473166800,2626,2628,2594,2598,20368
1473253200,2608,2623,2588,2609,15969
1473339600,2629,2656,2620,2640,15940
1473685200,2616,2645,2589,2592,27843
1473771600,2568,2576,2547,2564,29197
1473858000,2553,2610,2553,2594,22412
1474250400,2578,2654,2567,2642,26091
1474290000,2680,2725,2677,2693,23768
1474376400,2718,2728,2675,2677,23886
1474462800,2696,2729,2658,2725,26520
1474549200,2720,2728,2673,2676,24333
1474855200,2699,2737,2690,2715,22350
1474894800,2700,2705,2657,2663,18190
1474981200,2666,2676,2596,2605,29930
1475067600,2617,2631,2581,2616,25747
1475154000,2606,2643,2603,2636,18616
1475499600,2606,2620,2577,2600,28833
1475586000,2600,2610,2554,2556,27838
1475672400,2552,2582,2538,2579,25669
1475758800,2600,2609,2559,2561,23676
1476064800,2568,2580,2539,2542,21930
1476104400,2573,2615,2560,2611,27623
1476190800,2607,2661,2605,2653,22027
1476277200,2649,2659,2606,2618,21884
1476363600,2634,2683,2614,2660,26902
1476669600,2736,2778,2732,2768,21420
1476709200,2788,2800,2712,2714,31663
1476795600,2729,2752,2707,2732,27940
1476882000,2741,2756,2699,2718,25267
1476968400,2700,2735,2691,2724,25888
1477274400,2739,2828,2731,2822,24977
1477314000,2812,2822,2756,2760,25668
1477400400,2774,2806,2768,2796,22003
1477486800,2802,2820,2765,2786,31110
1477573200,2778,2807,2767,2788,18705
1477879200,2780,2787,2756,2763,19026
1477918800,2783,2792,2730,2732,19353
1478005200,2720,2764,2712,2758,24909
1478091600,2749,2776,2739,2774,27532
1478178000,2761,2776,2734,2736,18369
1478484000,2746,2794,2746,2789,22052
1478523600,2775,2863,2765,2843,25321
1478610000,2818,2860,2805,2845,23298
1478696400,2818,2903,2810,2894,21731
1478782800,2963,3089,2963,2974,31377
1479088800,2917,2922,2829,2852,27420
1479128400,2880,2900,2817,2824,26297
1479214800,2838,2885,2832,2855,25459
1479301200,2851,2907,2847,2876,27696
1479387600,2856,2876,2843,2869,23243
1479693600,2908,2931,2897,2919,23477
1479733200,2919,2944,2919,2928,14325
1479819600,2934,2961,2933,2954,13744
1479906000,3090,3098,2983,3004,20343
1479992400,2998,3046,2991,3032,20066
1480298400,3047,3079,3032,3077,19556
1480338000,3061,3072,3032,3050,16398
1480424400,3067,3083,3017,3073,25316
1480510800,3075,3091,3046,3079,20962
1480597200,3106,3106,3069,3076,23721
1480903200,3081,3148,3076,3135,21372
1480942800,3118,3185,3105,3183,21248
1481029200,3165,3188,3138,3142,26025
1481115600,3112,3129,3108,3113,12972
1481202000,3078,3106,3056,3069,21398
1481547600,3073,3102,3051,3098,15697
1481634000,3082,3141,3079,3125,15553
1481720400,3135,3193,3131,3185,20356
1481806800,3190,3202,3151,3161,24813
1482112800,3191,3202,3139,3142,17725
1482152400,3115,3126,3092,3093,21057
1482238800,3093,3131,3082,3114,17612
1482325200,3096,3124,3070,3076,17592
1482411600,3013,3061,3013,3060,17131
1482757200,3065,3134,3065,3128,16077
1482843600,3124,3153,3121,3130,19364
1482930000,3115,3128,3084,3106,20676
1483016400,3095,3121,3088,3109,14300
1483362000,3133,3172,3133,3163,18668
1483448400,3138,3153,3130,3141,14456
1483534800,3164,3164,3094,3096,19610
1483621200,3100,3100,3028,3075,29823
1483927200,3080,3121,3079,3112,18748
1483966800,3116,3144,3080,3082,25913
1484053200,3095,3140,3093,3133,29033
1484139600,3132,3133,3103,3116,25175
1484226000,3130,3150,3108,3120,23117
1484532000,3062,3111,3062,3110,20216
1484571600,3113,3160,3110,3159,18565
1484658000,3145,3175,3141,3150,20693
1484744400,3157,3171,3130,3131,21405
1484830800,3107,3130,3095,3101,16700
1485136800,3114,3115,3089,3096,12333
1485176400,3120,3163,3113,3149,21778
1485262800,3131,3150,3106,3125,18204
1485349200,3109,3119,3084,3087,23646
1485435600,3052,3073,3051,3070,7113
1485781200,3030,3037,3014,3029,20335
1485954000,3069,3085,3058,3072,25586
1486040400,3054,3072,3045,3055,21290
1486346400,3037,3070,3032,3068,17787
1486386000,3090,3094,3057,3082,25147
1486472400,3101,3127,3095,3098,21443
1486645200,3120,3135,3068,3071,23351
1486951200,3087,3093,3019,3036,27606
1486990800,3020,3058,3011,3049,24833
1487077200,3057,3075,3051,3067,18209
1487163600,2976,2986,2925,2929,29705
1487250000,2901,2908,2851,2859,32386
1487556000,2860,2882,2827,2831,33237
1487595600,2854,2860,2777,2783,34470
1487682000,2792,2812,2763,2809,42390
1487768400,2806,2810,2743,2782,44068
1487854800,2770,2808,2763,2806,31650
1488160800,2815,2815,2751,2754,26699
1488200400,2758,2773,2723,2770,35810
1488286800,2818,2835,2783,2831,33456
1488373200,2815,2864,2812,2862,26924
1488459600,2851,2869,2833,2863,23403
1488765600,2874,2898,2872,2893,19525
1488805200,2872,2875,2841,2859,14764
1488891600,2831,2880,2821,2875,20675
1488978000,2853,2872,2826,2839,29313
1489064400,2800,2810,2769,2771,23715
1489370400,2770,2806,2717,2723,30785
1489410000,2711,2765,2697,2752,31290
