time,open,high,low,close
2023-11-02T08:43:00Z,3800,3800,3798,3799
2023-11-02T08:44:00Z,3799,3800,3799,3799
2023-11-02T08:45:00Z,3799,3800,3797,3798
2023-11-02T08:46:00Z,3798,3798,3793,3794
2023-11-02T08:47:00Z,3793,3793,3790,3790
2023-11-02T08:48:00Z,3790,3792,3790,3792
2023-11-02T08:49:00Z,3791,3791,3790,3790
2023-11-02T08:50:00Z,3791,3792,3790,3790
2023-11-02T08:51:00Z,3790,3790,3789,3789
2023-11-02T08:52:00Z,3790,3791,3790,3791
2023-11-02T08:53:00Z,3791,3792,3791,3792
2023-11-02T08:54:00Z,3792,3793,3792,3793
2023-11-02T08:55:00Z,3793,3793,3791,3793
2023-11-02T08:56:00Z,3793,3793,3793,3793
2023-11-02T08:57:00Z,3792,3792,3790,3790
2023-11-02T08:58:00Z,3790,3791,3790,3791
2023-11-02T08:59:00Z,3792,3792,3792,3792
2023-11-02T09:00:00Z,3793,3794,3790,3791
2023-11-02T09:01:00Z,3792,3792,3791,3791
2023-11-02T09:02:00Z,3791,3793,3790,3790
2023-11-02T09:03:00Z,3791,3791,3790,3791
2023-11-02T09:04:00Z,3792,3794,3792,3793
2023-11-02T09:05:00Z,3793,3793,3791,3791
2023-11-02T09:06:00Z,3791,3791,3791,3791
2023-11-02T09:07:00Z,3790,3790,3787,3790
2023-11-02T09:08:00Z,3790,3790,3790,3790
2023-11-02T09:09:00Z,3791,3793,3791,3793
2023-11-02T09:10:00Z,3792,3794,3792,3794
2023-11-02T09:11:00Z,3795,3795,3794,3794
2023-11-02T09:12:00Z,3794,3794,3794,3794
2023-11-02T09:13:00Z,3794,3795,3793,3794
2023-11-02T09:14:00Z,3795,3798,3795,3797
2023-11-02T09:15:00Z,3797,3798,3796,3797
2023-11-02T09:16:00Z,3797,3798,3795,3796
2023-11-02T09:17:00Z,3796,3796,3793,3795
2023-11-02T09:18:00Z,3796,3797,3796,3797
2023-11-02T09:19:00Z,3796,3798,3796,3797
2023-11-02T09:20:00Z,3796,3798,3796,3798
2023-11-02T09:21:00Z,3798,3799,3797,3798
2023-11-02T09:22:00Z,3797,3797,3794,3794
2023-11-02T09:23:00Z,3793,3793,3791,3791
2023-11-02T09:24:00Z,3792,3792,3792,3792
2023-11-02T09:25:00Z,3792,3792,3790,3790
2023-11-02T09:26:00Z,3791,3791,3788,3789
2023-11-02T09:27:00Z,3789,3791,3788,3788
2023-11-02T09:28:00Z,3789,3791,3789,3789
2023-11-02T09:29:00Z,3790,3791,3789,3789
2023-11-02T09:30:00Z,3790,3794,3790,3792
2023-11-02T09:31:00Z,3792,3792,3791,3791
2023-11-02T09:32:00Z,3791,3791,3787,3789
2023-11-02T09:33:00Z,3789,3790,3786,3789
2023-11-02T09:34:00Z,3790,3790,3786,3788
2023-11-02T09:35:00Z,3788,3789,3783,3785
2023-11-02T09:36:00Z,3785,3785,3781,3782
2023-11-02T09:37:00Z,3782,3783,3781,3782
2023-11-02T09:38:00Z,3782,3784,3778,3779
2023-11-02T09:39:00Z,3779,3780,3778,3778
2023-11-02T09:40:00Z,3778,3780,3776,3780
2023-11-02T09:41:00Z,3779,3779,3775,3779
2023-11-02T09:42:00Z,3779,3779,3775,3777
2023-11-02T09:43:00Z,3777,3778,3776,3778
2023-11-02T09:44:00Z,3778,3778,3771,3772
2023-11-02T09:45:00Z,3774,3776,3770,3773
