time,open,high,low,close
2024-01-10T02:45:00Z,3746,3747,3746,3746
2024-01-10T02:46:00Z,3748,3748,3748,3748
2024-01-10T02:47:00Z,3748,3748,3747,3747
2024-01-10T02:49:00Z,3746,3746,3745,3745
2024-01-10T02:51:00Z,3746,3746,3746,3746
2024-01-10T02:52:00Z,3744,3744,3744,3744
2024-01-10T02:54:00Z,3745,3745,3745,3745
2024-01-10T02:55:00Z,3745,3745,3745,3745
2024-01-10T02:56:00Z,3746,3746,3746,3746
2024-01-10T02:57:00Z,3746,3746,3745,3745
2024-01-10T02:58:00Z,3744,3744,3744,3744
2024-01-10T02:59:00Z,3744,3744,3744,3744
2024-01-10T03:00:00Z,3744,3744,3744,3744
2024-01-10T03:02:00Z,3745,3745,3745,3745
2024-01-10T03:03:00Z,3748,3748,3748,3748
2024-01-10T03:04:00Z,3749,3749,3749,3749
2024-01-10T03:05:00Z,3752,3752,3751,3751
2024-01-10T03:06:00Z,3751,3751,3751,3751
2024-01-10T03:07:00Z,3750,3750,3749,3749
2024-01-10T03:08:00Z,3749,3749,3749,3749
2024-01-10T03:10:00Z,3749,3749,3749,3749
2024-01-10T03:11:00Z,3749,3749,3748,3748
2024-01-10T03:13:00Z,3748,3748,3748,3748
2024-01-10T03:14:00Z,3750,3756,3750,3754
2024-01-10T03:15:00Z,3754,3754,3754,3754
2024-01-10T03:16:00Z,3758,3758,3758,3758
2024-01-10T03:17:00Z,3757,3759,3757,3759
2024-01-10T03:18:00Z,3760,3761,3758,3761
2024-01-10T03:19:00Z,3761,3763,3760,3763
2024-01-10T03:20:00Z,3761,3761,3761,3761
2024-01-10T03:21:00Z,3761,3761,3761,3761
2024-01-10T03:22:00Z,3764,3764,3763,3763
2024-01-10T03:23:00Z,3765,3765,3764,3764
2024-01-10T03:25:00Z,3763,3763,3762,3763
2024-01-10T03:27:00Z,3765,3765,3765,3765
2024-01-10T03:28:00Z,3764,3765,3764,3765
2024-01-10T03:29:00Z,3765,3765,3765,3765
2024-01-10T03:32:00Z,3760,3760,3760,3760
2024-01-10T03:35:00Z,3759,3759,3750,3750
2024-01-10T03:40:00Z,3754,3754,3753,3753
2024-01-10T03:44:00Z,3758,3758,3758,3758
2024-01-10T03:45:00Z,3756,3756,3756,3756
2024-01-10T03:47:00Z,3754,3754,3754,3754
2024-01-10T03:57:00Z,3758,3758,3758,3758
2024-01-10T03:59:00Z,3760,3760,3760,3760
2024-01-10T04:00:00Z,3760,3760,3760,3760
2024-01-10T04:02:00Z,3760,3760,3760,3760
2024-01-10T04:06:00Z,3758,3758,3758,3758
2024-01-10T04:07:00Z,3758,3758,3758,3758
2024-01-10T04:14:00Z,3760,3760,3760,3760
2024-01-10T04:15:00Z,3761,3761,3760,3760
2024-01-10T04:17:00Z,3760,3760,3760,3760
2024-01-10T04:19:00Z,3758,3758,3757,3758
2024-01-10T04:20:00Z,3756,3756,3755,3755
2024-01-10T04:23:00Z,3760,3762,3760,3762
2024-01-10T04:27:00Z,3758,3758,3758,3758
2024-01-10T06:30:00Z,3781,3798,3781,3793
2024-01-10T06:31:00Z,3791,3794,3788,3792
