time,open,high,low,close
2024-02-09T09:38:00Z,3928,3928,3928,3928
2024-02-09T09:40:00Z,3926,3926,3926,3926
2024-02-09T09:43:00Z,3924,3925,3924,3925
2024-02-09T09:47:00Z,3923,3923,3918,3918
2024-02-09T09:48:00Z,3921,3929,3921,3929
2024-02-09T09:49:00Z,3928,3928,3928,3928
2024-02-09T09:50:00Z,3928,3928,3928,3928
2024-02-09T09:51:00Z,3927,3927,3927,3927
2024-02-09T09:52:00Z,3929,3929,3929,3929
2024-02-09T09:53:00Z,3930,3931,3930,3931
2024-02-09T09:54:00Z,3931,3933,3931,3933
2024-02-09T09:55:00Z,3935,3940,3935,3940
2024-02-09T09:56:00Z,3936,3936,3936,3936
2024-02-09T09:58:00Z,3920,3920,3920,3920
2024-02-09T09:59:00Z,3918,3919,3910,3911
2024-02-13T02:30:00Z,3919,3920,3918,3918
2024-02-13T02:31:00Z,3893,3893,3892,3893
2024-02-13T02:32:00Z,3895,3895,3895,3895
2024-02-13T02:33:00Z,3899,3900,3899,3900
2024-02-13T02:34:00Z,3899,3903,3899,3903
2024-02-13T02:35:00Z,3905,3908,3905,3908
2024-02-13T02:36:00Z,3900,3901,3900,3901
2024-02-13T02:37:00Z,3900,3901,3900,3901
2024-02-13T02:38:00Z,3901,3901,3886,3886
2024-02-13T02:41:00Z,3886,3886,3886,3886
2024-02-13T02:42:00Z,3884,3884,3882,3882
2024-02-13T02:44:00Z,3882,3882,3882,3882
2024-02-13T02:47:00Z,3881,3881,3881,3881
2024-02-13T02:48:00Z,3880,3880,3875,3875
2024-02-13T02:51:00Z,3878,3878,3878,3878
2024-02-13T02:53:00Z,3876,3876,3876,3876
2024-02-13T02:54:00Z,3878,3884,3878,3884
2024-02-13T03:00:00Z,3890,3890,3890,3890
2024-02-13T03:08:00Z,3890,3890,3890,3890
2024-02-13T03:09:00Z,3886,3887,3886,3887
2024-02-13T03:16:00Z,3888,3888,3888,3888
2024-02-13T03:18:00Z,3888,3888,3888,3888
2024-02-13T03:22:00Z,3886,3886,3886,3886
2024-02-13T03:24:00Z,3887,3887,3887,3887
2024-02-13T03:28:00Z,3891,3893,3891,3893
2024-02-13T03:29:00Z,3893,3893,3892,3892
2024-02-13T03:31:00Z,3897,3897,3895,3895
2024-02-13T03:32:00Z,3895,3895,3895,3895
2024-02-13T03:34:00Z,3892,3892,3892,3892
2024-02-13T03:38:00Z,3894,3894,3894,3894
2024-02-13T03:45:00Z,3891,3891,3891,3891
2024-02-13T03:48:00Z,3886,3886,3886,3886
2024-02-13T03:49:00Z,3887,3887,3886,3886
2024-02-13T03:50:00Z,3886,3886,3886,3886
2024-02-13T03:53:00Z,3884,3885,3884,3885
2024-02-13T03:57:00Z,3884,3884,3884,3884
2024-02-13T04:05:00Z,3881,3881,3881,3881
2024-02-13T04:06:00Z,3880,3880,3880,3880
2024-02-13T04:08:00Z,3879,3880,3879,3880
2024-02-13T04:13:00Z,3879,3879,3879,3879
2024-02-13T04:14:00Z,3881,3881,3881,3881
2024-02-13T04:19:00Z,3883,3883,3883,3883
2024-02-13T04:20:00Z,3885,3885,3885,3885
2024-02-13T04:25:00Z,3890,3892,3890,3892
2024-02-13T04:29:00Z,3891,3891,3891,3891
2024-02-13T06:30:00Z,3900,3911,3900,3910
2024-02-13T06:31:00Z,3912,3913,3912,3913
2024-02-13T06:32:00Z,3915,3918,3915,3918
2024-02-13T06:33:00Z,3922,3922,3922,3922
2024-02-13T06:34:00Z,3925,3928,3925,3928
2024-02-13T06:35:00Z,3927,3927,3927,3927
2024-02-13T06:36:00Z,3924,3924,3921,3922
2024-02-13T06:37:00Z,3926,3927,3926,3927
2024-02-13T06:39:00Z,3922,3922,3922,3922
2024-02-13T06:41:00Z,3926,3926,3926,3926
2024-02-13T06:42:00Z,3927,3928,3927,3928
2024-02-13T06:43:00Z,3929,3931,3929,3929
2024-02-13T06:44:00Z,3932,3934,3932,3934
2024-02-13T06:45:00Z,3928,3928,3928,3928
2024-02-13T06:47:00Z,3922,3922,3922,3922
2024-02-13T06:55:00Z,3919,3919,3919,3919
2024-02-13T06:59:00Z,3918,3918,3917,3917
2024-02-13T07:00:00Z,3918,3918,3918,3918
2024-02-13T07:03:00Z,3921,3921,3921,3921
2024-02-13T07:05:00Z,3919,3919,3918,3918
2024-02-13T07:10:00Z,3915,3915,3915,3915
2024-02-13T07:15:00Z,3915,3915,3915,3915
2024-02-13T07:16:00Z,3912,3912,3912,3912
2024-02-13T07:21:00Z,3913,3913,3911,3911
2024-02-13T07:22:00Z,3910,3910,3910,3910
2024-02-13T07:25:00Z,3912,3912,3912,3912
2024-02-13T07:26:00Z,3913,3913,3913,3913
2024-02-13T07:28:00Z,3910,3910,3910,3910
2024-02-13T07:29:00Z,3911,3911,3911,3911
2024-02-13T07:31:00Z,3918,3918,3917,3917
2024-02-13T07:38:00Z,3920,3921,3920,3921
2024-02-13T07:40:00Z,3922,3922,3921,3922
2024-02-13T07:41:00Z,3925,3928,3925,3928
2024-02-13T07:46:00Z,3923,3923,3923,3923
2024-02-13T07:49:00Z,3920,3920,3920,3920
2024-02-13T07:50:00Z,3920,3920,3920,3920
2024-02-13T07:51:00Z,3919,3919,3919,3919
2024-02-13T07:52:00Z,3919,3919,3919,3919
2024-02-13T08:01:00Z,3920,3920,3920,3920
2024-02-13T08:03:00Z,3920,3920,3920,3920
2024-02-13T08:05:00Z,3918,3918,3918,3918
2024-02-13T08:06:00Z,3917,3917,3917,3917
2024-02-13T08:07:00Z,3916,3918,3916,3918
2024-02-13T08:13:00Z,3918,3918,3918,3918
2024-02-13T08:15:00Z,3916,3916,3916,3916
2024-02-13T08:16:00Z,3916,3916,3914,3914
2024-02-13T08:17:00Z,3914,3914,3911,3911
2024-02-13T08:18:00Z,3911,3911,3911,3911
2024-02-13T08:19:00Z,3910,3910,3909,3909
2024-02-13T08:20:00Z,3908,3908,3908,3908
2024-02-13T08:21:00Z,3908,3908,3904,3904
2024-02-13T08:22:00Z,3904,3904,3901,3901
2024-02-13T08:23:00Z,3900,3901,3900,3901
2024-02-13T08:26:00Z,3903,3903,3903,3903
2024-02-13T08:30:00Z,3903,3903,3899,3900
2024-02-13T08:31:00Z,3899,3899,3899,3899
2024-02-13T08:32:00Z,3900,3900,3900,3900
2024-02-13T08:33:00Z,3900,3900,3900,3900
2024-02-13T08:40:00Z,3899,3899,3899,3899
2024-02-13T08:41:00Z,3898,3899,3898,3898
2024-02-13T08:42:00Z,3897,3897,3891,3891
2024-02-13T08:43:00Z,3891,3891,3885,3888
2024-02-13T08:45:00Z,3891,3891,3891,3891
2024-02-13T08:48:00Z,3890,3890,3889,3889
2024-02-13T08:49:00Z,3889,3890,3888,3890
2024-02-13T08:50:00Z,3891,3891,3891,3891
2024-02-13T08:51:00Z,3890,3890,3890,3890
2024-02-13T08:52:00Z,3890,3892,3890,3892
2024-02-13T08:53:00Z,3893,3894,3893,3894
2024-02-13T09:00:00Z,3895,3895,3895,3895
2024-02-13T09:04:00Z,3892,3892,3892,3892
2024-02-13T09:05:00Z,3893,3893,3893,3893
2024-02-13T09:08:00Z,3900,3900,3900,3900
2024-02-13T09:16:00Z,3896,3896,3896,3896
2024-02-13T09:18:00Z,3896,3896,3896,3896
2024-02-13T09:21:00Z,3889,3889,3889,3889
2024-02-13T09:22:00Z,3890,3890,3890,3890
2024-02-13T09:28:00Z,3897,3897,3897,3897
2024-02-13T09:29:00Z,3900,3902,3900,3902
2024-02-13T09:30:00Z,3903,3905,3902,3905
2024-02-13T09:31:00Z,3905,3910,3905,3910
2024-02-13T09:32:00Z,3910,3914,3910,3913
2024-02-13T09:34:00Z,3910,3910,3910,3910
2024-02-13T09:36:00Z,3913,3914,3911,3914
2024-02-13T09:47:00Z,3917,3917,3917,3917
2024-02-13T09:48:00Z,3919,3919,3919,3919
2024-02-13T09:50:00Z,3921,3922,3921,3922
2024-02-13T09:52:00Z,3920,3920,3920,3920
2024-02-13T09:53:00Z,3920,3927,3920,3927
2024-02-13T09:54:00Z,3927,3927,3925,3925
