time,open,high,low,close
2024-03-14T08:26:00Z,4300,4300,4300,4300
2024-03-14T08:31:00Z,4305,4305,4305,4305
2024-03-14T08:33:00Z,4305,4305,4305,4305
2024-03-14T08:34:00Z,4307,4307,4307,4307
2024-03-14T08:35:00Z,4307,4307,4307,4307
2024-03-14T08:38:00Z,4313,4313,4313,4313
2024-03-14T08:50:00Z,4304,4305,4304,4305
2024-03-14T08:53:00Z,4305,4305,4305,4305
2024-03-14T08:54:00Z,4305,4305,4304,4305
2024-03-14T08:56:00Z,4304,4305,4303,4305
2024-03-14T09:06:00Z,4317,4320,4317,4320
2024-03-14T09:10:00Z,4325,4325,4325,4325
2024-03-14T09:11:00Z,4325,4325,4325,4325
2024-03-14T09:13:00Z,4325,4325,4325,4325
2024-03-14T09:23:00Z,4325,4325,4325,4325
2024-03-14T09:25:00Z,4326,4327,4326,4326
2024-03-14T09:28:00Z,4330,4330,4330,4330
2024-03-14T09:29:00Z,4327,4327,4323,4323
2024-03-14T09:50:00Z,4330,4332,4330,4330
2024-03-14T09:51:00Z,4332,4332,4332,4332
2024-03-14T09:54:00Z,4326,4327,4326,4327
2024-03-14T09:55:00Z,4328,4328,4328,4328
2024-03-14T09:59:00Z,4339,4340,4329,4329
2024-03-14T13:46:00Z,4337,4337,4337,4337
2024-03-14T13:57:00Z,4348,4348,4347,4347
2024-03-14T13:59:00Z,4350,4350,4350,4350
2024-03-14T14:04:00Z,4359,4359,4359,4359
2024-03-14T14:05:00Z,4365,4365,4365,4365
2024-03-14T14:19:00Z,4359,4364,4359,4364
2024-03-14T14:22:00Z,4369,4370,4366,4366
2024-03-14T14:23:00Z,4365,4365,4364,4364
2024-03-14T14:24:00Z,4361,4361,4361,4361
2024-03-14T14:27:00Z,4364,4364,4364,4364
2024-03-14T14:32:00Z,4358,4358,4358,4358
2024-03-14T14:53:00Z,4355,4355,4355,4355
2024-03-14T15:00:00Z,4355,4355,4355,4355
2024-03-14T15:09:00Z,4354,4354,4354,4354
2024-03-14T15:12:00Z,4355,4355,4355,4355
2024-03-14T15:23:00Z,4351,4351,4351,4351
2024-03-14T15:27:00Z,4350,4350,4350,4350
2024-03-14T15:28:00Z,4349,4349,4349,4349
2024-03-14T15:29:00Z,4348,4348,4346,4346
2024-03-15T02:30:00Z,4327,4327,4314,4317
2024-03-15T02:31:00Z,4319,4319,4319,4319
2024-03-15T02:32:00Z,4320,4333,4320,4333
2024-03-15T02:33:00Z,4339,4346,4339,4346
2024-03-15T02:34:00Z,4343,4343,4343,4343
2024-03-15T02:38:00Z,4339,4339,4339,4339
2024-03-15T02:41:00Z,4331,4331,4331,4331
2024-03-15T02:45:00Z,4335,4335,4334,4334
2024-03-15T02:46:00Z,4340,4340,4340,4340
2024-03-15T02:47:00Z,4337,4341,4337,4341
2024-03-15T02:50:00Z,4339,4339,4339,4339
2024-03-15T02:52:00Z,4337,4337,4337,4337
2024-03-15T02:57:00Z,4334,4334,4332,4332
2024-03-15T02:58:00Z,4332,4332,4332,4332
2024-03-15T03:01:00Z,4331,4331,4331,4331
2024-03-15T03:02:00Z,4328,4330,4327,4330
2024-03-15T03:03:00Z,4329,4330,4329,4330
2024-03-15T03:05:00Z,4331,4331,4331,4331
2024-03-15T03:08:00Z,4334,4334,4334,4334
2024-03-15T03:09:00Z,4339,4339,4339,4339
2024-03-15T03:11:00Z,4340,4340,4340,4340
2024-03-15T03:12:00Z,4343,4343,4343,4343
2024-03-15T03:13:00Z,4345,4345,4345,4345
2024-03-15T03:17:00Z,4345,4345,4345,4345
2024-03-15T03:23:00Z,4346,4346,4343,4343
2024-03-15T03:25:00Z,4346,4346,4346,4346
2024-03-15T03:28:00Z,4340,4340,4339,4339
2024-03-15T03:29:00Z,4335,4335,4335,4335
2024-03-15T03:37:00Z,4330,4330,4330,4330
2024-03-15T03:40:00Z,4330,4330,4330,4330
2024-03-15T03:41:00Z,4330,4330,4330,4330
2024-03-15T03:49:00Z,4326,4326,4326,4326
2024-03-15T03:50:00Z,4325,4326,4325,4326
2024-03-15T04:04:00Z,4328,4328,4328,4328
2024-03-15T04:09:00Z,4330,4330,4330,4330
2024-03-15T04:26:00Z,4328,4328,4328,4328
2024-03-15T04:27:00Z,4328,4337,4328,4337
2024-03-15T04:28:00Z,4337,4338,4337,4338
2024-03-15T04:29:00Z,4334,4336,4331,4331
2024-03-15T06:30:00Z,4340,4340,4340,4340
2024-03-15T06:34:00Z,4345,4345,4345,4345
2024-03-15T06:37:00Z,4350,4350,4350,4350
2024-03-15T06:39:00Z,4340,4340,4337,4337
2024-03-15T06:43:00Z,4343,4343,4343,4343
2024-03-15T06:46:00Z,4337,4337,4336,4336
2024-03-15T06:47:00Z,4335,4335,4333,4333
2024-03-15T06:50:00Z,4332,4332,4331,4331
2024-03-15T06:51:00Z,4331,4331,4331,4331
2024-03-15T06:53:00Z,4331,4331,4330,4330
2024-03-15T06:54:00Z,4327,4327,4325,4327
2024-03-15T06:59:00Z,4324,4325,4323,4323
2024-03-15T07:00:00Z,4323,4323,4323,4323
2024-03-15T07:01:00Z,4322,4322,4321,4321
2024-03-15T07:02:00Z,4321,4321,4321,4321
2024-03-15T07:03:00Z,4320,4320,4320,4320
2024-03-15T07:04:00Z,4319,4319,4317,4317
2024-03-15T07:07:00Z,4316,4316,4316,4316
2024-03-15T07:08:00Z,4316,4316,4316,4316
2024-03-15T07:09:00Z,4316,4316,4314,4314
2024-03-15T07:10:00Z,4314,4314,4314,4314
2024-03-15T07:16:00Z,4318,4318,4318,4318
2024-03-15T07:38:00Z,4324,4324,4324,4324
2024-03-15T07:57:00Z,4324,4324,4324,4324
2024-03-15T07:58:00Z,4324,4324,4323,4323
2024-03-15T07:59:00Z,4323,4323,4323,4323
2024-03-15T08:01:00Z,4323,4323,4323,4323
2024-03-15T08:08:00Z,4320,4321,4320,4321
2024-03-15T08:09:00Z,4323,4325,4323,4325
2024-03-15T08:12:00Z,4328,4328,4328,4328
2024-03-15T08:28:00Z,4320,4320,4320,4320
2024-03-15T08:29:00Z,4320,4320,4320,4320
2024-03-15T08:42:00Z,4324,4324,4324,4324
2024-03-15T08:43:00Z,4323,4323,4323,4323
2024-03-15T08:45:00Z,4318,4318,4318,4318
2024-03-15T08:55:00Z,4316,4317,4315,4315
2024-03-15T08:56:00Z,4319,4319,4319,4319
2024-03-15T09:01:00Z,4318,4318,4318,4318
2024-03-15T09:09:00Z,4316,4316,4316,4316
2024-03-15T09:10:00Z,4315,4315,4315,4315
2024-03-15T09:11:00Z,4315,4316,4315,4316
2024-03-15T09:12:00Z,4316,4316,4316,4316
2024-03-15T09:13:00Z,4315,4315,4315,4315
2024-03-15T09:20:00Z,4318,4318,4315,4315
2024-03-15T09:21:00Z,4318,4318,4318,4318
2024-03-15T09:23:00Z,4321,4321,4321,4321
2024-03-15T09:26:00Z,4322,4322,4322,4322
2024-03-15T09:30:00Z,4322,4322,4321,4321
2024-03-15T09:31:00Z,4320,4320,4318,4318
2024-03-15T09:32:00Z,4315,4316,4315,4316
2024-03-15T09:39:00Z,4320,4320,4320,4320
2024-03-15T09:42:00Z,4318,4318,4318,4318
2024-03-15T09:45:00Z,4316,4316,4316,4316
2024-03-15T09:47:00Z,4318,4318,4313,4313
2024-03-15T09:48:00Z,4313,4313,4313,4313
2024-03-15T09:49:00Z,4314,4314,4312,4312
2024-03-15T09:51:00Z,4322,4323,4322,4323
