time,open,high,low,close
2024-04-18T03:56:00Z,4163,4164,4163,4164
2024-04-18T04:00:00Z,4160,4160,4160,4160
2024-04-18T04:16:00Z,4165,4165,4165,4165
2024-04-18T04:17:00Z,4166,4166,4166,4166
2024-04-18T04:22:00Z,4169,4169,4169,4169
2024-04-18T06:31:00Z,4154,4154,4150,4150
2024-04-18T06:32:00Z,4150,4150,4150,4150
2024-04-18T06:34:00Z,4150,4150,4142,4142
2024-04-18T06:35:00Z,4144,4144,4143,4143
2024-04-18T06:36:00Z,4145,4146,4143,4143
2024-04-18T06:37:00Z,4145,4145,4140,4140
2024-04-18T06:40:00Z,4140,4140,4139,4139
2024-04-18T06:41:00Z,4140,4140,4139,4139
2024-04-18T06:45:00Z,4138,4138,4137,4137
2024-04-18T06:46:00Z,4140,4140,4140,4140
2024-04-18T06:47:00Z,4145,4145,4142,4142
2024-04-18T06:48:00Z,4142,4144,4142,4142
2024-04-18T06:49:00Z,4142,4142,4140,4140
2024-04-18T06:51:00Z,4143,4143,4143,4143
2024-04-18T06:52:00Z,4142,4143,4142,4143
2024-04-18T06:53:00Z,4142,4142,4142,4142
2024-04-18T06:56:00Z,4147,4147,4147,4147
2024-04-18T06:57:00Z,4148,4150,4148,4150
2024-04-18T06:58:00Z,4149,4149,4148,4148
2024-04-18T06:59:00Z,4148,4148,4147,4147
2024-04-18T07:00:00Z,4147,4147,4147,4147
2024-04-18T07:01:00Z,4147,4147,4147,4147
2024-04-18T07:02:00Z,4146,4146,4146,4146
2024-04-18T07:03:00Z,4147,4147,4147,4147
2024-04-18T07:05:00Z,4148,4148,4148,4148
2024-04-18T07:06:00Z,4148,4148,4148,4148
2024-04-18T07:07:00Z,4148,4149,4147,4149
2024-04-18T07:08:00Z,4147,4147,4147,4147
2024-04-18T07:09:00Z,4146,4146,4146,4146
2024-04-18T07:10:00Z,4146,4146,4146,4146
2024-04-18T07:11:00Z,4146,4146,4146,4146
2024-04-18T07:12:00Z,4146,4146,4146,4146
2024-04-18T07:15:00Z,4146,4146,4145,4145
2024-04-18T07:16:00Z,4145,4145,4145,4145
2024-04-18T07:17:00Z,4145,4145,4145,4145
2024-04-18T07:24:00Z,4147,4148,4147,4148
2024-04-18T07:28:00Z,4144,4144,4143,4143
2024-04-18T07:29:00Z,4142,4142,4142,4142
2024-04-18T07:31:00Z,4142,4142,4141,4142
2024-04-18T07:32:00Z,4141,4141,4140,4140
2024-04-18T07:33:00Z,4140,4140,4140,4140
2024-04-18T07:35:00Z,4139,4139,4139,4139
2024-04-18T07:36:00Z,4137,4137,4137,4137
2024-04-18T07:37:00Z,4137,4137,4136,4137
2024-04-18T07:38:00Z,4136,4136,4136,4136
2024-04-18T07:40:00Z,4141,4141,4141,4141
2024-04-18T07:42:00Z,4143,4143,4142,4142
2024-04-18T07:46:00Z,4139,4139,4139,4139
2024-04-18T07:48:00Z,4137,4137,4137,4137
2024-04-18T07:49:00Z,4137,4137,4137,4137
2024-04-18T07:51:00Z,4137,4137,4135,4135
2024-04-18T07:53:00Z,4135,4136,4135,4136
2024-04-18T07:55:00Z,4137,4137,4135,4135
2024-04-18T08:04:00Z,4135,4135,4135,4135
2024-04-18T08:05:00Z,4135,4135,4135,4135
2024-04-18T08:06:00Z,4134,4134,4130,4130
2024-04-18T08:07:00Z,4129,4129,4129,4129
2024-04-18T08:08:00Z,4128,4128,4128,4128
2024-04-18T08:09:00Z,4132,4132,4132,4132
2024-04-18T08:10:00Z,4132,4132,4132,4132
2024-04-18T08:13:00Z,4132,4132,4132,4132
2024-04-18T08:14:00Z,4132,4133,4132,4133
2024-04-18T08:22:00Z,4139,4139,4139,4139
2024-04-18T08:24:00Z,4143,4144,4143,4144
