time,open,high,low,close
2024-05-13T08:06:00Z,3907,3907,3907,3907
2024-05-13T08:07:00Z,3906,3906,3905,3905
2024-05-13T08:08:00Z,3906,3906,3905,3905
2024-05-13T08:09:00Z,3905,3905,3904,3904
2024-05-13T08:10:00Z,3904,3904,3904,3904
2024-05-13T08:11:00Z,3900,3900,3900,3900
2024-05-13T08:12:00Z,3900,3900,3900,3900
2024-05-13T08:13:00Z,3901,3901,3901,3901
2024-05-13T08:14:00Z,3901,3901,3901,3901
2024-05-13T08:15:00Z,3900,3901,3900,3901
2024-05-13T08:16:00Z,3902,3902,3901,3901
2024-05-13T08:17:00Z,3901,3901,3901,3901
2024-05-13T08:21:00Z,3901,3901,3901,3901
2024-05-13T08:22:00Z,3901,3901,3901,3901
2024-05-13T08:24:00Z,3901,3901,3901,3901
2024-05-13T08:25:00Z,3901,3903,3901,3901
2024-05-13T08:29:00Z,3901,3901,3901,3901
2024-05-13T08:30:00Z,3901,3901,3901,3901
2024-05-13T08:31:00Z,3902,3902,3902,3902
2024-05-13T08:37:00Z,3900,3900,3900,3900
2024-05-13T08:40:00Z,3900,3901,3900,3901
2024-05-13T08:43:00Z,3899,3899,3899,3899
2024-05-13T08:48:00Z,3900,3900,3900,3900
2024-05-13T08:49:00Z,3901,3901,3900,3900
2024-05-13T08:50:00Z,3900,3900,3900,3900
2024-05-13T08:52:00Z,3901,3901,3901,3901
2024-05-13T08:53:00Z,3901,3904,3901,3904
2024-05-13T08:54:00Z,3904,3904,3904,3904
2024-05-13T08:55:00Z,3904,3904,3904,3904
2024-05-13T08:56:00Z,3904,3905,3904,3904
2024-05-13T09:01:00Z,3905,3905,3905,3905
2024-05-13T09:02:00Z,3905,3905,3905,3905
2024-05-13T09:04:00Z,3902,3902,3901,3901
2024-05-13T09:14:00Z,3899,3899,3899,3899
2024-05-13T09:26:00Z,3900,3900,3900,3900
2024-05-13T09:28:00Z,3901,3901,3901,3901
2024-05-13T09:29:00Z,3902,3903,3902,3903
2024-05-13T09:32:00Z,3903,3903,3903,3903
2024-05-13T09:33:00Z,3902,3902,3902,3902
2024-05-13T09:36:00Z,3903,3903,3903,3903
2024-05-13T09:37:00Z,3903,3903,3903,3903
2024-05-13T09:42:00Z,3901,3901,3901,3901
2024-05-13T09:49:00Z,3901,3901,3901,3901
2024-05-13T09:50:00Z,3900,3900,3899,3899
2024-05-13T09:55:00Z,3897,3897,3897,3897
2024-05-13T09:58:00Z,3898,3898,3898,3898
2024-05-13T09:59:00Z,3894,3896,3891,3896
2024-05-13T13:00:00Z,3900,3912,3900,3912
2024-05-13T13:05:00Z,3917,3917,3917,3917
2024-05-13T13:09:00Z,3913,3913,3913,3913
2024-05-13T13:27:00Z,3910,3910,3910,3910
2024-05-13T13:32:00Z,3913,3915,3913,3914
2024-05-13T13:33:00Z,3919,3920,3919,3920
2024-05-13T13:38:00Z,3923,3923,3922,3923
2024-05-13T13:39:00Z,3923,3924,3923,3924
2024-05-13T13:40:00Z,3921,3921,3921,3921
2024-05-13T13:43:00Z,3925,3925,3925,3925
2024-05-13T13:45:00Z,3928,3928,3928,3928
2024-05-13T13:46:00Z,3927,3927,3927,3927
2024-05-13T13:47:00Z,3928,3928,3928,3928
2024-05-13T13:48:00Z,3927,3927,3926,3926
2024-05-13T13:57:00Z,3919,3919,3919,3919
2024-05-13T13:59:00Z,3920,3920,3920,3920
2024-05-13T14:02:00Z,3921,3921,3921,3921
2024-05-13T14:03:00Z,3921,3921,3921,3921
2024-05-13T14:22:00Z,3923,3923,3923,3923
2024-05-13T14:25:00Z,3921,3921,3921,3921
2024-05-13T14:58:00Z,3912,3912,3912,3912
2024-05-14T02:30:00Z,3920,3920,3903,3903
2024-05-14T02:31:00Z,3913,3913,3913,3913
2024-05-14T02:32:00Z,3919,3921,3919,3921
2024-05-14T02:33:00Z,3918,3918,3918,3918
2024-05-14T02:34:00Z,3925,3926,3925,3926
2024-05-14T02:35:00Z,3925,3926,3925,3926
2024-05-14T02:37:00Z,3917,3917,3917,3917
2024-05-14T02:38:00Z,3907,3908,3904,3908
2024-05-14T02:42:00Z,3906,3906,3906,3906
2024-05-14T02:46:00Z,3901,3901,3901,3901
2024-05-14T03:00:00Z,3903,3903,3903,3903
2024-05-14T03:07:00Z,3910,3910,3910,3910
2024-05-14T03:10:00Z,3913,3916,3913,3916
2024-05-14T03:15:00Z,3909,3909,3909,3909
2024-05-14T03:22:00Z,3904,3904,3904,3904
2024-05-14T03:25:00Z,3910,3910,3908,3908
2024-05-14T03:26:00Z,3908,3908,3908,3908
2024-05-14T03:32:00Z,3903,3903,3903,3903
2024-05-14T03:44:00Z,3903,3903,3903,3903
2024-05-14T03:52:00Z,3900,3900,3900,3900
2024-05-14T03:56:00Z,3902,3902,3902,3902
2024-05-14T03:57:00Z,3900,3900,3899,3899
2024-05-14T04:02:00Z,3898,3898,3898,3898
2024-05-14T04:11:00Z,3896,3896,3896,3896
2024-05-14T04:12:00Z,3897,3897,3896,3896
2024-05-14T04:13:00Z,3896,3896,3896,3896
2024-05-14T04:14:00Z,3896,3896,3896,3896
2024-05-14T04:18:00Z,3897,3897,3897,3897
2024-05-14T04:26:00Z,3892,3892,3892,3892
2024-05-14T04:27:00Z,3892,3892,3892,3892
2024-05-14T06:30:00Z,3896,3903,3896,3901
2024-05-14T06:31:00Z,3907,3907,3906,3906
2024-05-14T06:32:00Z,3897,3897,3897,3897
2024-05-14T06:33:00Z,3893,3893,3893,3893
2024-05-14T06:34:00Z,3894,3894,3894,3894
2024-05-14T06:35:00Z,3891,3891,3891,3891
2024-05-14T06:36:00Z,3888,3888,3887,3887
2024-05-14T06:37:00Z,3878,3878,3878,3878
2024-05-14T06:38:00Z,3882,3882,3882,3882
2024-05-14T06:40:00Z,3881,3881,3881,3881
2024-05-14T06:41:00Z,3887,3887,3887,3887
2024-05-14T06:42:00Z,3888,3889,3888,3889
2024-05-14T06:48:00Z,3885,3885,3885,3885
2024-05-14T06:51:00Z,3887,3887,3887,3887
2024-05-14T06:59:00Z,3884,3884,3884,3884
2024-05-14T07:00:00Z,3884,3884,3883,3883
2024-05-14T07:01:00Z,3884,3886,3884,3886
2024-05-14T07:04:00Z,3886,3886,3885,3885
2024-05-14T07:05:00Z,3880,3880,3880,3880
2024-05-14T07:06:00Z,3880,3883,3880,3883
2024-05-14T07:07:00Z,3882,3882,3879,3879
2024-05-14T07:08:00Z,3879,3879,3877,3878
2024-05-14T07:10:00Z,3876,3876,3875,3876
2024-05-14T07:11:00Z,3875,3875,3875,3875
2024-05-14T07:12:00Z,3874,3874,3872,3872
2024-05-14T07:18:00Z,3872,3872,3871,3871
2024-05-14T07:19:00Z,3868,3870,3866,3867
2024-05-14T07:20:00Z,3867,3868,3866,3868
2024-05-14T07:24:00Z,3867,3867,3867,3867
2024-05-14T07:37:00Z,3869,3869,3869,3869
2024-05-14T07:38:00Z,3866,3866,3863,3863
2024-05-14T07:39:00Z,3863,3864,3862,3864
2024-05-14T07:44:00Z,3864,3864,3864,3864
2024-05-14T07:58:00Z,3862,3862,3860,3860
2024-05-14T07:59:00Z,3860,3860,3860,3860
2024-05-14T08:01:00Z,3862,3862,3862,3862
2024-05-14T08:10:00Z,3860,3860,3860,3860
2024-05-14T08:11:00Z,3859,3859,3858,3859
2024-05-14T08:20:00Z,3868,3874,3868,3871
2024-05-14T08:21:00Z,3871,3878,3871,3874
2024-05-14T08:28:00Z,3869,3869,3869,3869
2024-05-14T08:31:00Z,3870,3870,3870,3870
2024-05-14T08:35:00Z,3870,3872,3870,3872
2024-05-14T08:42:00Z,3872,3872,3872,3872
2024-05-14T09:17:00Z,3858,3858,3857,3857
2024-05-14T09:18:00Z,3857,3858,3855,3855
2024-05-14T09:19:00Z,3855,3860,3855,3860
2024-05-14T09:20:00Z,3857,3858,3850,3850
2024-05-14T09:21:00Z,3852,3852,3844,3844
2024-05-14T09:22:00Z,3846,3846,3841,3843
2024-05-14T09:24:00Z,3835,3835,3835,3835
2024-05-14T09:25:00Z,3835,3835,3834,3834
2024-05-14T09:27:00Z,3834,3835,3834,3835
2024-05-14T09:28:00Z,3833,3833,3830,3832
2024-05-14T09:29:00Z,3832,3832,3831,3831
2024-05-14T09:30:00Z,3835,3835,3835,3835
2024-05-14T09:31:00Z,3837,3837,3837,3837
2024-05-14T09:39:00Z,3840,3840,3840,3840
2024-05-14T09:40:00Z,3841,3841,3841,3841
2024-05-14T09:47:00Z,3840,3840,3840,3840
2024-05-14T09:48:00Z,3840,3841,3835,3835
2024-05-14T09:50:00Z,3840,3840,3840,3840
2024-05-14T09:51:00Z,3840,3840,3840,3840
2024-05-14T09:52:00Z,3835,3837,3835,3837
2024-05-14T09:53:00Z,3837,3837,3837,3837
2024-05-14T09:57:00Z,3841,3841,3838,3838
2024-05-14T09:59:00Z,3838,3838,3835,3835
2024-05-14T13:00:00Z,3828,3847,3825,3847
2024-05-14T13:02:00Z,3836,3837,3833,3833
2024-05-14T13:03:00Z,3833,3839,3833,3836
2024-05-14T13:04:00Z,3835,3836,3835,3836
2024-05-14T13:08:00Z,3828,3828,3823,3823
2024-05-14T13:09:00Z,3820,3820,3815,3815
2024-05-14T13:10:00Z,3814,3814,3808,3811
2024-05-14T13:11:00Z,3811,3811,3811,3811
2024-05-14T13:12:00Z,3810,3810,3810,3810
2024-05-14T13:14:00Z,3807,3807,3806,3807
2024-05-14T13:15:00Z,3808,3808,3805,3805
2024-05-14T13:16:00Z,3805,3805,3804,3804
2024-05-14T13:17:00Z,3804,3804,3800,3800
2024-05-14T13:18:00Z,3801,3801,3801,3801
2024-05-14T13:19:00Z,3801,3801,3801,3801
2024-05-14T13:20:00Z,3798,3798,3797,3797
2024-05-14T13:21:00Z,3797,3801,3796,3798
2024-05-14T13:22:00Z,3797,3800,3797,3799
2024-05-14T13:25:00Z,3807,3807,3807,3807
2024-05-14T13:43:00Z,3815,3815,3815,3815
2024-05-14T13:48:00Z,3814,3814,3814,3814
2024-05-14T13:55:00Z,3825,3825,3825,3825
2024-05-14T14:17:00Z,3817,3817,3817,3817
2024-05-14T14:18:00Z,3817,3817,3817,3817
2024-05-14T14:19:00Z,3817,3817,3817,3817
2024-05-14T15:23:00Z,3818,3818,3818,3818
2024-05-14T15:24:00Z,3818,3818,3818,3818
2024-05-15T02:30:00Z,3843,3844,3838,3838
2024-05-15T02:31:00Z,3842,3846,3842,3844
2024-05-15T02:32:00Z,3844,3850,3844,3850
2024-05-15T02:33:00Z,3851,3851,3846,3846
2024-05-15T02:35:00Z,3854,3855,3852,3853
2024-05-15T02:36:00Z,3853,3860,3853,3859
2024-05-15T02:39:00Z,3850,3851,3850,3851
2024-05-15T02:41:00Z,3850,3850,3850,3850
2024-05-15T02:42:00Z,3851,3852,3851,3852
2024-05-15T02:43:00Z,3852,3852,3852,3852
2024-05-15T02:46:00Z,3852,3854,3852,3854
2024-05-15T02:47:00Z,3854,3854,3851,3853
2024-05-15T02:48:00Z,3854,3856,3854,3856
2024-05-15T02:53:00Z,3840,3840,3840,3840
2024-05-15T03:00:00Z,3857,3857,3857,3857
2024-05-15T03:01:00Z,3859,3859,3859,3859
2024-05-15T03:02:00Z,3860,3860,3860,3860
2024-05-15T03:03:00Z,3860,3862,3860,3862
2024-05-15T03:04:00Z,3863,3866,3863,3866
2024-05-15T03:05:00Z,3866,3870,3866,3867
2024-05-15T03:06:00Z,3871,3873,3871,3872
2024-05-15T03:07:00Z,3875,3875,3874,3875
2024-05-15T03:08:00Z,3872,3874,3865,3865
2024-05-15T03:09:00Z,3868,3869,3868,3869
2024-05-15T03:10:00Z,3869,3872,3869,3870
2024-05-15T03:11:00Z,3871,3871,3871,3871
2024-05-15T03:12:00Z,3873,3873,3871,3872
