time,open,high,low,close
2024-06-12T04:26:00Z,3964,3964,3964,3964
2024-06-12T04:28:00Z,3962,3962,3962,3962
2024-06-12T04:29:00Z,3961,3962,3961,3962
2024-06-12T06:30:00Z,3966,3968,3966,3968
2024-06-12T06:31:00Z,3970,3972,3970,3972
2024-06-12T06:32:00Z,3972,3975,3972,3973
2024-06-12T06:35:00Z,3967,3967,3967,3967
2024-06-12T06:37:00Z,3972,3972,3970,3970
2024-06-12T06:38:00Z,3971,3971,3969,3969
2024-06-12T06:41:00Z,3973,3973,3973,3973
2024-06-12T06:44:00Z,3973,3973,3973,3973
2024-06-12T06:48:00Z,3973,3974,3973,3974
2024-06-12T06:50:00Z,3974,3974,3974,3974
2024-06-12T06:51:00Z,3972,3972,3971,3971
2024-06-12T06:53:00Z,3973,3973,3973,3973
2024-06-12T06:57:00Z,3971,3971,3970,3970
2024-06-12T06:58:00Z,3971,3971,3970,3970
2024-06-12T06:59:00Z,3971,3971,3971,3971
2024-06-12T07:03:00Z,3975,3976,3975,3976
2024-06-12T07:04:00Z,3976,3977,3976,3977
2024-06-12T07:05:00Z,3978,3979,3978,3979
2024-06-12T07:06:00Z,3977,3977,3977,3977
2024-06-12T07:08:00Z,3976,3976,3976,3976
2024-06-12T07:09:00Z,3976,3976,3976,3976
2024-06-12T07:10:00Z,3975,3975,3975,3975
2024-06-12T07:27:00Z,3978,3978,3978,3978
2024-06-12T07:30:00Z,3980,3985,3980,3984
2024-06-12T07:35:00Z,3983,3983,3980,3980
2024-06-12T07:38:00Z,3981,3981,3979,3979
2024-06-12T07:39:00Z,3979,3979,3979,3979
2024-06-12T07:40:00Z,3979,3979,3979,3979
2024-06-12T07:41:00Z,3978,3978,3978,3978
2024-06-12T07:42:00Z,3976,3976,3976,3976
2024-06-12T07:43:00Z,3976,3976,3976,3976
2024-06-12T07:44:00Z,3975,3975,3975,3975
2024-06-12T07:45:00Z,3975,3975,3975,3975
2024-06-12T07:55:00Z,3976,3976,3976,3976
2024-06-12T07:56:00Z,3977,3977,3977,3977
2024-06-12T07:57:00Z,3978,3978,3978,3978
2024-06-12T08:02:00Z,3980,3980,3980,3980
2024-06-12T08:05:00Z,3980,3980,3980,3980
2024-06-12T08:06:00Z,3979,3979,3979,3979
2024-06-12T08:19:00Z,3978,3978,3978,3978
2024-06-12T08:22:00Z,3975,3975,3975,3975
2024-06-12T08:25:00Z,3973,3973,3973,3973
2024-06-12T08:27:00Z,3974,3974,3973,3973
2024-06-12T08:30:00Z,3972,3972,3972,3972
2024-06-12T08:34:00Z,3972,3972,3972,3972
2024-06-12T08:36:00Z,3971,3971,3971,3971
2024-06-12T08:37:00Z,3970,3970,3970,3970
2024-06-12T08:38:00Z,3969,3970,3969,3970
2024-06-12T08:39:00Z,3972,3972,3972,3972
2024-06-12T08:41:00Z,3972,3972,3972,3972
2024-06-12T08:42:00Z,3971,3971,3971,3971
2024-06-12T08:44:00Z,3970,3970,3970,3970
2024-06-12T08:46:00Z,3969,3969,3968,3968
2024-06-12T08:49:00Z,3968,3968,3968,3968
2024-06-12T08:50:00Z,3967,3967,3965,3965
2024-06-12T08:52:00Z,3965,3965,3964,3964
2024-06-12T08:53:00Z,3965,3965,3965,3965
2024-06-12T08:55:00Z,3966,3966,3966,3966
2024-06-12T08:56:00Z,3963,3963,3963,3963
2024-06-12T08:57:00Z,3963,3963,3962,3963
2024-06-12T08:59:00Z,3965,3965,3963,3964
2024-06-12T09:00:00Z,3965,3965,3963,3963
2024-06-12T09:01:00Z,3965,3965,3964,3964
2024-06-12T09:02:00Z,3965,3965,3965,3965
2024-06-12T09:05:00Z,3968,3968,3967,3967
2024-06-12T09:06:00Z,3966,3966,3966,3966
2024-06-12T09:07:00Z,3966,3966,3965,3965
2024-06-12T09:09:00Z,3961,3961,3960,3960
2024-06-12T09:10:00Z,3960,3960,3959,3959
2024-06-12T09:12:00Z,3964,3964,3964,3964
2024-06-12T09:13:00Z,3965,3965,3963,3963
2024-06-12T09:16:00Z,3962,3962,3961,3961
2024-06-12T09:19:00Z,3967,3967,3967,3967
2024-06-12T09:20:00Z,3967,3967,3966,3966
2024-06-12T09:21:00Z,3968,3968,3968,3968
2024-06-12T09:23:00Z,3968,3968,3968,3968
2024-06-12T09:24:00Z,3968,3968,3968,3968
2024-06-12T09:25:00Z,3970,3971,3970,3971
2024-06-12T09:27:00Z,3971,3971,3971,3971
2024-06-12T09:28:00Z,3970,3970,3970,3970
2024-06-12T09:34:00Z,3974,3976,3972,3972
2024-06-12T09:35:00Z,3970,3970,3970,3970
2024-06-12T09:36:00Z,3970,3970,3970,3970
2024-06-12T09:37:00Z,3968,3968,3965,3965
2024-06-12T09:38:00Z,3965,3965,3965,3965
2024-06-12T09:39:00Z,3966,3966,3965,3965
2024-06-12T09:41:00Z,3966,3967,3966,3967
2024-06-12T09:45:00Z,3969,3969,3969,3969
2024-06-12T09:50:00Z,3969,3970,3968,3969
2024-06-12T09:51:00Z,3972,3973,3972,3973
2024-06-12T09:53:00Z,3970,3970,3970,3970
2024-06-12T09:54:00Z,3970,3970,3970,3970
2024-06-12T09:55:00Z,3970,3970,3966,3966
2024-06-12T09:56:00Z,3966,3966,3965,3965
2024-06-12T09:57:00Z,3967,3968,3967,3968
2024-06-12T09:58:00Z,3967,3967,3964,3967
2024-06-12T09:59:00Z,3966,3966,3959,3960
2024-06-12T13:00:00Z,3967,3967,3967,3967
2024-06-12T13:04:00Z,3975,3984,3975,3984
2024-06-12T13:05:00Z,3982,3982,3982,3982
2024-06-12T13:09:00Z,3974,3974,3974,3974
2024-06-12T13:10:00Z,3976,3976,3976,3976
2024-06-12T13:15:00Z,3978,3978,3978,3978
2024-06-12T13:19:00Z,3980,3980,3980,3980
2024-06-12T13:24:00Z,3972,3972,3970,3970
2024-06-12T13:25:00Z,3970,3970,3970,3970
2024-06-12T13:30:00Z,3973,3973,3973,3973
2024-06-12T13:34:00Z,3974,3974,3974,3974
2024-06-12T13:35:00Z,3978,3978,3978,3978
2024-06-12T13:36:00Z,3977,3977,3977,3977
2024-06-12T13:37:00Z,3974,3974,3974,3974
2024-06-12T13:38:00Z,3974,3977,3974,3977
2024-06-12T13:39:00Z,3977,3977,3977,3977
2024-06-12T13:41:00Z,3969,3969,3969,3969
2024-06-12T13:42:00Z,3968,3968,3964,3964
2024-06-12T13:43:00Z,3966,3966,3965,3965
2024-06-12T13:44:00Z,3966,3966,3966,3966
2024-06-12T13:45:00Z,3963,3963,3963,3963
2024-06-12T13:49:00Z,3962,3962,3962,3962
2024-06-12T13:50:00Z,3961,3961,3961,3961
2024-06-12T13:52:00Z,3965,3966,3965,3965
2024-06-12T13:53:00Z,3961,3961,3961,3961
2024-06-12T13:54:00Z,3964,3964,3964,3964
2024-06-12T13:57:00Z,3960,3960,3960,3960
2024-06-12T13:58:00Z,3959,3959,3956,3958
2024-06-12T13:59:00Z,3960,3960,3960,3960
2024-06-12T14:00:00Z,3960,3960,3960,3960
2024-06-12T14:03:00Z,3964,3964,3962,3962
2024-06-12T14:04:00Z,3962,3963,3961,3962
2024-06-12T14:07:00Z,3962,3964,3962,3964
2024-06-12T14:09:00Z,3963,3963,3963,3963
2024-06-12T14:10:00Z,3963,3963,3963,3963
2024-06-12T14:11:00Z,3964,3964,3964,3964
2024-06-12T14:13:00Z,3960,3960,3960,3960
2024-06-12T14:14:00Z,3960,3960,3960,3960
2024-06-12T14:16:00Z,3960,3960,3960,3960
2024-06-12T14:19:00Z,3960,3960,3960,3960
2024-06-12T14:21:00Z,3962,3962,3961,3961
2024-06-12T14:22:00Z,3962,3962,3962,3962
2024-06-12T14:23:00Z,3964,3964,3964,3964
2024-06-12T14:25:00Z,3964,3964,3964,3964
2024-06-12T14:27:00Z,3965,3965,3965,3965
2024-06-12T14:33:00Z,3960,3960,3960,3960
2024-06-12T14:36:00Z,3960,3960,3960,3960
2024-06-12T14:39:00Z,3955,3955,3955,3955
2024-06-12T14:42:00Z,3960,3960,3960,3960
2024-06-12T14:43:00Z,3960,3960,3960,3960
2024-06-12T14:44:00Z,3959,3960,3959,3960
2024-06-12T14:45:00Z,3960,3960,3960,3960
2024-06-12T14:52:00Z,3955,3955,3953,3953
2024-06-12T14:53:00Z,3955,3955,3955,3955
2024-06-12T15:13:00Z,3960,3961,3960,3961
2024-06-12T15:15:00Z,3961,3961,3961,3961
2024-06-12T15:16:00Z,3963,3963,3963,3963
2024-06-12T15:17:00Z,3963,3964,3963,3964
2024-06-12T15:18:00Z,3963,3964,3963,3964
2024-06-12T15:19:00Z,3964,3964,3964,3964
2024-06-12T15:20:00Z,3962,3962,3961,3961
2024-06-12T15:22:00Z,3960,3960,3960,3960
2024-06-12T15:28:00Z,3959,3959,3959,3959
2024-06-13T02:30:00Z,3990,3996,3979,3987
2024-06-13T02:31:00Z,3985,3989,3985,3988
2024-06-13T02:32:00Z,3985,3985,3981,3981
2024-06-13T02:33:00Z,3982,3982,3979,3981
2024-06-13T02:34:00Z,3984,3984,3984,3984
2024-06-13T02:35:00Z,3980,3980,3977,3977
2024-06-13T02:36:00Z,3980,3980,3976,3976
