time,open,high,low,close
2024-07-11T09:56:00Z,3983,3985,3983,3985
2024-07-11T09:57:00Z,3983,3983,3983,3983
2024-07-11T09:59:00Z,3982,3984,3982,3983
2024-07-11T13:03:00Z,3990,3990,3990,3990
2024-07-11T13:04:00Z,3990,3990,3990,3990
2024-07-11T13:19:00Z,3983,3983,3983,3983
2024-07-11T13:28:00Z,3980,3980,3980,3980
2024-07-11T13:29:00Z,3980,3980,3980,3980
2024-07-11T13:30:00Z,3980,3980,3980,3980
2024-07-11T13:46:00Z,3981,3981,3981,3981
2024-07-11T13:57:00Z,3986,3986,3986,3986
2024-07-11T13:59:00Z,3991,3992,3991,3992
2024-07-11T14:00:00Z,3993,3994,3993,3994
2024-07-11T14:01:00Z,3995,3996,3995,3996
2024-07-11T14:02:00Z,3997,3997,3997,3997
2024-07-11T14:04:00Z,3998,3998,3998,3998
2024-07-11T14:14:00Z,3992,3992,3992,3992
2024-07-11T14:18:00Z,3992,3992,3990,3991
2024-07-11T14:19:00Z,3990,3990,3989,3989
2024-07-11T14:22:00Z,3989,3989,3989,3989
2024-07-11T14:37:00Z,3998,3998,3998,3998
2024-07-11T14:40:00Z,3993,3993,3993,3993
2024-07-11T14:41:00Z,3999,4000,3999,4000
2024-07-11T15:01:00Z,3996,3996,3996,3996
2024-07-11T15:02:00Z,3996,3998,3996,3998
2024-07-11T15:23:00Z,3994,3994,3994,3994
2024-07-11T15:26:00Z,3996,3996,3995,3995
2024-07-11T15:27:00Z,3994,3996,3994,3996
2024-07-11T15:28:00Z,3995,3995,3995,3995
2024-07-12T02:30:00Z,4020,4027,4019,4021
2024-07-12T02:31:00Z,4020,4023,4020,4020
2024-07-12T02:32:00Z,4023,4023,4021,4021
2024-07-12T02:33:00Z,4022,4023,4022,4023
2024-07-12T02:34:00Z,4020,4020,4012,4012
2024-07-12T02:35:00Z,4016,4023,4015,4021
2024-07-12T02:37:00Z,4020,4020,4018,4020
2024-07-12T02:38:00Z,4013,4013,4012,4012
2024-07-12T02:39:00Z,4015,4016,4015,4016
2024-07-12T02:41:00Z,4014,4014,4012,4012
2024-07-12T02:43:00Z,4018,4018,4018,4018
2024-07-12T02:44:00Z,4018,4018,4016,4016
2024-07-12T02:45:00Z,4019,4019,4019,4019
2024-07-12T02:46:00Z,4020,4020,4017,4017
2024-07-12T02:48:00Z,4020,4020,4020,4020
2024-07-12T02:49:00Z,4023,4024,4023,4023
2024-07-12T02:50:00Z,4022,4024,4021,4024
2024-07-12T02:52:00Z,4020,4020,4020,4020
2024-07-12T02:55:00Z,4012,4012,4011,4011
2024-07-12T02:57:00Z,4015,4016,4015,4016
2024-07-12T02:59:00Z,4007,4007,4005,4005
2024-07-12T03:00:00Z,4005,4005,4005,4005
2024-07-12T03:02:00Z,4002,4002,3999,4000
2024-07-12T03:03:00Z,4000,4000,4000,4000
2024-07-12T03:04:00Z,4003,4003,4003,4003
2024-07-12T03:05:00Z,4005,4005,4005,4005
2024-07-12T03:11:00Z,4005,4010,4005,4010
2024-07-12T03:14:00Z,4012,4012,4012,4012
2024-07-12T03:15:00Z,4013,4013,4013,4013
2024-07-12T03:17:00Z,4006,4006,4006,4006
2024-07-12T03:19:00Z,4007,4007,4007,4007
2024-07-12T03:20:00Z,4003,4003,4003,4003
2024-07-12T03:22:00Z,3996,3996,3995,3995
2024-07-12T03:27:00Z,3998,3998,3998,3998
2024-07-12T03:31:00Z,3993,3993,3993,3993
2024-07-12T03:42:00Z,3991,3991,3991,3991
2024-07-12T03:46:00Z,3993,3993,3993,3993
2024-07-12T03:47:00Z,3995,3995,3994,3994
2024-07-12T03:48:00Z,3995,3995,3995,3995
2024-07-12T03:53:00Z,3992,3992,3986,3988
2024-07-12T03:54:00Z,3988,3988,3988,3988
2024-07-12T03:56:00Z,3991,3996,3990,3994
2024-07-12T03:57:00Z,3992,3996,3991,3992
2024-07-12T03:58:00Z,3990,3995,3990,3995
2024-07-12T04:02:00Z,3995,3995,3995,3995
2024-07-12T04:04:00Z,3990,3990,3990,3990
2024-07-12T04:17:00Z,3988,3988,3988,3988
2024-07-12T04:29:00Z,3989,3990,3989,3990
2024-07-12T06:30:00Z,3987,3988,3986,3986
2024-07-12T06:32:00Z,3984,3984,3984,3984
2024-07-12T06:36:00Z,3978,3978,3978,3978
2024-07-12T06:39:00Z,3982,3982,3982,3982
2024-07-12T06:42:00Z,3984,3984,3984,3984
2024-07-12T06:59:00Z,3970,3970,3970,3970
2024-07-12T07:00:00Z,3968,3968,3968,3968
2024-07-12T07:01:00Z,3966,3966,3964,3964
2024-07-12T07:03:00Z,3963,3964,3963,3963
2024-07-12T07:15:00Z,3965,3965,3965,3965
2024-07-12T07:26:00Z,3968,3970,3968,3970
2024-07-12T07:29:00Z,3965,3965,3965,3965
2024-07-12T07:31:00Z,3965,3965,3965,3965
2024-07-12T07:33:00Z,3963,3963,3962,3962
2024-07-12T07:34:00Z,3960,3960,3959,3959
2024-07-12T07:35:00Z,3959,3959,3959,3959
2024-07-12T07:36:00Z,3953,3953,3952,3952
2024-07-12T07:44:00Z,3955,3955,3955,3955
2024-07-12T07:48:00Z,3956,3956,3956,3956
2024-07-12T07:52:00Z,3964,3970,3964,3970
2024-07-12T07:55:00Z,3964,3965,3964,3965
2024-07-12T08:01:00Z,3959,3959,3959,3959
2024-07-12T08:04:00Z,3957,3957,3957,3957
2024-07-12T08:10:00Z,3950,3950,3950,3950
2024-07-12T08:15:00Z,3951,3954,3951,3954
2024-07-12T08:16:00Z,3955,3956,3955,3956
2024-07-12T08:17:00Z,3956,3960,3956,3960
