time,open,high,low,close
2024-08-19T03:10:00Z,3905,3905,3904,3904
2024-08-19T03:11:00Z,3908,3908,3908,3908
2024-08-19T03:13:00Z,3904,3904,3904,3904
2024-08-19T03:14:00Z,3905,3905,3905,3905
2024-08-19T03:15:00Z,3910,3911,3909,3911
2024-08-19T03:16:00Z,3912,3915,3912,3915
2024-08-19T03:17:00Z,3915,3915,3915,3915
2024-08-19T03:19:00Z,3915,3915,3914,3915
2024-08-19T03:20:00Z,3917,3917,3917,3917
2024-08-19T03:21:00Z,3916,3916,3916,3916
2024-08-19T03:22:00Z,3916,3918,3916,3917
2024-08-19T03:23:00Z,3918,3920,3918,3920
2024-08-19T03:24:00Z,3920,3920,3920,3920
2024-08-19T03:25:00Z,3917,3920,3917,3920
2024-08-19T03:26:00Z,3920,3920,3919,3920
2024-08-19T03:27:00Z,3921,3921,3920,3921
2024-08-19T03:28:00Z,3920,3920,3920,3920
2024-08-19T03:29:00Z,3921,3922,3921,3922
2024-08-19T03:30:00Z,3922,3922,3922,3922
2024-08-19T03:31:00Z,3921,3921,3920,3921
2024-08-19T03:32:00Z,3921,3921,3920,3921
2024-08-19T03:33:00Z,3921,3921,3920,3920
2024-08-19T03:35:00Z,3917,3917,3917,3917
2024-08-19T03:37:00Z,3920,3920,3920,3920
2024-08-19T03:41:00Z,3914,3914,3914,3914
2024-08-19T03:42:00Z,3916,3919,3916,3919
2024-08-19T03:44:00Z,3919,3919,3917,3917
2024-08-19T04:05:00Z,3915,3915,3915,3915
2024-08-19T04:06:00Z,3912,3912,3912,3912
2024-08-19T04:07:00Z,3912,3913,3912,3913
2024-08-19T04:08:00Z,3913,3913,3913,3913
2024-08-19T04:19:00Z,3904,3904,3904,3904
2024-08-19T04:20:00Z,3908,3908,3908,3908
2024-08-19T04:24:00Z,3908,3908,3908,3908
2024-08-19T04:25:00Z,3908,3908,3908,3908
2024-08-19T04:27:00Z,3909,3910,3909,3910
2024-08-19T04:28:00Z,3911,3912,3910,3910
2024-08-19T04:29:00Z,3910,3910,3910,3910
2024-08-19T06:30:00Z,3915,3922,3915,3915
2024-08-19T06:31:00Z,3913,3913,3910,3910
2024-08-19T06:33:00Z,3907,3909,3907,3909
2024-08-19T06:35:00Z,3910,3916,3910,3916
2024-08-19T06:36:00Z,3920,3925,3920,3925
2024-08-19T06:37:00Z,3924,3925,3924,3925
2024-08-19T06:38:00Z,3926,3932,3925,3932
2024-08-19T06:39:00Z,3931,3931,3931,3931
2024-08-19T06:41:00Z,3926,3932,3926,3932
2024-08-19T06:42:00Z,3931,3931,3931,3931
2024-08-19T06:43:00Z,3938,3940,3938,3938
2024-08-19T06:46:00Z,3925,3925,3925,3925
2024-08-19T06:47:00Z,3926,3930,3926,3930
2024-08-19T06:48:00Z,3930,3930,3930,3930
2024-08-19T06:49:00Z,3930,3930,3930,3930
2024-08-19T06:50:00Z,3931,3931,3931,3931
2024-08-19T06:52:00Z,3929,3933,3929,3933
2024-08-19T06:53:00Z,3935,3940,3935,3938
2024-08-19T06:54:00Z,3935,3935,3935,3935
2024-08-19T06:57:00Z,3934,3934,3934,3934
2024-08-19T07:00:00Z,3930,3930,3930,3930
2024-08-19T07:05:00Z,3935,3935,3935,3935
2024-08-19T07:20:00Z,3923,3923,3922,3922
2024-08-19T07:21:00Z,3926,3926,3926,3926
2024-08-19T07:22:00Z,3927,3928,3927,3928
2024-08-19T07:23:00Z,3934,3935,3934,3935
2024-08-19T07:24:00Z,3934,3936,3934,3936
2024-08-19T07:25:00Z,3935,3935,3934,3934
2024-08-19T07:27:00Z,3937,3938,3937,3938
2024-08-19T07:33:00Z,3939,3939,3939,3939
2024-08-19T07:34:00Z,3940,3940,3940,3940
2024-08-19T07:40:00Z,3935,3936,3935,3936
2024-08-19T07:41:00Z,3937,3937,3937,3937
2024-08-19T07:44:00Z,3938,3938,3937,3937
2024-08-19T07:45:00Z,3938,3939,3938,3939
2024-08-19T07:47:00Z,3936,3936,3936,3936
2024-08-19T07:57:00Z,3934,3934,3933,3933
2024-08-19T07:58:00Z,3931,3931,3931,3931
2024-08-19T08:00:00Z,3936,3936,3936,3936
2024-08-19T08:01:00Z,3936,3937,3936,3936
2024-08-19T08:02:00Z,3936,3936,3935,3935
2024-08-19T08:04:00Z,3936,3936,3936,3936
2024-08-19T08:05:00Z,3935,3938,3935,3936
2024-08-19T08:06:00Z,3937,3938,3937,3938
2024-08-19T08:08:00Z,3936,3936,3936,3936
2024-08-19T08:10:00Z,3937,3941,3937,3941
2024-08-19T08:11:00Z,3945,3945,3945,3945
2024-08-19T08:14:00Z,3944,3944,3944,3944
2024-08-19T08:16:00Z,3945,3945,3945,3945
2024-08-19T08:17:00Z,3944,3944,3944,3944
2024-08-19T08:18:00Z,3944,3944,3944,3944
2024-08-19T08:21:00Z,3943,3945,3943,3944
2024-08-19T08:22:00Z,3946,3946,3944,3944
2024-08-19T08:23:00Z,3944,3944,3944,3944
2024-08-19T08:25:00Z,3941,3941,3940,3940
2024-08-19T08:28:00Z,3941,3941,3941,3941
2024-08-19T08:35:00Z,3939,3939,3937,3937
2024-08-19T08:36:00Z,3937,3937,3937,3937
2024-08-19T08:38:00Z,3935,3935,3935,3935
2024-08-19T08:40:00Z,3936,3937,3936,3936
2024-08-19T08:43:00Z,3938,3938,3938,3938
2024-08-19T08:44:00Z,3940,3940,3939,3940
2024-08-19T08:45:00Z,3940,3940,3940,3940
2024-08-19T08:47:00Z,3942,3943,3942,3943
2024-08-19T08:48:00Z,3943,3943,3943,3943
2024-08-19T08:49:00Z,3941,3943,3941,3943
2024-08-19T08:52:00Z,3944,3944,3944,3944
2024-08-19T08:56:00Z,3941,3941,3941,3941
2024-08-19T08:57:00Z,3940,3944,3940,3944
2024-08-19T09:01:00Z,3942,3942,3942,3942
2024-08-19T09:02:00Z,3940,3940,3933,3935
2024-08-19T09:03:00Z,3933,3935,3933,3935
2024-08-19T09:08:00Z,3932,3932,3932,3932
2024-08-19T09:09:00Z,3932,3932,3932,3932
2024-08-19T09:11:00Z,3933,3933,3933,3933
2024-08-19T09:13:00Z,3930,3930,3930,3930
2024-08-19T09:14:00Z,3929,3929,3929,3929
2024-08-19T09:15:00Z,3929,3929,3929,3929
2024-08-19T09:18:00Z,3929,3929,3929,3929
2024-08-19T09:19:00Z,3928,3928,3928,3928
2024-08-19T09:21:00Z,3927,3927,3926,3926
2024-08-19T09:24:00Z,3927,3927,3927,3927
2024-08-19T09:26:00Z,3928,3928,3928,3928
2024-08-19T09:30:00Z,3929,3931,3929,3931
2024-08-19T09:31:00Z,3930,3930,3930,3930
2024-08-19T09:33:00Z,3932,3932,3929,3929
2024-08-19T09:34:00Z,3931,3933,3931,3933
2024-08-19T09:40:00Z,3934,3934,3934,3934
2024-08-19T09:41:00Z,3935,3935,3935,3935
2024-08-19T09:42:00Z,3935,3935,3935,3935
2024-08-19T09:43:00Z,3935,3936,3935,3936
2024-08-19T09:44:00Z,3936,3936,3936,3936
2024-08-19T09:46:00Z,3936,3936,3936,3936
2024-08-19T09:47:00Z,3936,3937,3936,3937
2024-08-19T09:50:00Z,3937,3937,3937,3937
2024-08-19T09:51:00Z,3936,3936,3936,3936
2024-08-19T09:55:00Z,3928,3929,3928,3929
2024-08-19T09:56:00Z,3929,3931,3916,3916
2024-08-19T09:57:00Z,3920,3920,3918,3918
2024-08-19T09:58:00Z,3926,3926,3922,3922
2024-08-19T09:59:00Z,3923,3927,3920,3927
2024-08-19T13:00:00Z,3918,3918,3918,3918
2024-08-19T13:03:00Z,3922,3922,3922,3922
2024-08-19T13:20:00Z,3916,3916,3913,3914
2024-08-19T13:24:00Z,3907,3907,3903,3903
2024-08-19T13:29:00Z,3900,3900,3900,3900
2024-08-19T13:31:00Z,3902,3902,3902,3902
2024-08-19T13:33:00Z,3896,3896,3896,3896
2024-08-19T13:37:00Z,3901,3901,3892,3892
2024-08-19T13:52:00Z,3902,3902,3901,3901
2024-08-19T13:53:00Z,3900,3900,3900,3900
2024-08-19T14:01:00Z,3896,3896,3895,3895
2024-08-19T14:02:00Z,3893,3893,3892,3892
2024-08-19T14:03:00Z,3893,3893,3890,3891
2024-08-19T14:20:00Z,3895,3895,3895,3895
2024-08-19T14:21:00Z,3894,3894,3893,3893
2024-08-19T14:57:00Z,3905,3905,3902,3902
2024-08-19T14:58:00Z,3903,3903,3903,3903
2024-08-19T14:59:00Z,3905,3906,3905,3906
2024-08-19T15:00:00Z,3907,3909,3907,3908
2024-08-19T15:01:00Z,3906,3906,3906,3906
2024-08-19T15:07:00Z,3905,3907,3905,3907
2024-08-19T15:09:00Z,3907,3908,3907,3908
2024-08-19T15:10:00Z,3906,3906,3906,3906
2024-08-19T15:11:00Z,3908,3908,3908,3908
2024-08-19T15:18:00Z,3909,3909,3909,3909
2024-08-19T15:19:00Z,3909,3910,3909,3910
2024-08-19T15:20:00Z,3910,3910,3910,3910
2024-08-19T15:21:00Z,3911,3911,3911,3911
2024-08-19T15:22:00Z,3911,3912,3910,3910
2024-08-19T15:25:00Z,3912,3913,3912,3913
2024-08-19T15:26:00Z,3914,3916,3914,3916
2024-08-19T15:27:00Z,3915,3915,3915,3915
2024-08-20T02:30:00Z,3906,3906,3906,3906
2024-08-20T02:31:00Z,3908,3908,3905,3905
2024-08-20T02:32:00Z,3907,3907,3901,3901
2024-08-20T02:33:00Z,3900,3900,3900,3900
2024-08-20T02:34:00Z,3903,3903,3903,3903
2024-08-20T02:35:00Z,3905,3905,3900,3902
2024-08-20T02:36:00Z,3897,3897,3897,3897
2024-08-20T02:38:00Z,3898,3898,3896,3896
2024-08-20T02:39:00Z,3897,3897,3897,3897
2024-08-20T02:40:00Z,3900,3900,3899,3900
2024-08-20T02:41:00Z,3900,3905,3895,3905
2024-08-20T02:42:00Z,3906,3906,3905,3905
2024-08-20T02:43:00Z,3908,3908,3905,3905
2024-08-20T02:45:00Z,3910,3912,3909,3912
2024-08-20T02:46:00Z,3911,3911,3911,3911
2024-08-20T02:49:00Z,3905,3905,3905,3905
2024-08-20T02:53:00Z,3905,3905,3905,3905
2024-08-20T02:58:00Z,3910,3916,3910,3916
2024-08-20T02:59:00Z,3912,3912,3912,3912
2024-08-20T03:00:00Z,3913,3915,3913,3915
2024-08-20T03:16:00Z,3906,3906,3905,3905
2024-08-20T03:21:00Z,3899,3900,3895,3895
2024-08-20T03:22:00Z,3894,3894,3885,3885
2024-08-20T03:23:00Z,3881,3881,3881,3881
2024-08-20T03:24:00Z,3882,3882,3880,3880
2024-08-20T03:25:00Z,3880,3881,3876,3881
2024-08-20T03:29:00Z,3876,3876,3875,3875
2024-08-20T03:30:00Z,3876,3876,3875,3875
2024-08-20T03:34:00Z,3875,3875,3875,3875
2024-08-20T03:35:00Z,3875,3876,3875,3875
2024-08-20T03:36:00Z,3875,3875,3875,3875
2024-08-20T03:40:00Z,3875,3875,3875,3875
2024-08-20T03:43:00Z,3879,3883,3879,3883
2024-08-20T03:44:00Z,3883,3885,3883,3885
2024-08-20T03:54:00Z,3878,3878,3878,3878
2024-08-20T03:58:00Z,3880,3880,3880,3880
2024-08-20T04:05:00Z,3882,3882,3882,3882
2024-08-20T04:06:00Z,3882,3882,3881,3882
2024-08-20T04:07:00Z,3882,3882,3882,3882
