time,open,high,low,close
2024-09-19T02:40:00Z,3985,3985,3985,3985
2024-09-19T02:43:00Z,3990,3990,3990,3990
2024-09-19T02:44:00Z,3991,3993,3989,3993
2024-09-19T02:45:00Z,3994,3994,3994,3994
2024-09-19T02:46:00Z,3994,3995,3994,3994
2024-09-19T02:47:00Z,3995,3995,3995,3995
2024-09-19T02:49:00Z,3990,3990,3989,3989
2024-09-19T02:50:00Z,3990,3990,3990,3990
2024-09-19T02:51:00Z,3992,3992,3992,3992
2024-09-19T02:54:00Z,3996,3996,3996,3996
2024-09-19T02:55:00Z,3995,3996,3994,3996
2024-09-19T02:56:00Z,3996,3997,3996,3997
2024-09-19T02:59:00Z,3992,3992,3992,3992
2024-09-19T03:03:00Z,3991,3992,3991,3992
2024-09-19T03:04:00Z,3995,3995,3995,3995
2024-09-19T03:07:00Z,3997,3998,3997,3998
2024-09-19T03:08:00Z,3997,3997,3997,3997
2024-09-19T03:09:00Z,3998,3999,3998,3999
2024-09-19T03:10:00Z,3998,4000,3998,3999
2024-09-19T03:11:00Z,3999,4000,3999,4000
2024-09-19T03:19:00Z,3996,3998,3996,3998
2024-09-19T03:20:00Z,3997,3999,3997,3999
2024-09-19T03:21:00Z,3997,4000,3997,3998
2024-09-19T03:24:00Z,3997,3999,3997,3999
2024-09-19T03:25:00Z,4000,4000,3999,3999
2024-09-19T03:26:00Z,3998,3998,3998,3998
2024-09-19T03:27:00Z,3999,3999,3999,3999
2024-09-19T03:28:00Z,4000,4002,4000,4001
2024-09-19T03:29:00Z,4001,4003,4001,4003
2024-09-19T03:30:00Z,4002,4003,4001,4003
2024-09-19T03:31:00Z,4002,4002,4002,4002
2024-09-19T03:32:00Z,4002,4002,4001,4001
2024-09-19T03:37:00Z,4000,4000,4000,4000
2024-09-19T03:39:00Z,4001,4001,3999,3999
2024-09-19T03:41:00Z,3998,3998,3998,3998
2024-09-19T03:44:00Z,4000,4001,4000,4001
2024-09-19T03:45:00Z,4000,4001,3999,4000
2024-09-19T03:46:00Z,4002,4002,4002,4002
2024-09-19T03:48:00Z,4000,4000,4000,4000
2024-09-19T03:49:00Z,4002,4003,4002,4003
2024-09-19T03:50:00Z,4003,4003,4003,4003
2024-09-19T03:51:00Z,4002,4002,4002,4002
2024-09-19T03:52:00Z,4002,4002,4001,4001
2024-09-19T03:53:00Z,4002,4002,4002,4002
2024-09-19T03:55:00Z,4003,4004,4003,4004
2024-09-19T03:56:00Z,4004,4004,4004,4004
2024-09-19T03:57:00Z,4005,4006,4005,4006
2024-09-19T03:58:00Z,4006,4012,4006,4012
2024-09-19T03:59:00Z,4011,4011,4008,4008
2024-09-19T04:02:00Z,4010,4010,4010,4010
2024-09-19T04:04:00Z,4010,4013,4010,4013
2024-09-19T04:05:00Z,4011,4011,4010,4010
2024-09-19T04:06:00Z,4011,4011,4011,4011
2024-09-19T04:07:00Z,4010,4010,4009,4009
2024-09-19T04:08:00Z,4008,4009,4008,4009
2024-09-19T04:12:00Z,4010,4010,4010,4010
2024-09-19T04:13:00Z,4011,4011,4011,4011
2024-09-19T04:15:00Z,4012,4012,4012,4012
2024-09-19T04:16:00Z,4012,4012,4012,4012
2024-09-19T04:17:00Z,4014,4014,4014,4014
2024-09-19T04:18:00Z,4015,4015,4015,4015
2024-09-19T04:19:00Z,4015,4015,4015,4015
2024-09-19T04:20:00Z,4013,4013,4013,4013
2024-09-19T04:21:00Z,4014,4014,4014,4014
2024-09-19T04:25:00Z,4010,4010,4010,4010
2024-09-19T04:27:00Z,4007,4007,4007,4007
2024-09-19T04:28:00Z,4006,4006,4006,4006
2024-09-19T04:29:00Z,4005,4006,4004,4006
2024-09-19T06:30:00Z,4021,4035,4021,4035
2024-09-19T06:31:00Z,4033,4033,4032,4032
2024-09-19T06:32:00Z,4037,4037,4037,4037
2024-09-19T06:33:00Z,4032,4036,4031,4036
2024-09-19T06:34:00Z,4038,4038,4038,4038
2024-09-19T06:35:00Z,4035,4038,4035,4038
2024-09-19T06:36:00Z,4038,4038,4038,4038
2024-09-19T06:37:00Z,4038,4039,4037,4037
2024-09-19T06:38:00Z,4040,4041,4039,4040
2024-09-19T06:39:00Z,4041,4041,4039,4041
2024-09-19T06:40:00Z,4038,4038,4038,4038
2024-09-19T06:41:00Z,4036,4036,4036,4036
2024-09-19T06:42:00Z,4033,4035,4033,4035
2024-09-19T06:52:00Z,4036,4036,4036,4036
2024-09-19T06:54:00Z,4037,4037,4037,4037
2024-09-19T06:56:00Z,4035,4035,4034,4034
2024-09-19T06:59:00Z,4032,4032,4032,4032
2024-09-19T07:07:00Z,4034,4034,4034,4034
2024-09-19T07:10:00Z,4026,4028,4025,4028
2024-09-19T07:12:00Z,4025,4025,4025,4025
2024-09-19T07:13:00Z,4024,4024,4024,4024
2024-09-19T07:15:00Z,4025,4025,4025,4025
2024-09-19T07:18:00Z,4025,4025,4025,4025
2024-09-19T07:19:00Z,4025,4025,4025,4025
2024-09-19T07:20:00Z,4027,4027,4027,4027
2024-09-19T07:21:00Z,4025,4025,4025,4025
2024-09-19T07:22:00Z,4025,4025,4025,4025
2024-09-19T07:23:00Z,4023,4023,4023,4023
2024-09-19T07:25:00Z,4022,4022,4021,4021
2024-09-19T07:26:00Z,4023,4023,4023,4023
2024-09-19T07:27:00Z,4023,4023,4023,4023
2024-09-19T07:28:00Z,4025,4028,4025,4028
2024-09-19T07:30:00Z,4025,4025,4025,4025
2024-09-19T07:33:00Z,4030,4031,4029,4031
2024-09-19T07:34:00Z,4032,4033,4032,4033
2024-09-19T07:35:00Z,4032,4032,4032,4032
2024-09-19T07:36:00Z,4032,4035,4031,4033
2024-09-19T07:38:00Z,4032,4032,4027,4029
2024-09-19T07:41:00Z,4031,4031,4028,4028
2024-09-19T07:43:00Z,4029,4029,4029,4029
2024-09-19T07:44:00Z,4029,4030,4029,4030
2024-09-19T07:45:00Z,4031,4031,4031,4031
2024-09-19T07:49:00Z,4026,4026,4025,4025
2024-09-19T07:50:00Z,4024,4024,4024,4024
2024-09-19T08:03:00Z,4019,4019,4019,4019
2024-09-19T08:06:00Z,4014,4014,4013,4013
2024-09-19T08:09:00Z,4012,4012,4011,4011
2024-09-19T08:13:00Z,4009,4009,4009,4009
2024-09-19T08:15:00Z,4009,4009,4009,4009
2024-09-19T08:16:00Z,4007,4007,4007,4007
2024-09-19T08:17:00Z,4006,4006,4003,4003
2024-09-19T08:25:00Z,4008,4008,4008,4008
2024-09-19T08:26:00Z,4007,4007,4007,4007
2024-09-19T08:27:00Z,4008,4008,4008,4008
2024-09-19T08:33:00Z,4008,4008,4008,4008
2024-09-19T08:34:00Z,4009,4009,4009,4009
2024-09-19T08:35:00Z,4009,4009,4007,4008
2024-09-19T08:36:00Z,4007,4007,4007,4007
2024-09-19T08:39:00Z,4008,4009,4008,4009
2024-09-19T08:40:00Z,4010,4012,4010,4012
2024-09-19T08:44:00Z,4012,4013,4012,4012
2024-09-19T08:51:00Z,4011,4011,4011,4011
2024-09-19T08:57:00Z,4010,4010,4010,4010
2024-09-19T08:58:00Z,4008,4008,4008,4008
2024-09-19T09:00:00Z,4007,4007,4005,4005
2024-09-19T09:01:00Z,4005,4005,4004,4004
2024-09-19T09:02:00Z,4004,4006,4004,4006
2024-09-19T09:03:00Z,4005,4007,4005,4007
2024-09-19T09:04:00Z,4005,4005,4005,4005
2024-09-19T09:05:00Z,4006,4006,4004,4004
2024-09-19T09:06:00Z,4003,4003,4003,4003
2024-09-19T09:07:00Z,4002,4002,4001,4001
2024-09-19T09:08:00Z,4000,4001,4000,4001
2024-09-19T09:09:00Z,3999,3999,3998,3998
2024-09-19T09:10:00Z,3997,3997,3997,3997
2024-09-19T09:11:00Z,3998,3998,3997,3997
2024-09-19T09:12:00Z,3997,3998,3997,3997
2024-09-19T09:13:00Z,3996,3997,3996,3997
2024-09-19T09:14:00Z,3995,3999,3995,3999
2024-09-19T09:15:00Z,3999,3999,3999,3999
2024-09-19T09:16:00Z,3999,3999,3999,3999
2024-09-19T09:18:00Z,3995,3995,3992,3992
2024-09-19T09:20:00Z,3991,3991,3990,3991
2024-09-19T09:21:00Z,3990,3990,3990,3990
2024-09-19T09:22:00Z,3990,3990,3990,3990
2024-09-19T09:23:00Z,3990,3990,3989,3989
2024-09-19T09:24:00Z,3989,3990,3989,3989
2024-09-19T09:25:00Z,3987,3988,3987,3988
2024-09-19T09:26:00Z,3988,3989,3988,3989
2024-09-19T09:27:00Z,3989,3990,3988,3988
2024-09-19T09:29:00Z,3985,3985,3985,3985
2024-09-19T09:30:00Z,3985,3985,3984,3984
2024-09-19T09:31:00Z,3986,3986,3986,3986
2024-09-19T09:32:00Z,3984,3984,3984,3984
2024-09-19T09:33:00Z,3983,3983,3983,3983
2024-09-19T09:34:00Z,3982,3983,3981,3982
2024-09-19T09:35:00Z,3979,3979,3978,3978
2024-09-19T09:36:00Z,3981,3981,3975,3975
2024-09-19T09:37:00Z,3976,3977,3967,3967
2024-09-19T09:39:00Z,3971,3971,3971,3971
2024-09-19T09:40:00Z,3967,3967,3961,3961
2024-09-19T09:41:00Z,3956,3956,3937,3937
2024-09-19T09:42:00Z,3932,3932,3914,3915
2024-09-19T09:43:00Z,3915,3916,3914,3916
2024-09-19T09:44:00Z,3911,3913,3903,3903
2024-09-19T09:45:00Z,3903,3903,3892,3895
2024-09-19T09:46:00Z,3890,3900,3890,3900
2024-09-19T09:47:00Z,3900,3917,3900,3917
2024-09-19T09:48:00Z,3918,3932,3918,3932
2024-09-19T09:49:00Z,3919,3928,3919,3928
2024-09-19T09:50:00Z,3931,3939,3931,3936
2024-09-19T09:51:00Z,3935,3935,3933,3933
2024-09-19T09:52:00Z,3935,3935,3933,3935
2024-09-19T09:53:00Z,3942,3942,3942,3942
2024-09-19T09:56:00Z,3949,3960,3949,3960
2024-09-19T09:57:00Z,3955,3955,3950,3950
2024-09-19T09:58:00Z,3950,3950,3949,3949
2024-09-19T09:59:00Z,3949,3950,3946,3946
2024-09-19T13:00:00Z,3980,3980,3980,3980
2024-09-19T13:30:00Z,3959,3961,3959,3961
2024-09-19T13:35:00Z,3960,3960,3960,3960
2024-09-19T13:36:00Z,3960,3960,3960,3960
2024-09-19T13:50:00Z,3955,3955,3955,3955
2024-09-19T13:54:00Z,3948,3948,3948,3948
2024-09-19T13:57:00Z,3957,3957,3957,3957
2024-09-19T14:12:00Z,3963,3963,3963,3963
2024-09-19T14:13:00Z,3964,3964,3964,3964
2024-09-19T14:14:00Z,3963,3963,3963,3963
2024-09-19T14:16:00Z,3966,3966,3966,3966
2024-09-20T02:30:00Z,3973,3975,3972,3975
2024-09-20T02:31:00Z,3970,3977,3970,3974
2024-09-20T02:32:00Z,3987,3987,3987,3987
2024-09-20T02:33:00Z,3988,3995,3988,3995
2024-09-20T02:34:00Z,3996,4007,3996,4007
2024-09-20T02:35:00Z,4008,4012,4005,4005
2024-09-20T02:38:00Z,4001,4001,4001,4001
2024-09-20T02:40:00Z,3995,3995,3995,3995
2024-09-20T02:43:00Z,3997,3997,3997,3997
2024-09-20T02:46:00Z,4002,4002,4002,4002
2024-09-20T02:49:00Z,4002,4002,4002,4002
2024-09-20T02:50:00Z,4003,4004,4003,4004
2024-09-20T02:55:00Z,4001,4001,4001,4001
2024-09-20T02:56:00Z,3996,3996,3996,3996
2024-09-20T03:00:00Z,4000,4000,4000,4000
2024-09-20T03:01:00Z,4001,4001,4001,4001
2024-09-20T03:05:00Z,3999,3999,3999,3999
2024-09-20T03:06:00Z,3998,3998,3995,3995
2024-09-20T03:08:00Z,3996,3996,3996,3996
2024-09-20T03:13:00Z,3998,3998,3996,3996
2024-09-20T03:16:00Z,3994,3994,3994,3994
2024-09-20T03:18:00Z,3991,3993,3991,3992
2024-09-20T03:22:00Z,3990,3990,3990,3990
2024-09-20T03:24:00Z,3989,3989,3989,3989
2024-09-20T03:28:00Z,3990,3990,3990,3990
2024-09-20T03:29:00Z,3991,3992,3991,3992
2024-09-20T03:34:00Z,3980,3980,3980,3980
2024-09-20T03:40:00Z,3977,3977,3977,3977
2024-09-20T03:45:00Z,3980,3980,3975,3976
2024-09-20T04:03:00Z,3983,3983,3983,3983
2024-09-20T04:06:00Z,3983,3983,3983,3983
2024-09-20T04:10:00Z,3987,3987,3986,3986
2024-09-20T04:18:00Z,3987,3988,3985,3988
2024-09-20T04:20:00Z,3990,3992,3990,3992
2024-09-20T04:22:00Z,3992,3992,3990,3990
2024-09-20T04:23:00Z,3992,3992,3992,3992
2024-09-20T04:25:00Z,3993,3993,3993,3993
2024-09-20T04:27:00Z,3991,3991,3991,3991
2024-09-20T04:29:00Z,3991,3991,3990,3990
2024-09-20T06:31:00Z,4000,4000,4000,4000
2024-09-20T06:34:00Z,3991,3991,3991,3991
2024-09-20T06:35:00Z,3994,3994,3994,3994
2024-09-20T06:36:00Z,3992,3992,3988,3988
2024-09-20T06:37:00Z,3990,3990,3990,3990
2024-09-20T06:39:00Z,3987,3987,3987,3987
2024-09-20T06:47:00Z,3992,3992,3992,3992
2024-09-20T06:48:00Z,3995,3996,3993,3993
2024-09-20T06:49:00Z,4000,4001,4000,4001
2024-09-20T06:50:00Z,4000,4000,4000,4000
2024-09-20T06:51:00Z,4000,4002,4000,4002
2024-09-20T06:52:00Z,4002,4002,4002,4002
2024-09-20T07:02:00Z,4003,4003,4003,4003
2024-09-20T07:10:00Z,4003,4003,4003,4003
2024-09-20T07:12:00Z,4002,4002,4002,4002
2024-09-20T07:14:00Z,4004,4006,4004,4005
2024-09-20T07:23:00Z,3998,3999,3998,3999
2024-09-20T07:28:00Z,3999,3999,3999,3999
2024-09-20T07:29:00Z,4002,4002,4002,4002
2024-09-20T07:30:00Z,4004,4004,4004,4004
