time,open,high,low,close
2024-10-17T03:39:00Z,4333,4334,4333,4334
2024-10-17T03:41:00Z,4336,4337,4336,4337
2024-10-17T03:43:00Z,4337,4338,4337,4338
2024-10-17T03:46:00Z,4335,4335,4335,4335
2024-10-17T03:48:00Z,4332,4332,4332,4332
2024-10-17T03:49:00Z,4331,4331,4330,4330
2024-10-17T03:54:00Z,4326,4328,4326,4328
2024-10-17T03:55:00Z,4329,4330,4329,4330
2024-10-17T03:57:00Z,4325,4326,4325,4326
2024-10-17T04:03:00Z,4327,4327,4327,4327
2024-10-17T04:05:00Z,4329,4329,4329,4329
2024-10-17T04:06:00Z,4330,4330,4330,4330
2024-10-17T04:08:00Z,4327,4327,4327,4327
2024-10-17T04:25:00Z,4331,4333,4331,4331
2024-10-17T04:26:00Z,4331,4335,4331,4335
2024-10-17T04:27:00Z,4336,4336,4336,4336
2024-10-17T06:30:00Z,4326,4327,4323,4325
2024-10-17T06:31:00Z,4323,4323,4323,4323
2024-10-17T06:32:00Z,4326,4326,4326,4326
2024-10-17T06:33:00Z,4335,4335,4333,4333
2024-10-17T06:34:00Z,4339,4339,4339,4339
2024-10-17T06:42:00Z,4337,4337,4337,4337
2024-10-17T06:45:00Z,4340,4343,4340,4343
2024-10-17T07:06:00Z,4329,4332,4329,4332
2024-10-17T07:07:00Z,4331,4331,4331,4331
2024-10-17T07:13:00Z,4323,4323,4320,4320
2024-10-17T07:14:00Z,4320,4320,4319,4319
2024-10-17T07:15:00Z,4315,4315,4315,4315
2024-10-17T07:16:00Z,4323,4323,4323,4323
2024-10-17T07:17:00Z,4321,4323,4321,4323
2024-10-17T07:18:00Z,4320,4320,4320,4320
2024-10-17T07:19:00Z,4322,4322,4320,4321
2024-10-17T07:20:00Z,4323,4325,4323,4325
2024-10-17T07:21:00Z,4325,4325,4325,4325
2024-10-17T07:22:00Z,4325,4325,4325,4325
2024-10-17T07:24:00Z,4325,4325,4325,4325
2024-10-17T07:25:00Z,4323,4323,4322,4322
2024-10-17T07:32:00Z,4322,4322,4320,4320
2024-10-17T07:34:00Z,4320,4320,4317,4317
2024-10-17T07:43:00Z,4321,4321,4321,4321
2024-10-17T07:45:00Z,4321,4321,4321,4321
2024-10-17T07:46:00Z,4320,4320,4320,4320
2024-10-17T07:58:00Z,4321,4321,4321,4321
2024-10-17T08:07:00Z,4323,4323,4323,4323
2024-10-17T08:08:00Z,4323,4323,4323,4323
2024-10-17T08:11:00Z,4326,4326,4326,4326
2024-10-17T08:13:00Z,4328,4328,4328,4328
2024-10-17T08:14:00Z,4330,4332,4330,4332
2024-10-17T08:16:00Z,4331,4331,4331,4331
2024-10-17T08:17:00Z,4331,4332,4331,4332
2024-10-17T08:18:00Z,4330,4332,4330,4332
2024-10-17T08:19:00Z,4332,4332,4332,4332
2024-10-17T08:20:00Z,4331,4331,4331,4331
2024-10-17T08:21:00Z,4332,4333,4332,4333
2024-10-17T08:24:00Z,4335,4336,4335,4336
2024-10-17T08:25:00Z,4334,4334,4334,4334
2024-10-17T08:39:00Z,4336,4340,4336,4340
2024-10-17T08:40:00Z,4340,4340,4340,4340
2024-10-17T08:41:00Z,4345,4345,4345,4345
2024-10-17T08:42:00Z,4344,4344,4343,4343
2024-10-17T08:46:00Z,4350,4351,4350,4351
2024-10-17T08:47:00Z,4352,4352,4352,4352
2024-10-17T08:48:00Z,4352,4352,4352,4352
2024-10-17T08:49:00Z,4352,4357,4352,4355
2024-10-17T08:50:00Z,4354,4354,4354,4354
2024-10-17T08:57:00Z,4357,4357,4357,4357
2024-10-17T08:58:00Z,4356,4357,4356,4357
2024-10-17T08:59:00Z,4357,4357,4357,4357
2024-10-17T09:00:00Z,4353,4353,4353,4353
2024-10-17T09:05:00Z,4353,4353,4353,4353
2024-10-17T09:06:00Z,4350,4350,4349,4349
2024-10-17T09:13:00Z,4340,4340,4340,4340
2024-10-17T09:14:00Z,4340,4340,4340,4340
2024-10-17T09:15:00Z,4340,4340,4340,4340
2024-10-17T09:17:00Z,4333,4333,4331,4331
2024-10-17T09:38:00Z,4338,4338,4338,4338
2024-10-17T09:39:00Z,4338,4338,4338,4338
2024-10-17T09:40:00Z,4338,4338,4338,4338
2024-10-17T09:45:00Z,4340,4340,4338,4338
2024-10-17T09:50:00Z,4340,4340,4340,4340
2024-10-17T09:51:00Z,4343,4343,4343,4343
2024-10-17T09:52:00Z,4344,4344,4344,4344
2024-10-17T09:55:00Z,4338,4338,4338,4338
2024-10-17T09:56:00Z,4338,4338,4338,4338
2024-10-17T09:57:00Z,4340,4340,4340,4340
2024-10-17T09:58:00Z,4347,4350,4347,4350
2024-10-17T09:59:00Z,4347,4351,4338,4338
