time,open,high,low,close
2024-11-18T06:32:00Z,5006,5006,5000,5002
2024-11-18T06:33:00Z,4991,4992,4987,4992
2024-11-18T06:34:00Z,4991,4995,4991,4992
2024-11-18T06:35:00Z,4994,4995,4982,4984
2024-11-18T06:36:00Z,4986,4990,4986,4990
2024-11-18T06:37:00Z,4996,4996,4996,4996
2024-11-18T06:38:00Z,4993,4993,4990,4990
2024-11-18T06:39:00Z,4991,4992,4991,4992
2024-11-18T06:41:00Z,4995,4999,4995,4999
2024-11-18T06:43:00Z,4994,4994,4994,4994
2024-11-18T06:47:00Z,4990,4990,4990,4990
2024-11-18T06:48:00Z,5001,5001,4999,5001
2024-11-18T06:50:00Z,5001,5001,5001,5001
2024-11-18T06:51:00Z,4998,4998,4998,4998
2024-11-18T06:52:00Z,5003,5003,5003,5003
2024-11-18T06:57:00Z,5005,5005,5005,5005
2024-11-18T06:59:00Z,5007,5007,5005,5005
2024-11-18T07:02:00Z,5000,5000,4998,4998
2024-11-18T07:46:00Z,4998,4998,4998,4998
2024-11-18T07:48:00Z,4996,4996,4996,4996
2024-11-18T07:51:00Z,5001,5001,5001,5001
2024-11-18T07:53:00Z,4999,4999,4999,4999
2024-11-18T07:54:00Z,5000,5000,5000,5000
2024-11-18T08:01:00Z,4999,4999,4999,4999
2024-11-18T08:08:00Z,5003,5003,5003,5003
2024-11-18T08:21:00Z,5000,5001,5000,5001
2024-11-18T08:23:00Z,5000,5000,4998,4998
2024-11-18T08:24:00Z,4996,4997,4996,4997
2024-11-18T08:25:00Z,4996,4996,4996,4996
2024-11-18T08:26:00Z,4996,4997,4996,4997
2024-11-18T08:27:00Z,4995,4995,4994,4994
2024-11-18T08:28:00Z,4991,4995,4990,4995
2024-11-18T08:29:00Z,4994,4994,4991,4991
2024-11-18T08:30:00Z,4994,4997,4994,4997
2024-11-18T08:32:00Z,4988,4990,4988,4990
2024-11-18T08:40:00Z,4990,4990,4990,4990
2024-11-18T08:43:00Z,4980,4980,4980,4980
2024-11-18T08:44:00Z,4980,4980,4970,4970
2024-11-18T08:48:00Z,4975,4975,4974,4974
2024-11-18T08:51:00Z,4971,4971,4966,4966
2024-11-18T08:52:00Z,4975,4976,4975,4976
2024-11-18T08:53:00Z,4968,4968,4967,4967
2024-11-18T08:54:00Z,4963,4965,4963,4965
2024-11-18T08:55:00Z,4964,4964,4964,4964
2024-11-18T08:58:00Z,4964,4964,4961,4961
2024-11-18T09:00:00Z,4963,4963,4963,4963
2024-11-18T09:01:00Z,4963,4963,4963,4963
2024-11-18T09:03:00Z,4964,4964,4964,4964
2024-11-18T09:04:00Z,4964,4964,4962,4962
2024-11-18T09:05:00Z,4961,4962,4960,4960
2024-11-18T09:06:00Z,4953,4953,4951,4951
2024-11-18T09:10:00Z,4950,4952,4950,4952
2024-11-18T09:11:00Z,4951,4951,4950,4950
2024-11-18T09:12:00Z,4950,4950,4950,4950
2024-11-18T09:14:00Z,4940,4940,4940,4940
2024-11-18T09:15:00Z,4943,4945,4943,4945
2024-11-18T09:16:00Z,4949,4949,4949,4949
2024-11-18T09:17:00Z,4949,4950,4949,4950
2024-11-18T09:20:00Z,4954,4954,4953,4953
2024-11-18T09:21:00Z,4953,4953,4950,4951
2024-11-18T09:22:00Z,4951,4951,4947,4948
2024-11-18T09:24:00Z,4945,4946,4945,4946
2024-11-18T09:26:00Z,4944,4944,4943,4943
2024-11-18T09:29:00Z,4949,4949,4948,4948
2024-11-18T09:30:00Z,4955,4955,4955,4955
2024-11-18T09:31:00Z,4956,4957,4956,4957
2024-11-18T09:35:00Z,4945,4945,4938,4938
2024-11-18T09:40:00Z,4941,4945,4941,4945
2024-11-18T09:41:00Z,4945,4946,4944,4944
2024-11-18T09:42:00Z,4943,4943,4943,4943
2024-11-18T09:43:00Z,4956,4957,4956,4956
2024-11-18T09:44:00Z,4957,4960,4957,4960
2024-11-18T09:45:00Z,4960,4966,4960,4966
2024-11-18T09:46:00Z,4962,4962,4962,4962
2024-11-18T09:51:00Z,4960,4960,4960,4960
2024-11-18T09:52:00Z,4955,4955,4955,4955
2024-11-18T09:53:00Z,4955,4955,4955,4955
2024-11-18T09:56:00Z,4956,4956,4956,4956
2024-11-18T09:57:00Z,4955,4956,4955,4956
2024-11-18T09:59:00Z,4970,4972,4970,4970
2024-11-18T13:00:00Z,4976,4979,4973,4978
2024-11-18T13:16:00Z,4950,4950,4950,4950
2024-11-18T13:19:00Z,4920,4920,4920,4920
2024-11-18T13:20:00Z,4916,4916,4910,4910
2024-11-18T13:21:00Z,4910,4910,4910,4910
2024-11-18T13:22:00Z,4908,4909,4908,4909
2024-11-18T13:23:00Z,4900,4900,4890,4894
2024-11-18T13:25:00Z,4908,4908,4908,4908
2024-11-18T13:27:00Z,4913,4913,4913,4913
2024-11-18T13:29:00Z,4913,4913,4913,4913
2024-11-18T13:30:00Z,4913,4922,4913,4922
2024-11-18T13:31:00Z,4924,4925,4924,4925
2024-11-18T13:32:00Z,4920,4920,4915,4915
2024-11-18T13:33:00Z,4915,4917,4915,4917
2024-11-18T13:36:00Z,4936,4936,4936,4936
2024-11-18T13:37:00Z,4930,4931,4929,4931
2024-11-18T13:38:00Z,4931,4931,4926,4931
2024-11-18T13:39:00Z,4931,4931,4931,4931
2024-11-18T13:45:00Z,4936,4936,4936,4936
2024-11-18T13:48:00Z,4940,4940,4940,4940
2024-11-18T13:50:00Z,4939,4939,4939,4939
2024-11-18T13:51:00Z,4941,4942,4937,4942
2024-11-18T13:52:00Z,4942,4943,4942,4943
2024-11-18T13:56:00Z,4934,4934,4926,4926
2024-11-18T13:57:00Z,4927,4927,4927,4927
2024-11-18T13:58:00Z,4930,4930,4930,4930
2024-11-18T13:59:00Z,4927,4927,4926,4926
2024-11-18T14:00:00Z,4925,4925,4925,4925
2024-11-18T14:01:00Z,4925,4925,4925,4925
2024-11-18T14:02:00Z,4925,4935,4925,4935
2024-11-18T14:07:00Z,4934,4934,4934,4934
2024-11-18T14:19:00Z,4948,4948,4948,4948
2024-11-18T14:28:00Z,4954,4954,4954,4954
2024-11-18T14:29:00Z,4949,4952,4933,4933
2024-11-18T14:31:00Z,4940,4940,4940,4940
2024-11-18T14:32:00Z,4940,4941,4940,4941
2024-11-18T14:33:00Z,4940,4943,4940,4943
2024-11-18T14:34:00Z,4948,4948,4948,4948
2024-11-18T14:35:00Z,4963,4965,4963,4965
2024-11-18T14:42:00Z,4974,4974,4968,4971
2024-11-18T14:44:00Z,4959,4959,4959,4959
2024-11-18T14:46:00Z,4955,4956,4955,4956
2024-11-18T14:54:00Z,4966,4966,4965,4965
2024-11-18T15:00:00Z,4971,4976,4971,4976
2024-11-18T15:12:00Z,4980,4980,4980,4980
2024-11-18T15:13:00Z,4980,4980,4979,4980
2024-11-18T15:14:00Z,4980,4980,4976,4976
2024-11-18T15:17:00Z,4978,4978,4978,4978
2024-11-19T02:30:00Z,4990,5000,4989,4989
2024-11-19T02:31:00Z,4989,4991,4980,4980
2024-11-19T02:33:00Z,4969,4969,4969,4969
2024-11-19T02:34:00Z,4978,4978,4978,4978
2024-11-19T02:35:00Z,4980,4980,4980,4980
