time,open,high,low,close,Volume
2024-11-25T02:30:00Z,4614,4637,4614,4621,217
2024-11-25T02:31:00Z,4621,4633,4617,4626,23
2024-11-25T02:32:00Z,4626,4630,4626,4627,19
2024-11-25T02:33:00Z,4625,4625,4621,4624,24
2024-11-25T02:34:00Z,4624,4626,4621,4621,40
2024-11-25T02:35:00Z,4621,4621,4608,4611,71
2024-11-25T02:36:00Z,4612,4612,4609,4610,14
2024-11-25T02:37:00Z,4611,4617,4610,4617,74
2024-11-25T02:38:00Z,4616,4620,4616,4620,17
2024-11-25T02:39:00Z,4619,4622,4619,4621,18
2024-11-25T02:40:00Z,4622,4628,4622,4628,10
2024-11-25T02:41:00Z,4629,4638,4629,4635,120
2024-11-25T02:42:00Z,4635,4637,4627,4627,20
2024-11-25T02:43:00Z,4630,4633,4630,4631,3
2024-11-25T02:44:00Z,4629,4629,4621,4622,24
2024-11-25T02:45:00Z,4621,4621,4619,4619,18
2024-11-25T02:46:00Z,4617,4620,4617,4619,7
2024-11-25T02:47:00Z,4619,4620,4617,4620,42
2024-11-25T02:48:00Z,4621,4621,4613,4614,16
2024-11-25T02:49:00Z,4614,4614,4604,4607,144
2024-11-25T02:50:00Z,4609,4610,4604,4605,24
2024-11-25T02:51:00Z,4608,4610,4606,4606,10
2024-11-25T02:52:00Z,4606,4606,4599,4600,50
2024-11-25T02:53:00Z,4602,4602,4595,4595,7
2024-11-25T02:54:00Z,4597,4600,4597,4600,76
2024-11-25T02:55:00Z,4597,4597,4591,4594,7
2024-11-25T02:56:00Z,4596,4597,4592,4592,27
2024-11-25T02:57:00Z,4594,4594,4592,4594,3
2024-11-25T02:58:00Z,4596,4599,4596,4598,13
2024-11-25T02:59:00Z,4598,4598,4590,4590,39
2024-11-25T03:00:00Z,4590,4590,4586,4586,17
2024-11-25T03:01:00Z,4588,4605,4588,4605,65
2024-11-25T03:02:00Z,4606,4608,4603,4603,13
2024-11-25T03:03:00Z,4602,4605,4598,4605,19
2024-11-25T03:04:00Z,4608,4613,4608,4613,8
2024-11-25T03:05:00Z,4615,4615,4615,4615,1
2024-11-25T03:06:00Z,4616,4618,4616,4617,7
2024-11-25T03:07:00Z,4615,4615,4615,4615,1
2024-11-25T03:08:00Z,4611,4614,4609,4614,14
2024-11-25T03:09:00Z,4615,4615,4612,4612,2
2024-11-25T03:10:00Z,4612,4612,4604,4607,35
2024-11-25T03:11:00Z,4606,4607,4604,4605,21
2024-11-25T03:12:00Z,4606,4606,4604,4605,20
2024-11-25T03:13:00Z,4606,4607,4606,4607,10
2024-11-25T03:14:00Z,4606,4606,4604,4606,53
2024-11-25T03:15:00Z,4604,4604,4604,4604,1
2024-11-25T03:16:00Z,4612,4612,4612,4612,1
2024-11-25T03:17:00Z,4614,4614,4612,4612,9
2024-11-25T03:20:00Z,4613,4615,4613,4614,52
2024-11-25T03:21:00Z,4613,4613,4613,4613,2
2024-11-25T03:22:00Z,4616,4616,4610,4610,12
2024-11-25T03:23:00Z,4607,4607,4607,4607,1
2024-11-25T03:24:00Z,4614,4614,4613,4613,4
2024-11-25T03:25:00Z,4612,4612,4611,4611,2
2024-11-25T03:28:00Z,4609,4609,4606,4607,10
2024-11-25T03:29:00Z,4609,4612,4608,4612,8
2024-11-25T03:30:00Z,4613,4613,4613,4613,1
2024-11-25T03:31:00Z,4615,4617,4615,4615,5
2024-11-25T03:32:00Z,4615,4617,4613,4613,17
2024-11-25T03:33:00Z,4612,4612,4611,4611,2
2024-11-25T03:34:00Z,4612,4612,4612,4612,1
2024-11-25T03:35:00Z,4614,4615,4612,4612,39
2024-11-25T03:37:00Z,4614,4620,4614,4619,63
2024-11-25T03:38:00Z,4619,4619,4617,4617,5
2024-11-25T03:39:00Z,4611,4611,4611,4611,2
2024-11-25T03:41:00Z,4611,4611,4610,4610,3
2024-11-25T03:44:00Z,4610,4610,4610,4610,1
2024-11-25T03:48:00Z,4617,4617,4617,4617,1
2024-11-25T03:51:00Z,4617,4617,4617,4617,2
2024-11-25T03:53:00Z,4615,4615,4615,4615,1
2024-11-25T03:54:00Z,4619,4619,4618,4618,3
2024-11-25T03:55:00Z,4619,4621,4619,4620,17
2024-11-25T03:56:00Z,4618,4618,4618,4618,1
2024-11-25T03:59:00Z,4620,4620,4620,4620,1
2024-11-25T04:00:00Z,4620,4621,4620,4621,31
2024-11-25T04:01:00Z,4621,4627,4621,4627,37
2024-11-25T04:02:00Z,4628,4631,4628,4631,11
2024-11-25T04:03:00Z,4631,4633,4630,4630,31
2024-11-25T04:05:00Z,4632,4639,4632,4639,117
2024-11-25T04:06:00Z,4639,4645,4639,4644,106
2024-11-25T04:07:00Z,4644,4647,4644,4646,23
2024-11-25T04:08:00Z,4645,4645,4644,4644,27
2024-11-25T04:09:00Z,4645,4647,4644,4644,13
2024-11-25T04:10:00Z,4644,4644,4638,4640,13
2024-11-25T04:11:00Z,4643,4643,4643,4643,1
2024-11-25T04:14:00Z,4642,4642,4640,4642,28
2024-11-25T04:15:00Z,4642,4642,4640,4641,25
2024-11-25T04:17:00Z,4642,4642,4642,4642,1
2024-11-25T04:18:00Z,4642,4645,4642,4645,16
2024-11-25T04:19:00Z,4643,4646,4643,4645,16
2024-11-25T04:21:00Z,4643,4645,4643,4645,4
2024-11-25T04:22:00Z,4646,4648,4646,4647,15
2024-11-25T04:23:00Z,4646,4646,4646,4646,3
2024-11-25T04:24:00Z,4646,4646,4646,4646,1
2024-11-25T04:25:00Z,4645,4647,4645,4647,8
2024-11-25T04:26:00Z,4646,4646,4643,4643,11
2024-11-25T04:27:00Z,4641,4642,4641,4642,17
2024-11-25T04:29:00Z,4640,4642,4640,4642,3
2024-11-25T06:30:00Z,4641,4641,4628,4631,24
2024-11-25T06:31:00Z,4629,4629,4615,4615,10
2024-11-25T06:32:00Z,4616,4621,4616,4621,43
2024-11-25T06:33:00Z,4621,4622,4620,4620,39
2024-11-25T06:34:00Z,4620,4625,4620,4625,81
2024-11-25T06:35:00Z,4625,4634,4625,4631,81
2024-11-25T06:36:00Z,4631,4631,4629,4629,20
2024-11-25T06:37:00Z,4626,4626,4621,4621,4
2024-11-25T06:38:00Z,4620,4621,4619,4621,14
2024-11-25T06:39:00Z,4622,4623,4622,4623,22
2024-11-25T06:40:00Z,4623,4625,4622,4623,36
2024-11-25T06:41:00Z,4623,4625,4623,4623,40
2024-11-25T06:42:00Z,4623,4627,4623,4627,87
2024-11-25T06:43:00Z,4626,4627,4624,4624,10
2024-11-25T06:44:00Z,4623,4623,4617,4620,21
2024-11-25T06:45:00Z,4621,4622,4621,4621,24
2024-11-25T06:46:00Z,4622,4622,4619,4621,8
2024-11-25T06:47:00Z,4620,4620,4619,4620,10
2024-11-25T06:48:00Z,4620,4624,4620,4622,104
2024-11-25T06:49:00Z,4622,4622,4619,4619,6
2024-11-25T06:50:00Z,4618,4620,4618,4618,7
2024-11-25T06:51:00Z,4619,4621,4619,4621,4
2024-11-25T06:52:00Z,4621,4622,4621,4622,25
2024-11-25T06:53:00Z,4621,4622,4620,4621,29
2024-11-25T06:54:00Z,4622,4625,4622,4625,69
2024-11-25T06:55:00Z,4625,4625,4624,4625,36
2024-11-25T06:56:00Z,4624,4624,4619,4621,34
2024-11-25T06:57:00Z,4621,4622,4619,4621,51
2024-11-25T06:58:00Z,4620,4620,4619,4620,13
2024-11-25T06:59:00Z,4619,4621,4619,4620,12
2024-11-25T07:00:00Z,4620,4621,4620,4621,4
2024-11-25T07:01:00Z,4622,4622,4620,4621,15
2024-11-25T07:02:00Z,4621,4623,4621,4623,27
2024-11-25T07:03:00Z,4624,4629,4624,4628,65
2024-11-25T07:04:00Z,4628,4630,4628,4629,83
2024-11-25T07:05:00Z,4631,4631,4630,4630,8
2024-11-25T07:06:00Z,4631,4631,4630,4630,5
2024-11-25T07:07:00Z,4628,4628,4628,4628,1
2024-11-25T07:08:00Z,4627,4627,4627,4627,10
2024-11-25T07:09:00Z,4627,4629,4627,4629,15
2024-11-25T07:10:00Z,4629,4629,4629,4629,1
2024-11-25T07:11:00Z,4629,4629,4627,4627,9
2024-11-25T07:12:00Z,4627,4627,4627,4627,1
2024-11-25T07:13:00Z,4627,4627,4624,4624,4
2024-11-25T07:14:00Z,4621,4623,4620,4623,8
2024-11-25T07:15:00Z,4623,4623,4623,4623,18
2024-11-25T07:16:00Z,4624,4624,4623,4623,5
2024-11-25T07:19:00Z,4623,4624,4620,4624,18
2024-11-25T07:20:00Z,4622,4622,4618,4620,12
2024-11-25T07:21:00Z,4621,4621,4620,4620,4
2024-11-25T07:22:00Z,4620,4620,4619,4620,9
2024-11-25T07:23:00Z,4618,4618,4615,4616,8
2024-11-25T07:24:00Z,4615,4615,4613,4614,14
2024-11-25T07:25:00Z,4613,4613,4612,4612,6
2024-11-25T07:26:00Z,4616,4620,4616,4619,40
2024-11-25T07:27:00Z,4620,4621,4620,4620,33
2024-11-25T07:29:00Z,4619,4619,4619,4619,2
2024-11-25T07:30:00Z,4613,4613,4603,4605,19
2024-11-25T07:31:00Z,4603,4604,4600,4600,123
2024-11-25T07:32:00Z,4600,4600,4597,4599,26
2024-11-25T07:33:00Z,4600,4605,4600,4604,78
2024-11-25T07:34:00Z,4604,4604,4603,4603,24
2024-11-25T07:35:00Z,4605,4605,4602,4602,8
2024-11-25T07:36:00Z,4602,4602,4592,4593,62
2024-11-25T07:37:00Z,4594,4594,4592,4593,9
2024-11-25T07:38:00Z,4591,4591,4590,4591,10
2024-11-25T07:39:00Z,4593,4598,4593,4595,37
2024-11-25T07:40:00Z,4594,4596,4592,4592,11
2024-11-25T07:41:00Z,4594,4594,4594,4594,30
2024-11-25T07:42:00Z,4593,4594,4593,4594,3
2024-11-25T07:44:00Z,4594,4594,4594,4594,3
2024-11-25T07:45:00Z,4593,4594,4593,4594,10
2024-11-25T07:46:00Z,4596,4596,4596,4596,1
2024-11-25T07:48:00Z,4593,4593,4593,4593,1
2024-11-25T07:49:00Z,4596,4596,4596,4596,1
2024-11-25T07:50:00Z,4598,4598,4596,4596,7
2024-11-25T07:52:00Z,4600,4600,4600,4600,2
2024-11-25T07:53:00Z,4602,4602,4602,4602,3
2024-11-25T07:54:00Z,4601,4601,4597,4597,5
2024-11-25T07:55:00Z,4594,4594,4594,4594,2
2024-11-25T07:57:00Z,4602,4603,4602,4603,2
2024-11-25T07:58:00Z,4605,4605,4604,4604,4
2024-11-25T07:59:00Z,4606,4606,4604,4604,3
2024-11-25T08:01:00Z,4604,4604,4604,4604,1
2024-11-25T08:03:00Z,4606,4606,4606,4606,2
2024-11-25T08:04:00Z,4604,4604,4604,4604,1
2024-11-25T08:06:00Z,4605,4607,4605,4607,5
2024-11-25T08:07:00Z,4604,4604,4601,4601,2
2024-11-25T08:09:00Z,4596,4596,4596,4596,3
2024-11-25T08:10:00Z,4598,4598,4598,4598,2
2024-11-25T08:11:00Z,4599,4599,4598,4598,20
2024-11-25T08:12:00Z,4598,4599,4598,4599,35
2024-11-25T08:13:00Z,4598,4598,4598,4598,10
2024-11-25T08:14:00Z,4599,4600,4599,4599,4
2024-11-25T08:15:00Z,4598,4598,4597,4597,3
2024-11-25T08:16:00Z,4600,4600,4600,4600,19
2024-11-25T08:19:00Z,4600,4600,4600,4600,1
2024-11-25T08:21:00Z,4606,4606,4606,4606,1
2024-11-25T08:22:00Z,4603,4603,4591,4594,24
2024-11-25T08:23:00Z,4595,4595,4595,4595,1
2024-11-25T08:25:00Z,4595,4596,4595,4596,2
2024-11-25T08:28:00Z,4599,4599,4599,4599,3
2024-11-25T08:29:00Z,4601,4606,4601,4604,28
2024-11-25T08:30:00Z,4601,4601,4596,4597,18
2024-11-25T08:31:00Z,4595,4595,4595,4595,3
2024-11-25T08:32:00Z,4595,4595,4593,4593,2
2024-11-25T08:33:00Z,4591,4591,4587,4587,44
2024-11-25T08:34:00Z,4583,4584,4582,4582,5
2024-11-25T08:35:00Z,4586,4588,4585,4586,35
2024-11-25T08:36:00Z,4585,4586,4585,4586,3
2024-11-25T08:37:00Z,4587,4590,4587,4588,39
2024-11-25T08:38:00Z,4588,4588,4587,4588,5
2024-11-25T08:39:00Z,4587,4588,4587,4588,3
2024-11-25T08:40:00Z,4587,4587,4579,4579,38
2024-11-25T08:41:00Z,4581,4583,4581,4583,7
2024-11-25T08:42:00Z,4585,4586,4585,4586,2
2024-11-25T08:45:00Z,4587,4588,4586,4586,13
2024-11-25T08:48:00Z,4588,4588,4588,4588,1
2024-11-25T08:49:00Z,4588,4588,4586,4586,2
2024-11-25T08:50:00Z,4582,4582,4582,4582,10
2024-11-25T08:51:00Z,4582,4582,4582,4582,1
2024-11-25T08:53:00Z,4582,4582,4582,4582,2
2024-11-25T08:54:00Z,4581,4583,4581,4583,5
2024-11-25T08:55:00Z,4584,4584,4584,4584,7
2024-11-25T08:57:00Z,4584,4586,4584,4586,35
2024-11-25T08:58:00Z,4589,4595,4586,4595,21
2024-11-25T08:59:00Z,4599,4599,4598,4598,3
2024-11-25T09:00:00Z,4604,4618,4603,4609,48
2024-11-25T09:01:00Z,4606,4614,4605,4614,13
2024-11-25T09:02:00Z,4614,4614,4614,4614,1
2024-11-25T09:03:00Z,4613,4614,4613,4614,2
2024-11-25T09:04:00Z,4612,4612,4610,4612,8
2024-11-25T09:05:00Z,4616,4616,4616,4616,3
2024-11-25T09:06:00Z,4618,4621,4615,4619,58
2024-11-25T09:07:00Z,4620,4621,4620,4621,5
2024-11-25T09:08:00Z,4620,4620,4620,4620,1
2024-11-25T09:11:00Z,4619,4619,4619,4619,1
2024-11-25T09:12:00Z,4618,4621,4618,4621,15
2024-11-25T09:13:00Z,4622,4622,4622,4622,1
2024-11-25T09:15:00Z,4620,4623,4619,4619,11
2024-11-25T09:16:00Z,4616,4616,4615,4616,10
2024-11-25T09:17:00Z,4618,4620,4616,4620,74
2024-11-25T09:18:00Z,4621,4621,4619,4619,9
2024-11-25T09:19:00Z,4618,4618,4614,4614,15
2024-11-25T09:20:00Z,4615,4615,4613,4613,11
2024-11-25T09:21:00Z,4613,4613,4610,4610,6
2024-11-25T09:22:00Z,4611,4611,4609,4611,14
2024-11-25T09:24:00Z,4608,4608,4600,4600,18
2024-11-25T09:25:00Z,4600,4600,4596,4596,27
2024-11-25T09:26:00Z,4601,4602,4601,4602,5
2024-11-25T09:28:00Z,4600,4600,4591,4591,21
2024-11-25T09:29:00Z,4599,4604,4599,4604,4
2024-11-25T09:30:00Z,4605,4606,4604,4604,24
2024-11-25T09:31:00Z,4604,4604,4604,4604,1
2024-11-25T09:33:00Z,4601,4601,4601,4601,2
2024-11-25T09:34:00Z,4601,4601,4599,4600,44
2024-11-25T09:36:00Z,4598,4598,4596,4596,8
2024-11-25T09:37:00Z,4594,4594,4593,4593,4
2024-11-25T09:38:00Z,4595,4596,4595,4596,3
2024-11-25T09:39:00Z,4593,4593,4593,4593,3
