time,open,high,low,close,Volume
2024-12-23T02:30:00Z,4304,4329,4303,4325,78
2024-12-23T02:31:00Z,4323,4323,4310,4310,10
2024-12-23T02:32:00Z,4307,4308,4295,4299,15
2024-12-23T02:33:00Z,4306,4309,4305,4305,8
2024-12-23T02:34:00Z,4312,4316,4312,4316,2
2024-12-23T02:35:00Z,4318,4327,4318,4325,17
2024-12-23T02:36:00Z,4320,4320,4318,4318,3
2024-12-23T02:37:00Z,4319,4340,4319,4335,49
2024-12-23T02:38:00Z,4337,4344,4336,4341,27
2024-12-23T02:39:00Z,4336,4344,4336,4344,9
2024-12-23T02:40:00Z,4336,4340,4336,4340,8
2024-12-23T02:41:00Z,4337,4337,4333,4335,9
2024-12-23T02:42:00Z,4336,4336,4329,4336,22
2024-12-23T02:43:00Z,4331,4331,4330,4330,2
2024-12-23T02:44:00Z,4330,4330,4330,4330,1
2024-12-23T02:45:00Z,4333,4340,4333,4338,23
2024-12-23T02:46:00Z,4337,4337,4337,4337,3
2024-12-23T02:47:00Z,4337,4338,4333,4333,3
2024-12-23T02:48:00Z,4335,4347,4335,4346,39
2024-12-23T02:49:00Z,4347,4350,4347,4350,44
2024-12-23T02:50:00Z,4350,4350,4347,4347,2
2024-12-23T02:51:00Z,4337,4338,4335,4338,7
2024-12-23T02:52:00Z,4342,4342,4342,4342,3
2024-12-23T02:53:00Z,4342,4343,4335,4335,9
2024-12-23T02:55:00Z,4337,4337,4337,4337,1
2024-12-23T02:56:00Z,4339,4339,4339,4339,2
2024-12-23T02:57:00Z,4343,4343,4339,4339,4
2024-12-23T03:00:00Z,4335,4335,4335,4335,1
2024-12-23T03:01:00Z,4337,4337,4334,4334,7
2024-12-23T03:02:00Z,4334,4334,4328,4328,15
2024-12-23T03:04:00Z,4334,4336,4333,4333,7
2024-12-23T03:05:00Z,4336,4341,4336,4341,18
2024-12-23T03:06:00Z,4341,4348,4339,4348,12
2024-12-23T03:07:00Z,4348,4352,4348,4348,6
2024-12-23T03:08:00Z,4352,4352,4349,4349,3
