time,open,high,low,close,Volume
2025-04-25T02:54:00Z,4162,4163,4162,4163,4
2025-04-25T02:55:00Z,4163,4172,4163,4171,167
2025-04-25T02:56:00Z,4172,4173,4172,4173,16
2025-04-25T02:58:00Z,4171,4171,4170,4171,36
2025-04-25T02:59:00Z,4169,4169,4169,4169,2
2025-04-25T03:00:00Z,4167,4167,4165,4166,12
2025-04-25T03:01:00Z,4167,4168,4167,4167,13
2025-04-25T03:02:00Z,4170,4172,4170,4170,17
2025-04-25T03:03:00Z,4169,4169,4166,4166,28
2025-04-25T03:04:00Z,4165,4169,4165,4167,55
2025-04-25T03:05:00Z,4168,4168,4166,4167,6
2025-04-25T03:06:00Z,4167,4167,4165,4165,7
2025-04-25T03:07:00Z,4167,4169,4167,4169,23
2025-04-25T03:08:00Z,4168,4170,4166,4166,34
2025-04-25T03:09:00Z,4163,4166,4163,4166,11
2025-04-25T03:10:00Z,4165,4165,4165,4165,6
2025-04-25T03:11:00Z,4165,4165,4165,4165,6
2025-04-25T03:12:00Z,4166,4166,4165,4165,12
2025-04-25T03:13:00Z,4168,4170,4168,4170,25
2025-04-25T03:14:00Z,4170,4170,4168,4168,70
2025-04-25T03:15:00Z,4167,4167,4166,4167,20
2025-04-25T03:16:00Z,4166,4166,4166,4166,39
2025-04-25T03:17:00Z,4167,4167,4166,4166,13
2025-04-25T03:18:00Z,4165,4165,4161,4161,10
2025-04-25T03:19:00Z,4163,4163,4163,4163,1
2025-04-25T03:20:00Z,4163,4164,4163,4164,3
2025-04-25T03:21:00Z,4162,4165,4162,4165,20
2025-04-25T03:22:00Z,4162,4162,4162,4162,24
2025-04-25T03:23:00Z,4162,4162,4162,4162,5
2025-04-25T03:24:00Z,4163,4163,4163,4163,4
2025-04-25T03:25:00Z,4162,4163,4160,4160,6
2025-04-25T03:26:00Z,4159,4159,4158,4158,9
2025-04-25T03:27:00Z,4158,4158,4156,4158,22
2025-04-25T03:28:00Z,4162,4163,4162,4163,10
2025-04-25T03:29:00Z,4162,4162,4162,4162,1
2025-04-25T03:30:00Z,4162,4162,4162,4162,1
2025-04-25T03:31:00Z,4161,4161,4154,4156,143
2025-04-25T03:32:00Z,4156,4156,4151,4152,21
2025-04-25T03:33:00Z,4152,4152,4146,4146,34
2025-04-25T03:34:00Z,4147,4149,4147,4149,13
2025-04-25T03:36:00Z,4148,4150,4148,4150,3
2025-04-25T03:37:00Z,4152,4152,4152,4152,1
2025-04-25T03:38:00Z,4153,4153,4153,4153,3
2025-04-25T03:43:00Z,4153,4153,4153,4153,8
2025-04-25T03:44:00Z,4155,4155,4155,4155,11
2025-04-25T03:46:00Z,4150,4150,4147,4147,60
2025-04-25T03:47:00Z,4147,4147,4145,4145,20
2025-04-25T03:50:00Z,4154,4154,4154,4154,1
2025-04-25T03:55:00Z,4154,4154,4154,4154,1
2025-04-25T04:04:00Z,4153,4153,4153,4153,2
2025-04-25T04:05:00Z,4153,4153,4153,4153,1
2025-04-25T04:06:00Z,4153,4153,4150,4150,55
2025-04-25T04:08:00Z,4150,4150,4150,4150,13
2025-04-25T04:09:00Z,4149,4149,4147,4147,31
2025-04-25T04:10:00Z,4146,4146,4144,4144,7
2025-04-25T04:13:00Z,4143,4143,4141,4141,38
2025-04-25T04:15:00Z,4142,4142,4142,4142,2
2025-04-25T04:16:00Z,4142,4142,4142,4142,13
2025-04-25T04:19:00Z,4142,4142,4142,4142,7
2025-04-25T04:20:00Z,4142,4142,4142,4142,4
2025-04-25T04:22:00Z,4139,4139,4137,4137,5
2025-04-25T04:23:00Z,4138,4139,4138,4139,2
2025-04-25T04:24:00Z,4138,4140,4138,4140,7
2025-04-25T04:25:00Z,4139,4142,4139,4141,15
2025-04-25T04:26:00Z,4141,4141,4141,4141,4
2025-04-25T04:27:00Z,4139,4139,4139,4139,2
2025-04-25T04:28:00Z,4140,4141,4140,4141,2
2025-04-25T04:29:00Z,4141,4142,4141,4141,7
2025-04-25T06:30:00Z,4139,4141,4137,4141,19
2025-04-25T06:31:00Z,4136,4136,4135,4135,7
2025-04-25T06:34:00Z,4137,4137,4136,4137,6
2025-04-25T06:35:00Z,4137,4137,4136,4136,15
2025-04-25T06:36:00Z,4137,4139,4137,4138,19
2025-04-25T06:37:00Z,4134,4135,4134,4135,45
2025-04-25T06:38:00Z,4135,4135,4134,4135,32
2025-04-25T06:39:00Z,4133,4133,4131,4131,19
2025-04-25T06:40:00Z,4129,4129,4128,4129,23
2025-04-25T06:41:00Z,4129,4129,4126,4126,45
2025-04-25T06:42:00Z,4127,4129,4126,4129,23
2025-04-25T06:43:00Z,4128,4129,4128,4129,15
2025-04-25T06:44:00Z,4132,4132,4131,4131,24
2025-04-25T06:45:00Z,4132,4132,4131,4131,2
2025-04-25T06:46:00Z,4134,4134,4133,4133,4
2025-04-25T06:47:00Z,4127,4127,4119,4119,12
2025-04-25T06:48:00Z,4117,4117,4114,4115,43
2025-04-25T06:49:00Z,4113,4116,4113,4116,9
2025-04-25T06:50:00Z,4116,4123,4115,4123,59
2025-04-25T06:51:00Z,4124,4124,4123,4123,6
2025-04-25T06:52:00Z,4123,4123,4112,4112,11
2025-04-25T06:53:00Z,4112,4112,4112,4112,1
2025-04-25T06:54:00Z,4114,4114,4111,4114,7
2025-04-25T06:55:00Z,4114,4114,4110,4110,17
2025-04-25T06:56:00Z,4108,4108,4108,4108,1
2025-04-25T06:57:00Z,4106,4108,4105,4108,27
2025-04-25T06:58:00Z,4106,4108,4106,4107,10
2025-04-25T06:59:00Z,4110,4113,4110,4113,41
2025-04-25T07:00:00Z,4113,4117,4113,4116,16
2025-04-25T07:01:00Z,4114,4115,4113,4113,6
2025-04-25T07:02:00Z,4113,4113,4109,4109,30
2025-04-25T07:03:00Z,4113,4113,4111,4112,9
2025-04-25T07:04:00Z,4111,4114,4111,4114,3
2025-04-25T07:05:00Z,4117,4117,4112,4112,6
2025-04-25T07:06:00Z,4110,4110,4105,4107,57
2025-04-25T07:07:00Z,4108,4108,4108,4108,2
2025-04-25T07:08:00Z,4107,4107,4105,4105,13
2025-04-25T07:10:00Z,4106,4106,4105,4106,13
2025-04-25T07:11:00Z,4108,4110,4108,4110,27
2025-04-25T07:12:00Z,4110,4110,4110,4110,3
2025-04-25T07:13:00Z,4110,4110,4110,4110,60
2025-04-25T07:14:00Z,4114,4114,4114,4114,2
2025-04-25T07:15:00Z,4119,4119,4117,4117,12
2025-04-25T07:16:00Z,4115,4115,4113,4113,21
2025-04-25T07:17:00Z,4110,4110,4110,4110,213
2025-04-25T07:18:00Z,4110,4110,4105,4105,28
2025-04-25T07:19:00Z,4105,4105,4105,4105,4
2025-04-25T07:20:00Z,4104,4104,4100,4100,14
2025-04-25T07:24:00Z,4101,4101,4101,4101,1
2025-04-25T07:25:00Z,4100,4100,4100,4100,94
2025-04-25T07:26:00Z,4097,4097,4089,4089,10
2025-04-25T07:27:00Z,4089,4090,4088,4088,11
