time,open,high,low,close,Volume
2025-05-29T03:10:00Z,3940,3942,3939,3942,85
2025-05-29T03:11:00Z,3939,3939,3935,3935,7
2025-05-29T03:12:00Z,3938,3939,3938,3939,3
2025-05-29T03:13:00Z,3940,3940,3940,3940,2
2025-05-29T03:14:00Z,3940,3940,3940,3940,1
2025-05-29T03:15:00Z,3942,3943,3942,3943,40
2025-05-29T03:16:00Z,3941,3941,3941,3941,2
2025-05-29T03:17:00Z,3938,3938,3938,3938,5
2025-05-29T03:18:00Z,3937,3937,3937,3937,4
2025-05-29T03:19:00Z,3937,3937,3937,3937,4
2025-05-29T03:20:00Z,3938,3938,3938,3938,18
2025-05-29T03:21:00Z,3938,3938,3938,3938,1
2025-05-29T03:23:00Z,3938,3938,3938,3938,3
2025-05-29T03:24:00Z,3937,3940,3937,3939,51
2025-05-29T03:26:00Z,3940,3940,3940,3940,1
2025-05-29T03:35:00Z,3935,3935,3935,3935,22
2025-05-29T03:36:00Z,3934,3934,3934,3934,1
2025-05-29T03:38:00Z,3933,3934,3933,3934,22
2025-05-29T03:39:00Z,3933,3936,3933,3936,12
2025-05-29T03:40:00Z,3937,3937,3936,3937,24
2025-05-29T03:41:00Z,3937,3937,3937,3937,2
2025-05-29T03:42:00Z,3935,3935,3935,3935,10
2025-05-29T03:43:00Z,3937,3938,3937,3937,26
2025-05-29T03:46:00Z,3935,3935,3934,3935,21
2025-05-29T03:51:00Z,3932,3932,3932,3932,1
2025-05-29T03:56:00Z,3935,3935,3935,3935,1
2025-05-29T03:58:00Z,3937,3937,3937,3937,2
2025-05-29T04:01:00Z,3936,3936,3936,3936,1
2025-05-29T04:03:00Z,3936,3936,3933,3933,11
2025-05-29T04:04:00Z,3933,3933,3933,3933,1
2025-05-29T04:05:00Z,3931,3933,3931,3933,8
2025-05-29T04:13:00Z,3934,3937,3934,3937,52
2025-05-29T04:14:00Z,3938,3938,3938,3938,1
2025-05-29T04:16:00Z,3937,3937,3937,3937,1
2025-05-29T04:26:00Z,3936,3937,3936,3937,2
2025-05-29T04:29:00Z,3938,3938,3938,3938,1
2025-05-29T06:30:00Z,3944,3947,3942,3945,26
2025-05-29T06:32:00Z,3949,3951,3949,3951,51
2025-05-29T06:34:00Z,3951,3951,3950,3950,22
2025-05-29T06:35:00Z,3948,3954,3948,3953,28
2025-05-29T06:36:00Z,3954,3955,3954,3955,24
2025-05-29T06:37:00Z,3954,3954,3954,3954,2
2025-05-29T06:43:00Z,3950,3952,3950,3952,51
2025-05-29T06:44:00Z,3953,3955,3953,3955,32
2025-05-29T06:45:00Z,3956,3957,3955,3957,84
2025-05-29T06:46:00Z,3956,3956,3954,3954,27
2025-05-29T06:49:00Z,3954,3956,3952,3952,80
2025-05-29T06:50:00Z,3955,3957,3955,3957,6
2025-05-29T06:51:00Z,3958,3960,3958,3958,35
2025-05-29T06:54:00Z,3959,3959,3959,3959,2
2025-05-29T06:55:00Z,3959,3960,3955,3958,20
2025-05-29T06:56:00Z,3956,3956,3956,3956,2
