time,open,high,low,close,Volume
2025-08-27T14:41:00Z,4446,4447,4446,4447,13
2025-08-27T14:42:00Z,4447,4447,4438,4446,39
2025-08-27T14:43:00Z,4446,4446,4445,4445,26
2025-08-27T14:46:00Z,4444,4444,4444,4444,28
2025-08-27T14:52:00Z,4442,4442,4442,4442,1
2025-08-27T14:54:00Z,4443,4443,4443,4443,2
2025-08-27T14:56:00Z,4446,4448,4446,4448,6
2025-08-27T14:57:00Z,4448,4449,4448,4449,6
2025-08-27T15:01:00Z,4446,4446,4446,4446,3
2025-08-27T15:09:00Z,4449,4450,4449,4450,25
2025-08-27T15:10:00Z,4450,4450,4449,4449,15
2025-08-27T15:11:00Z,4449,4449,4449,4449,21
2025-08-27T15:21:00Z,4447,4447,4447,4447,10
2025-08-27T15:23:00Z,4447,4447,4445,4445,5
2025-08-27T15:24:00Z,4447,4447,4447,4447,1
2025-08-27T15:28:00Z,4447,4447,4447,4447,2
2025-08-27T15:29:00Z,4445,4445,4444,4444,26
2025-08-28T02:30:00Z,4443,4446,4438,4446,31
2025-08-28T02:31:00Z,4448,4449,4448,4449,3
2025-08-28T02:32:00Z,4449,4449,4449,4449,3
2025-08-28T02:33:00Z,4451,4454,4446,4446,24
2025-08-28T02:34:00Z,4447,4447,4447,4447,1
2025-08-28T02:35:00Z,4446,4446,4446,4446,1
2025-08-28T02:37:00Z,4446,4446,4446,4446,3
2025-08-28T02:38:00Z,4448,4448,4448,4448,1
2025-08-28T02:39:00Z,4443,4443,4441,4441,4
2025-08-28T02:40:00Z,4441,4441,4436,4439,15
2025-08-28T02:41:00Z,4438,4438,4438,4438,1
2025-08-28T02:46:00Z,4439,4439,4439,4439,1
2025-08-28T02:47:00Z,4437,4437,4437,4437,4
2025-08-28T02:49:00Z,4440,4440,4440,4440,5
2025-08-28T02:50:00Z,4437,4437,4432,4432,5
2025-08-28T02:51:00Z,4431,4431,4431,4431,11
2025-08-28T02:52:00Z,4432,4434,4432,4434,8
2025-08-28T02:53:00Z,4433,4433,4429,4429,7
2025-08-28T02:54:00Z,4429,4429,4428,4428,7
2025-08-28T02:55:00Z,4427,4429,4426,4429,70
2025-08-28T02:56:00Z,4428,4428,4424,4424,42
2025-08-28T02:57:00Z,4424,4424,4422,4422,8
2025-08-28T02:58:00Z,4429,4430,4427,4430,20
2025-08-28T02:59:00Z,4431,4431,4429,4429,3
2025-08-28T03:00:00Z,4431,4431,4425,4425,4
2025-08-28T03:01:00Z,4424,4426,4422,4426,34
2025-08-28T03:02:00Z,4423,4423,4422,4422,22
2025-08-28T03:03:00Z,4421,4421,4418,4419,9
2025-08-28T03:04:00Z,4416,4419,4416,4418,5
2025-08-28T03:05:00Z,4418,4418,4416,4418,33
2025-08-28T03:06:00Z,4422,4422,4422,4422,4
2025-08-28T03:07:00Z,4422,4422,4422,4422,4
2025-08-28T03:08:00Z,4423,4424,4422,4424,10
2025-08-28T03:09:00Z,4421,4422,4419,4419,6
2025-08-28T03:10:00Z,4422,4422,4420,4420,2
2025-08-28T03:11:00Z,4421,4421,4420,4420,17
2025-08-28T03:12:00Z,4419,4421,4419,4421,9
2025-08-28T03:16:00Z,4420,4420,4420,4420,1
2025-08-28T03:17:00Z,4418,4418,4417,4418,5
2025-08-28T03:18:00Z,4416,4418,4416,4418,16
2025-08-28T03:19:00Z,4418,4419,4418,4419,6
2025-08-28T03:21:00Z,4421,4421,4421,4421,1
2025-08-28T03:23:00Z,4421,4421,4421,4421,2
2025-08-28T03:26:00Z,4419,4419,4419,4419,2
2025-08-28T03:28:00Z,4419,4422,4419,4422,18
