time,open,high,low,close,Volume
2025-09-30T04:02:00Z,4326,4326,4326,4326,14
2025-09-30T04:03:00Z,4325,4325,4325,4325,1
2025-09-30T04:04:00Z,4324,4324,4323,4323,8
2025-09-30T04:05:00Z,4324,4324,4324,4324,2
2025-09-30T04:10:00Z,4326,4326,4325,4325,10
2025-09-30T04:13:00Z,4324,4324,4324,4324,1
2025-09-30T04:14:00Z,4323,4323,4323,4323,5
2025-09-30T04:15:00Z,4323,4323,4322,4323,36
2025-09-30T04:16:00Z,4323,4323,4323,4323,13
2025-09-30T04:17:00Z,4322,4324,4322,4323,98
2025-09-30T04:18:00Z,4322,4322,4322,4322,14
2025-09-30T04:19:00Z,4321,4321,4320,4320,11
2025-09-30T04:20:00Z,4319,4319,4318,4318,12
2025-09-30T04:21:00Z,4321,4321,4321,4321,13
2025-09-30T04:22:00Z,4322,4322,4322,4322,1
2025-09-30T04:29:00Z,4318,4318,4317,4317,54
2025-09-30T06:30:00Z,4326,4326,4321,4326,62
2025-09-30T06:32:00Z,4331,4332,4331,4331,8
2025-09-30T06:33:00Z,4330,4332,4330,4332,4
2025-09-30T06:35:00Z,4332,4332,4332,4332,2
2025-09-30T06:36:00Z,4334,4334,4334,4334,2
2025-09-30T06:37:00Z,4330,4332,4330,4332,8
2025-09-30T06:39:00Z,4330,4330,4330,4330,5
2025-09-30T06:40:00Z,4329,4329,4329,4329,21
2025-09-30T06:41:00Z,4329,4329,4329,4329,1
2025-09-30T06:48:00Z,4329,4329,4320,4320,13
2025-09-30T06:53:00Z,4332,4338,4332,4338,18
2025-09-30T06:55:00Z,4338,4338,4338,4338,14
2025-09-30T06:57:00Z,4337,4337,4337,4337,6
2025-09-30T06:59:00Z,4339,4339,4339,4339,1
2025-09-30T07:01:00Z,4340,4340,4340,4340,5
2025-09-30T07:02:00Z,4340,4340,4339,4339,40
2025-09-30T07:04:00Z,4337,4337,4337,4337,4
2025-09-30T07:07:00Z,4331,4331,4331,4331,1
2025-09-30T07:10:00Z,4330,4330,4330,4330,10
2025-09-30T07:11:00Z,4330,4330,4330,4330,4
2025-09-30T07:12:00Z,4333,4335,4333,4335,46
2025-09-30T07:17:00Z,4336,4336,4336,4336,3
2025-09-30T07:18:00Z,4336,4337,4336,4337,42
2025-09-30T07:20:00Z,4335,4337,4335,4337,36
2025-09-30T07:21:00Z,4337,4337,4336,4336,15
2025-09-30T07:23:00Z,4335,4335,4335,4335,6
2025-09-30T07:24:00Z,4334,4334,4334,4334,1
2025-09-30T07:25:00Z,4332,4332,4330,4330,4
2025-09-30T07:27:00Z,4329,4330,4329,4329,21
2025-09-30T07:28:00Z,4327,4328,4327,4328,11
2025-09-30T07:29:00Z,4327,4327,4327,4327,4
2025-09-30T07:30:00Z,4326,4326,4320,4321,28
2025-09-30T07:31:00Z,4320,4320,4318,4319,43
2025-09-30T07:32:00Z,4321,4322,4321,4322,7
2025-09-30T07:34:00Z,4318,4318,4315,4315,31
2025-09-30T07:35:00Z,4315,4317,4315,4317,14
2025-09-30T07:36:00Z,4317,4317,4315,4315,8
2025-09-30T07:37:00Z,4316,4316,4315,4316,25
2025-09-30T07:38:00Z,4316,4316,4315,4315,5
2025-09-30T07:39:00Z,4315,4317,4315,4317,26
2025-09-30T07:40:00Z,4318,4318,4317,4317,8
2025-09-30T07:43:00Z,4318,4318,4318,4318,1
2025-09-30T07:44:00Z,4316,4317,4315,4317,15
2025-09-30T07:45:00Z,4316,4316,4316,4316,8
2025-09-30T07:46:00Z,4316,4317,4316,4317,12
2025-09-30T07:47:00Z,4316,4317,4316,4317,17
2025-09-30T07:49:00Z,4316,4316,4310,4310,168
2025-09-30T07:50:00Z,4311,4311,4311,4311,4
2025-09-30T07:51:00Z,4312,4313,4311,4311,23
2025-09-30T07:52:00Z,4313,4313,4313,4313,29
2025-09-30T07:53:00Z,4313,4313,4313,4313,2
2025-09-30T07:54:00Z,4313,4313,4313,4313,6
2025-09-30T07:55:00Z,4312,4312,4312,4312,1
2025-09-30T07:56:00Z,4314,4316,4314,4316,32
2025-09-30T07:57:00Z,4316,4316,4315,4315,18
2025-09-30T07:58:00Z,4315,4315,4314,4314,9
2025-09-30T08:00:00Z,4312,4312,4312,4312,1
2025-09-30T08:03:00Z,4310,4310,4308,4308,66
2025-09-30T08:05:00Z,4306,4306,4306,4306,1
2025-09-30T08:06:00Z,4306,4306,4306,4306,3
2025-09-30T08:09:00Z,4307,4307,4306,4306,10
2025-09-30T08:10:00Z,4309,4309,4309,4309,10
2025-09-30T08:12:00Z,4310,4310,4309,4309,33
