time,open,high,low,close,Volume
2025-10-28T07:57:00Z,4301,4301,4300,4300,9
2025-10-28T07:58:00Z,4300,4300,4299,4300,70
2025-10-28T07:59:00Z,4299,4299,4295,4295,38
2025-10-28T08:00:00Z,4295,4300,4295,4300,21
2025-10-28T08:01:00Z,4298,4300,4297,4300,31
2025-10-28T08:02:00Z,4298,4299,4298,4299,2
2025-10-28T08:05:00Z,4301,4301,4300,4300,50
2025-10-28T08:06:00Z,4300,4300,4300,4300,15
2025-10-28T08:07:00Z,4300,4300,4300,4300,5
2025-10-28T08:08:00Z,4297,4299,4296,4299,22
2025-10-28T08:09:00Z,4297,4297,4297,4297,1
2025-10-28T08:10:00Z,4300,4300,4300,4300,1
2025-10-28T08:11:00Z,4299,4301,4299,4300,18
2025-10-28T08:13:00Z,4302,4302,4300,4301,10
2025-10-28T08:14:00Z,4300,4301,4300,4301,27
2025-10-28T08:15:00Z,4300,4300,4300,4300,5
2025-10-28T08:16:00Z,4300,4300,4298,4298,72
2025-10-28T08:17:00Z,4296,4299,4296,4299,78
2025-10-28T08:18:00Z,4298,4298,4298,4298,1
2025-10-28T08:19:00Z,4297,4299,4295,4295,87
2025-10-28T08:22:00Z,4297,4297,4296,4296,10
2025-10-28T08:25:00Z,4298,4298,4298,4298,1
2025-10-28T08:27:00Z,4298,4298,4298,4298,5
2025-10-28T08:28:00Z,4297,4298,4297,4298,49
2025-10-28T08:29:00Z,4297,4297,4297,4297,7
2025-10-28T08:30:00Z,4297,4300,4297,4300,9
2025-10-28T08:32:00Z,4300,4300,4299,4299,19
2025-10-28T08:33:00Z,4299,4299,4299,4299,20
2025-10-28T08:34:00Z,4297,4297,4296,4296,7
2025-10-28T08:36:00Z,4294,4294,4294,4294,1
2025-10-28T08:37:00Z,4294,4294,4293,4294,28
2025-10-28T08:38:00Z,4294,4294,4293,4293,3
2025-10-28T08:39:00Z,4294,4295,4294,4294,11
2025-10-28T08:40:00Z,4292,4294,4292,4293,73
2025-10-28T08:41:00Z,4293,4293,4293,4293,10
2025-10-28T08:42:00Z,4293,4295,4293,4293,13
2025-10-28T08:43:00Z,4292,4292,4288,4288,30
2025-10-28T08:44:00Z,4288,4288,4287,4287,40
2025-10-28T08:45:00Z,4292,4292,4291,4292,4
2025-10-28T08:46:00Z,4291,4291,4291,4291,13
2025-10-28T08:47:00Z,4290,4290,4290,4290,21
2025-10-28T08:48:00Z,4291,4293,4290,4293,78
2025-10-28T08:49:00Z,4293,4294,4292,4292,24
2025-10-28T08:51:00Z,4293,4296,4293,4296,3
2025-10-28T08:54:00Z,4296,4296,4293,4293,22
2025-10-28T08:55:00Z,4293,4293,4293,4293,3
2025-10-28T08:56:00Z,4294,4294,4294,4294,12
2025-10-28T08:58:00Z,4291,4291,4290,4290,35
2025-10-28T08:59:00Z,4291,4291,4291,4291,5
2025-10-28T09:00:00Z,4292,4292,4292,4292,2
2025-10-28T09:03:00Z,4293,4293,4292,4292,14
2025-10-28T09:04:00Z,4294,4294,4292,4293,12
2025-10-28T09:05:00Z,4293,4295,4292,4293,32
2025-10-28T09:06:00Z,4295,4295,4293,4294,10
