time,open,high,low,close,Volume
2025-11-25T14:38:00Z,3969,3969,3969,3969,1
2025-11-25T14:39:00Z,3970,3970,3970,3970,5
2025-11-25T14:42:00Z,3970,3970,3969,3969,2
2025-11-25T14:48:00Z,3966,3966,3964,3964,2
2025-11-25T14:54:00Z,3968,3968,3968,3968,2
2025-11-25T14:55:00Z,3968,3968,3968,3968,13
2025-11-25T14:56:00Z,3970,3970,3970,3970,2
2025-11-25T14:59:00Z,3974,3974,3974,3974,11
2025-11-25T15:03:00Z,3977,3977,3977,3977,5
2025-11-25T15:04:00Z,3977,3977,3977,3977,4
2025-11-25T15:05:00Z,3977,3977,3977,3977,2
2025-11-25T15:06:00Z,3977,3977,3977,3977,2
2025-11-25T15:07:00Z,3980,3981,3980,3981,12
2025-11-25T15:09:00Z,3981,3981,3981,3981,7
2025-11-25T15:10:00Z,3981,3981,3975,3976,25
2025-11-25T15:11:00Z,3978,3979,3978,3979,7
2025-11-25T15:14:00Z,3976,3976,3976,3976,10
2025-11-25T15:15:00Z,3978,3979,3978,3979,6
2025-11-25T15:17:00Z,3979,3979,3979,3979,3
2025-11-25T15:18:00Z,3980,3980,3980,3980,3
2025-11-25T15:19:00Z,3980,3980,3979,3979,13
2025-11-25T15:20:00Z,3978,3978,3978,3978,4
2025-11-25T15:21:00Z,3977,3977,3977,3977,2
2025-11-25T15:22:00Z,3979,3979,3979,3979,5
2025-11-25T15:24:00Z,3978,3978,3976,3976,40
2025-11-25T15:27:00Z,3976,3976,3976,3976,20
2025-11-25T15:28:00Z,3975,3975,3975,3975,20
2025-11-25T15:29:00Z,3974,3976,3974,3975,4
2025-11-26T02:30:00Z,3982,3999,3982,3999,230
2025-11-26T02:31:00Z,3999,4004,3999,4002,13
2025-11-26T02:32:00Z,4007,4007,4006,4007,3
2025-11-26T02:33:00Z,4005,4012,4005,4011,18
2025-11-26T02:34:00Z,4011,4011,4007,4008,9
2025-11-26T02:35:00Z,4007,4010,4005,4007,7
2025-11-26T02:36:00Z,4010,4016,4010,4013,15
2025-11-26T02:37:00Z,4011,4011,4008,4010,9
2025-11-26T02:38:00Z,4008,4008,4004,4004,10
2025-11-26T02:39:00Z,4003,4003,4003,4003,3
2025-11-26T02:40:00Z,4005,4005,4005,4005,1
2025-11-26T02:43:00Z,4004,4004,4004,4004,1
2025-11-26T02:44:00Z,4002,4003,4002,4003,5
2025-11-26T02:45:00Z,4003,4005,4001,4004,38
2025-11-26T02:49:00Z,4003,4003,3998,3998,28
2025-11-26T02:50:00Z,4000,4000,3995,3995,9
2025-11-26T02:51:00Z,3997,3998,3997,3998,16
2025-11-26T02:52:00Z,3997,3998,3996,3998,7
2025-11-26T02:56:00Z,4001,4001,3997,3997,27
2025-11-26T02:57:00Z,3997,3997,3996,3996,12
2025-11-26T02:58:00Z,3996,3996,3994,3994,3
2025-11-26T03:00:00Z,3995,3995,3995,3995,12
2025-11-26T03:01:00Z,3997,3997,3997,3997,1
2025-11-26T03:02:00Z,3998,3998,3998,3998,10
2025-11-26T03:03:00Z,3999,3999,3999,3999,1
2025-11-26T03:04:00Z,3998,3998,3998,3998,2
2025-11-26T03:05:00Z,4003,4007,4003,4007,13
2025-11-26T03:06:00Z,4007,4009,4006,4009,8
2025-11-26T03:07:00Z,4007,4007,4007,4007,5
2025-11-26T03:08:00Z,4006,4008,4006,4008,18
2025-11-26T03:09:00Z,4006,4006,4006,4006,1
2025-11-26T03:10:00Z,4009,4010,4009,4010,23
2025-11-26T03:11:00Z,4011,4011,4011,4011,3
2025-11-26T03:12:00Z,4009,4010,4008,4010,13
2025-11-26T03:13:00Z,4010,4010,4009,4009,3
2025-11-26T03:14:00Z,4010,4011,4010,4011,7
2025-11-26T03:15:00Z,4014,4015,4014,4014,6
2025-11-26T03:16:00Z,4015,4015,4015,4015,1
2025-11-26T03:17:00Z,4016,4018,4016,4018,14
2025-11-26T03:18:00Z,4017,4017,4016,4016,2
2025-11-26T03:19:00Z,4017,4020,4017,4019,16
2025-11-26T03:20:00Z,4022,4022,4022,4022,55
2025-11-26T03:21:00Z,4024,4024,4021,4024,8
2025-11-26T03:23:00Z,4020,4022,4020,4021,7
2025-11-26T03:24:00Z,4020,4020,4020,4020,3
2025-11-26T03:25:00Z,4022,4022,4021,4021,23
2025-11-26T03:26:00Z,4021,4021,4021,4021,4
2025-11-26T03:27:00Z,4022,4022,4021,4022,11
2025-11-26T03:28:00Z,4023,4023,4023,4023,1
2025-11-26T03:29:00Z,4022,4022,4022,4022,1
2025-11-26T03:31:00Z,4023,4027,4023,4027,12
