time,open,high,low,close,Volume
2025-12-24T09:10:00Z,4033,4035,4033,4035,4
2025-12-24T09:12:00Z,4033,4033,4033,4033,1
2025-12-24T09:13:00Z,4030,4030,4030,4030,10
2025-12-24T09:14:00Z,4029,4031,4029,4031,20
2025-12-24T09:15:00Z,4030,4030,4026,4026,21
2025-12-24T09:19:00Z,4024,4024,4024,4024,2
2025-12-24T09:21:00Z,4024,4024,4024,4024,2
2025-12-24T09:22:00Z,4025,4025,4025,4025,10
2025-12-24T09:24:00Z,4026,4027,4026,4027,6
2025-12-24T09:26:00Z,4026,4026,4024,4024,4
2025-12-24T09:27:00Z,4023,4023,4023,4023,3
2025-12-24T09:28:00Z,4026,4027,4026,4027,16
2025-12-24T09:29:00Z,4028,4028,4026,4026,3
2025-12-24T09:34:00Z,4026,4026,4026,4026,2
2025-12-24T09:35:00Z,4027,4027,4027,4027,4
2025-12-24T09:37:00Z,4027,4027,4027,4027,1
2025-12-24T09:39:00Z,4029,4029,4029,4029,1
2025-12-24T09:42:00Z,4030,4030,4030,4030,10
2025-12-24T09:43:00Z,4029,4029,4028,4028,6
2025-12-24T09:44:00Z,4029,4029,4029,4029,1
2025-12-24T09:45:00Z,4028,4028,4028,4028,5
2025-12-24T09:46:00Z,4029,4029,4029,4029,1
2025-12-24T09:47:00Z,4030,4030,4030,4030,6
2025-12-24T09:48:00Z,4031,4031,4031,4031,1
2025-12-24T09:51:00Z,4029,4029,4028,4028,6
2025-12-24T09:52:00Z,4030,4030,4030,4030,1
2025-12-24T09:54:00Z,4029,4029,4029,4029,1
2025-12-24T09:56:00Z,4029,4029,4029,4029,2
2025-12-24T09:57:00Z,4029,4029,4029,4029,4
2025-12-24T09:58:00Z,4030,4030,4030,4030,5
2025-12-24T09:59:00Z,4030,4030,4027,4027,42
2025-12-26T02:30:00Z,4029,4036,4029,4034,41
2025-12-26T02:31:00Z,4040,4050,4040,4047,36
2025-12-26T02:32:00Z,4046,4050,4046,4049,138
2025-12-26T02:33:00Z,4046,4049,4045,4049,12
2025-12-26T02:34:00Z,4049,4049,4047,4047,19
2025-12-26T02:35:00Z,4046,4051,4046,4051,14
2025-12-26T02:36:00Z,4050,4050,4050,4050,1
2025-12-26T02:37:00Z,4049,4050,4046,4050,23
2025-12-26T02:38:00Z,4052,4053,4051,4053,16
2025-12-26T02:39:00Z,4051,4055,4050,4055,26
2025-12-26T02:40:00Z,4055,4057,4054,4057,9
2025-12-26T02:41:00Z,4057,4058,4056,4057,14
2025-12-26T02:42:00Z,4055,4056,4055,4056,5
2025-12-26T02:43:00Z,4056,4057,4055,4057,8
2025-12-26T02:44:00Z,4056,4057,4056,4056,19
2025-12-26T02:45:00Z,4057,4062,4057,4061,32
2025-12-26T02:46:00Z,4061,4065,4061,4065,23
2025-12-26T02:47:00Z,4065,4070,4065,4070,18
2025-12-26T02:48:00Z,4069,4070,4069,4069,21
2025-12-26T02:49:00Z,4070,4071,4070,4071,16
2025-12-26T02:50:00Z,4070,4071,4069,4069,66
2025-12-26T02:51:00Z,4069,4072,4069,4072,27
2025-12-26T02:52:00Z,4072,4072,4072,4072,1
2025-12-26T02:53:00Z,4072,4072,4071,4071,4
2025-12-26T02:54:00Z,4071,4071,4068,4068,40
2025-12-26T02:55:00Z,4067,4071,4065,4071,31
2025-12-26T02:56:00Z,4070,4071,4068,4068,7
2025-12-26T02:59:00Z,4068,4069,4068,4069,11
2025-12-26T03:00:00Z,4068,4068,4068,4068,2
2025-12-26T03:02:00Z,4072,4072,4070,4070,19
2025-12-26T03:03:00Z,4069,4069,4069,4069,9
2025-12-26T03:04:00Z,4070,4070,4068,4068,28
2025-12-26T03:05:00Z,4071,4071,4071,4071,1
2025-12-26T03:06:00Z,4071,4071,4071,4071,1
2025-12-26T03:09:00Z,4071,4073,4071,4073,27
2025-12-26T03:11:00Z,4074,4075,4074,4075,28
2025-12-26T03:12:00Z,4075,4077,4075,4076,71
2025-12-26T03:13:00Z,4076,4077,4076,4077,45
2025-12-26T03:14:00Z,4076,4076,4076,4076,2
2025-12-26T03:17:00Z,4071,4071,4071,4071,1
2025-12-26T03:18:00Z,4068,4070,4068,4070,21
2025-12-26T03:19:00Z,4070,4070,4070,4070,3
