time,open,high,low,close,Volume
2026-01-22T07:58:00Z,4186,4186,4185,4185,6
2026-01-22T08:00:00Z,4186,4186,4184,4184,2
2026-01-22T08:01:00Z,4182,4182,4182,4182,3
2026-01-22T08:05:00Z,4181,4181,4180,4181,25
2026-01-22T08:06:00Z,4179,4180,4179,4179,9
2026-01-22T08:07:00Z,4182,4182,4181,4181,2
2026-01-22T08:12:00Z,4181,4181,4180,4180,17
2026-01-22T08:14:00Z,4181,4181,4181,4181,2
2026-01-22T08:15:00Z,4180,4180,4179,4179,16
2026-01-22T08:17:00Z,4180,4180,4179,4179,15
2026-01-22T08:18:00Z,4180,4180,4180,4180,21
2026-01-22T08:19:00Z,4178,4178,4178,4178,1
2026-01-22T08:20:00Z,4180,4180,4180,4180,1
2026-01-22T08:24:00Z,4183,4185,4183,4185,28
2026-01-22T08:25:00Z,4185,4185,4184,4185,11
2026-01-22T08:30:00Z,4182,4183,4181,4183,12
2026-01-22T08:31:00Z,4183,4185,4183,4185,10
2026-01-22T08:32:00Z,4185,4185,4184,4184,11
2026-01-22T08:34:00Z,4185,4185,4183,4183,3
2026-01-22T08:36:00Z,4185,4185,4184,4184,49
2026-01-22T08:37:00Z,4183,4184,4183,4184,46
2026-01-22T08:38:00Z,4182,4182,4182,4182,1
2026-01-22T08:40:00Z,4183,4185,4183,4184,15
2026-01-22T08:41:00Z,4185,4185,4184,4184,4
2026-01-22T08:42:00Z,4183,4183,4183,4183,4
2026-01-22T08:44:00Z,4182,4182,4182,4182,10
2026-01-22T08:45:00Z,4183,4183,4183,4183,1
2026-01-22T08:48:00Z,4181,4181,4181,4181,32
2026-01-22T08:49:00Z,4180,4181,4180,4181,6
2026-01-22T08:50:00Z,4180,4181,4180,4180,21
2026-01-22T08:51:00Z,4179,4181,4178,4181,16
2026-01-22T08:53:00Z,4181,4181,4180,4181,21
2026-01-22T08:54:00Z,4180,4181,4180,4181,7
2026-01-22T08:55:00Z,4180,4182,4180,4182,6
2026-01-22T08:56:00Z,4181,4181,4181,4181,2
2026-01-22T09:01:00Z,4183,4183,4183,4183,1
2026-01-22T09:02:00Z,4181,4181,4181,4181,24
2026-01-22T09:03:00Z,4182,4182,4182,4182,1
2026-01-22T09:04:00Z,4180,4182,4180,4182,82
2026-01-22T09:07:00Z,4185,4188,4185,4188,57
2026-01-22T09:08:00Z,4187,4188,4187,4187,14
2026-01-22T09:09:00Z,4187,4187,4186,4186,7
2026-01-22T09:11:00Z,4188,4189,4188,4189,12
2026-01-22T09:13:00Z,4188,4188,4186,4188,28
2026-01-22T09:16:00Z,4188,4188,4188,4188,5
