time,open,high,low,close,Volume
2026-02-20T08:06:00Z,4087,4087,4083,4083,26
2026-02-20T08:07:00Z,4085,4085,4083,4083,17
2026-02-20T08:08:00Z,4083,4083,4081,4081,14
2026-02-20T08:09:00Z,4080,4081,4078,4078,19
2026-02-20T08:10:00Z,4078,4078,4075,4077,22
2026-02-20T08:11:00Z,4076,4079,4076,4079,18
2026-02-20T08:12:00Z,4080,4080,4080,4080,2
2026-02-20T08:14:00Z,4083,4084,4083,4084,3
2026-02-20T08:15:00Z,4083,4083,4082,4082,6
2026-02-20T08:16:00Z,4081,4081,4080,4080,2
2026-02-20T08:19:00Z,4080,4080,4080,4080,1
2026-02-20T08:20:00Z,4081,4081,4079,4079,5
2026-02-20T08:22:00Z,4081,4081,4081,4081,1
2026-02-20T08:23:00Z,4079,4079,4079,4079,2
2026-02-20T08:25:00Z,4079,4080,4079,4080,4
2026-02-20T08:27:00Z,4079,4080,4079,4079,4
2026-02-20T08:28:00Z,4080,4080,4079,4079,3
2026-02-20T08:29:00Z,4080,4080,4080,4080,1
2026-02-20T08:30:00Z,4081,4081,4080,4080,6
2026-02-20T08:32:00Z,4081,4083,4081,4083,4
2026-02-20T08:33:00Z,4081,4081,4081,4081,1
2026-02-20T08:34:00Z,4079,4080,4079,4079,4
2026-02-20T08:35:00Z,4080,4080,4080,4080,1
2026-02-20T08:36:00Z,4079,4080,4078,4078,10
2026-02-20T08:38:00Z,4082,4083,4082,4083,3
2026-02-20T08:39:00Z,4082,4085,4082,4085,11
2026-02-20T08:43:00Z,4085,4085,4085,4085,4
2026-02-20T08:44:00Z,4084,4084,4084,4084,1
2026-02-20T08:45:00Z,4086,4086,4086,4086,1
2026-02-20T08:46:00Z,4084,4084,4083,4083,4
2026-02-20T08:47:00Z,4084,4084,4084,4084,1
2026-02-20T08:48:00Z,4085,4089,4085,4088,9
2026-02-20T08:49:00Z,4088,4088,4082,4082,14
2026-02-20T08:50:00Z,4080,4080,4079,4079,6
2026-02-20T08:51:00Z,4080,4083,4080,4083,6
2026-02-20T08:53:00Z,4080,4080,4080,4080,1
2026-02-20T08:54:00Z,4080,4080,4079,4079,3
2026-02-20T08:59:00Z,4081,4081,4081,4081,1
2026-02-20T09:00:00Z,4082,4082,4082,4082,1
2026-02-20T09:01:00Z,4081,4081,4081,4081,1
2026-02-20T09:04:00Z,4085,4086,4085,4086,5
2026-02-20T09:05:00Z,4082,4082,4082,4082,1
2026-02-20T09:08:00Z,4085,4087,4085,4087,7
2026-02-20T09:14:00Z,4089,4089,4086,4086,7
2026-02-20T09:15:00Z,4088,4088,4088,4088,2
2026-02-20T09:16:00Z,4088,4088,4088,4088,1
2026-02-20T09:17:00Z,4089,4089,4089,4089,1
2026-02-20T09:19:00Z,4087,4087,4087,4087,3
2026-02-20T09:20:00Z,4089,4091,4089,4091,5
2026-02-20T09:21:00Z,4089,4089,4089,4089,2
2026-02-20T09:22:00Z,4089,4089,4089,4089,4
2026-02-20T09:23:00Z,4090,4090,4090,4090,1
2026-02-20T09:26:00Z,4086,4087,4086,4087,9
2026-02-20T09:27:00Z,4087,4097,4087,4097,41
2026-02-20T09:28:00Z,4096,4096,4093,4093,3
2026-02-20T09:29:00Z,4095,4100,4095,4100,71
2026-02-20T09:30:00Z,4101,4101,4101,4101,8
2026-02-20T09:31:00Z,4100,4101,4099,4101,5
2026-02-20T09:32:00Z,4102,4102,4095,4095,23
2026-02-20T09:33:00Z,4095,4095,4090,4092,88
2026-02-20T09:34:00Z,4091,4093,4091,4093,4
