time,open,high,low,close,Volume
2026-03-02T13:47:00Z,4156,4157,4154,4154,22
2026-03-02T13:48:00Z,4155,4157,4154,4156,23
2026-03-02T13:49:00Z,4156,4156,4155,4155,12
2026-03-02T13:50:00Z,4156,4158,4156,4156,25
2026-03-02T13:51:00Z,4156,4158,4156,4158,20
2026-03-02T13:52:00Z,4158,4158,4158,4158,8
2026-03-02T13:53:00Z,4158,4158,4158,4158,7
2026-03-02T13:54:00Z,4158,4159,4158,4159,4
2026-03-02T13:55:00Z,4158,4158,4157,4157,11
2026-03-02T13:56:00Z,4158,4159,4158,4158,11
2026-03-02T13:57:00Z,4159,4160,4159,4160,7
2026-03-02T13:58:00Z,4160,4163,4159,4163,73
2026-03-02T13:59:00Z,4162,4163,4162,4163,42
2026-03-02T14:00:00Z,4161,4162,4161,4161,22
2026-03-02T14:01:00Z,4161,4161,4160,4160,45
2026-03-02T14:02:00Z,4160,4161,4158,4161,21
2026-03-02T14:03:00Z,4161,4161,4160,4160,8
2026-03-02T14:04:00Z,4160,4160,4159,4160,9
2026-03-02T14:05:00Z,4159,4161,4159,4159,13
2026-03-02T14:06:00Z,4159,4159,4158,4159,7
2026-03-02T14:07:00Z,4159,4159,4159,4159,1
2026-03-02T14:08:00Z,4160,4162,4160,4161,14
2026-03-02T14:09:00Z,4162,4163,4162,4162,22
2026-03-02T14:10:00Z,4162,4162,4161,4161,6
2026-03-02T14:11:00Z,4162,4162,4161,4161,4
2026-03-02T14:12:00Z,4162,4163,4160,4163,37
2026-03-02T14:13:00Z,4162,4163,4162,4163,7
2026-03-02T14:14:00Z,4163,4163,4162,4162,17
2026-03-02T14:15:00Z,4163,4164,4163,4164,68
2026-03-02T14:16:00Z,4164,4165,4163,4163,21
2026-03-02T14:17:00Z,4164,4164,4162,4163,12
2026-03-02T14:18:00Z,4163,4164,4162,4163,14
2026-03-02T14:19:00Z,4162,4164,4162,4162,44
2026-03-02T14:20:00Z,4161,4162,4160,4162,12
2026-03-02T14:21:00Z,4162,4163,4161,4161,22
2026-03-02T14:22:00Z,4161,4161,4159,4159,46
2026-03-02T14:23:00Z,4160,4161,4159,4160,7
2026-03-02T14:24:00Z,4160,4161,4159,4159,12
2026-03-02T14:25:00Z,4159,4160,4157,4157,24
2026-03-02T14:26:00Z,4159,4159,4152,4154,125
2026-03-02T14:27:00Z,4154,4156,4154,4156,39
2026-03-02T14:28:00Z,4156,4157,4155,4157,36
2026-03-02T14:29:00Z,4157,4157,4154,4154,30
2026-03-02T14:30:00Z,4155,4159,4155,4156,76
2026-03-02T14:31:00Z,4157,4157,4152,4152,105
2026-03-02T14:32:00Z,4153,4153,4148,4148,197
