time,open,high,low,close,Volume
2026-02-27T07:26:00Z,4034,4034,4034,4034,1
2026-02-27T07:27:00Z,4034,4034,4033,4033,12
2026-02-27T07:29:00Z,4030,4031,4030,4031,3
2026-02-27T07:30:00Z,4032,4032,4032,4032,1
2026-02-27T07:31:00Z,4031,4031,4031,4031,2
2026-02-27T07:34:00Z,4031,4032,4031,4032,5
2026-02-27T07:35:00Z,4031,4031,4031,4031,1
2026-02-27T07:37:00Z,4032,4037,4032,4037,25
2026-02-27T07:39:00Z,4036,4036,4036,4036,2
2026-02-27T07:40:00Z,4033,4033,4033,4033,3
2026-02-27T07:41:00Z,4035,4035,4034,4034,6
2026-02-27T07:43:00Z,4034,4035,4034,4034,4
2026-02-27T07:45:00Z,4034,4034,4034,4034,1
2026-02-27T07:55:00Z,4033,4033,4033,4033,2
2026-02-27T07:56:00Z,4034,4035,4034,4035,3
2026-02-27T07:59:00Z,4036,4036,4036,4036,1
2026-02-27T08:00:00Z,4036,4036,4034,4034,2
2026-02-27T08:01:00Z,4035,4035,4035,4035,19
2026-02-27T08:02:00Z,4036,4039,4036,4039,8
2026-02-27T08:03:00Z,4038,4039,4038,4039,2
2026-02-27T08:04:00Z,4038,4038,4038,4038,1
2026-02-27T08:06:00Z,4038,4038,4038,4038,8
2026-02-27T08:14:00Z,4037,4037,4037,4037,1
2026-02-27T08:15:00Z,4038,4039,4038,4039,3
2026-02-27T08:16:00Z,4040,4043,4040,4042,38
2026-02-27T08:17:00Z,4042,4042,4040,4040,10
2026-02-27T08:18:00Z,4040,4040,4040,4040,6
2026-02-27T08:19:00Z,4041,4043,4041,4043,5
2026-02-27T08:21:00Z,4043,4043,4042,4042,8
2026-02-27T08:22:00Z,4043,4048,4043,4046,44
2026-02-27T08:23:00Z,4045,4046,4045,4046,7
2026-02-27T08:24:00Z,4046,4048,4046,4048,15
2026-02-27T08:25:00Z,4048,4048,4046,4046,8
2026-02-27T08:26:00Z,4046,4046,4043,4043,61
2026-02-27T08:27:00Z,4042,4044,4042,4044,28
2026-02-27T08:28:00Z,4043,4043,4043,4043,1
2026-02-27T08:29:00Z,4043,4043,4043,4043,1
2026-02-27T08:30:00Z,4041,4041,4041,4041,7
2026-02-27T08:31:00Z,4040,4040,4039,4040,15
2026-02-27T08:33:00Z,4039,4039,4036,4037,11
2026-02-27T08:34:00Z,4033,4033,4028,4028,26
2026-02-27T08:35:00Z,4027,4027,4026,4027,6
2026-02-27T08:36:00Z,4026,4027,4026,4027,2
2026-02-27T08:38:00Z,4027,4027,4023,4023,10
2026-02-27T08:39:00Z,4024,4029,4024,4029,15
2026-02-27T08:40:00Z,4028,4028,4028,4028,1
2026-02-27T08:41:00Z,4027,4027,4027,4027,1
2026-02-27T08:44:00Z,4031,4031,4029,4029,2
2026-02-27T08:45:00Z,4029,4029,4029,4029,1
2026-02-27T08:48:00Z,4030,4030,4030,4030,1
2026-02-27T08:50:00Z,4031,4034,4031,4034,49
2026-02-27T08:53:00Z,4034,4034,4034,4034,1
2026-02-27T08:54:00Z,4036,4036,4036,4036,3
2026-02-27T08:56:00Z,4038,4038,4038,4038,3
2026-02-27T08:57:00Z,4039,4039,4039,4039,1
2026-02-27T08:59:00Z,4038,4038,4038,4038,1
2026-02-27T09:04:00Z,4036,4036,4036,4036,1
2026-02-27T09:06:00Z,4040,4041,4040,4041,13
2026-02-27T09:07:00Z,4042,4042,4042,4042,5
2026-02-27T09:08:00Z,4041,4041,4040,4040,13
2026-02-27T09:09:00Z,4039,4039,4039,4039,9
2026-02-27T09:12:00Z,4038,4038,4038,4038,1
2026-02-27T09:13:00Z,4036,4036,4036,4036,1
2026-02-27T09:17:00Z,4036,4036,4036,4036,3
2026-02-27T09:20:00Z,4037,4037,4037,4037,1
2026-02-27T09:21:00Z,4035,4036,4035,4035,64
2026-02-27T09:22:00Z,4036,4036,4035,4036,7
2026-02-27T09:23:00Z,4036,4036,4036,4036,2
2026-02-27T09:25:00Z,4037,4037,4035,4035,5
2026-02-27T09:26:00Z,4036,4036,4036,4036,1
2026-02-27T09:29:00Z,4035,4036,4035,4036,32
2026-02-27T09:30:00Z,4036,4037,4032,4032,21
2026-02-27T09:31:00Z,4031,4033,4031,4033,14
2026-02-27T09:32:00Z,4032,4032,4032,4032,11
2026-02-27T09:33:00Z,4033,4033,4031,4031,26
2026-02-27T09:34:00Z,4033,4035,4032,4035,19
2026-02-27T09:35:00Z,4034,4036,4034,4035,44
2026-02-27T09:36:00Z,4034,4035,4034,4035,8
2026-02-27T09:37:00Z,4038,4042,4038,4042,72
2026-02-27T09:38:00Z,4042,4045,4041,4042,41
2026-02-27T09:39:00Z,4043,4044,4041,4041,19
2026-02-27T09:40:00Z,4040,4040,4037,4037,16
2026-02-27T09:42:00Z,4038,4038,4037,4037,4
2026-02-27T09:43:00Z,4036,4037,4036,4037,25
2026-02-27T09:44:00Z,4038,4039,4038,4039,6
2026-02-27T09:45:00Z,4039,4039,4038,4038,12
2026-02-27T09:46:00Z,4039,4039,4039,4039,2
2026-02-27T09:47:00Z,4041,4042,4039,4039,3
2026-02-27T09:48:00Z,4040,4045,4040,4044,39
2026-02-27T09:49:00Z,4044,4045,4043,4043,10
2026-02-27T09:50:00Z,4043,4044,4041,4042,19
2026-02-27T09:51:00Z,4044,4044,4044,4044,1
2026-02-27T09:52:00Z,4044,4045,4044,4045,2
2026-02-27T09:53:00Z,4044,4044,4044,4044,3
2026-02-27T09:55:00Z,4044,4044,4044,4044,11
2026-02-27T09:56:00Z,4045,4045,4045,4045,6
2026-02-27T09:57:00Z,4045,4045,4041,4041,29
2026-02-27T09:58:00Z,4043,4045,4043,4045,6
2026-02-27T09:59:00Z,4044,4047,4044,4047,57
2026-03-02T02:30:00Z,4067,4084,4063,4082,289
2026-03-02T02:31:00Z,4085,4085,4073,4077,38
2026-03-02T02:32:00Z,4076,4080,4075,4080,16
2026-03-02T02:33:00Z,4081,4085,4081,4082,50
2026-03-02T02:34:00Z,4082,4082,4082,4082,10
2026-03-02T02:35:00Z,4081,4084,4080,4080,14
2026-03-02T02:36:00Z,4080,4084,4080,4080,57
2026-03-02T02:38:00Z,4076,4076,4074,4075,32
2026-03-02T02:39:00Z,4075,4075,4075,4075,87
2026-03-02T02:41:00Z,4074,4081,4074,4081,51
2026-03-02T02:42:00Z,4082,4089,4082,4087,142
2026-03-02T02:43:00Z,4086,4086,4085,4085,2
2026-03-02T02:44:00Z,4086,4088,4086,4086,8
2026-03-02T02:45:00Z,4087,4087,4084,4086,8
2026-03-02T02:46:00Z,4084,4084,4080,4080,31
2026-03-02T02:47:00Z,4080,4083,4080,4081,8
2026-03-02T02:48:00Z,4080,4083,4080,4083,8
2026-03-02T02:49:00Z,4083,4084,4083,4084,16
2026-03-02T02:50:00Z,4083,4084,4083,4084,13
2026-03-02T02:51:00Z,4084,4084,4084,4084,2
2026-03-02T02:52:00Z,4084,4084,4082,4082,22
2026-03-02T02:53:00Z,4082,4082,4078,4078,20
2026-03-02T02:54:00Z,4077,4078,4077,4078,2
