time,open,high,low,close,Volume
2026-02-23T06:30:00Z,4072,4079,4071,4078,18
2026-02-23T06:31:00Z,4079,4080,4079,4080,6
2026-02-23T06:32:00Z,4084,4085,4084,4084,44
2026-02-23T06:33:00Z,4083,4085,4083,4085,15
2026-02-23T06:34:00Z,4085,4086,4084,4084,4
2026-02-23T06:37:00Z,4080,4080,4080,4080,10
2026-02-23T06:40:00Z,4077,4077,4077,4077,1
2026-02-23T06:41:00Z,4079,4079,4079,4079,4
2026-02-23T06:45:00Z,4080,4080,4080,4080,7
2026-02-23T06:47:00Z,4075,4075,4074,4074,4
2026-02-23T06:48:00Z,4073,4074,4073,4073,15
2026-02-23T06:50:00Z,4070,4070,4070,4070,1
2026-02-23T06:51:00Z,4069,4069,4068,4068,7
2026-02-23T06:52:00Z,4070,4070,4065,4065,5
2026-02-23T06:53:00Z,4068,4068,4068,4068,2
2026-02-23T06:56:00Z,4070,4070,4070,4070,1
2026-02-23T06:57:00Z,4071,4071,4071,4071,1
2026-02-23T07:00:00Z,4072,4074,4072,4074,3
2026-02-23T07:01:00Z,4075,4076,4075,4076,11
2026-02-23T07:02:00Z,4078,4078,4078,4078,1
2026-02-23T07:07:00Z,4076,4076,4076,4076,1
2026-02-23T07:10:00Z,4079,4079,4076,4076,3
2026-02-23T07:11:00Z,4077,4077,4077,4077,2
2026-02-23T07:12:00Z,4074,4074,4074,4074,1
2026-02-23T07:14:00Z,4074,4074,4074,4074,10
2026-02-23T07:15:00Z,4075,4075,4074,4074,11
2026-02-23T07:16:00Z,4075,4075,4075,4075,8
2026-02-23T07:17:00Z,4074,4074,4073,4073,15
2026-02-23T07:18:00Z,4074,4074,4072,4074,26
2026-02-23T07:19:00Z,4077,4078,4077,4078,3
2026-02-23T07:22:00Z,4078,4078,4078,4078,3
2026-02-23T07:23:00Z,4078,4078,4076,4076,2
2026-02-23T07:25:00Z,4073,4073,4070,4070,3
2026-02-23T07:26:00Z,4068,4068,4067,4067,3
2026-02-23T07:27:00Z,4068,4068,4068,4068,1
2026-02-23T07:30:00Z,4069,4069,4068,4068,2
2026-02-23T07:31:00Z,4070,4071,4070,4070,14
2026-02-23T07:36:00Z,4066,4066,4066,4066,1
2026-02-23T07:37:00Z,4065,4065,4063,4063,60
2026-02-23T07:38:00Z,4065,4065,4065,4065,2
2026-02-23T07:39:00Z,4063,4063,4063,4063,6
2026-02-23T07:40:00Z,4062,4064,4062,4064,2
2026-02-23T07:42:00Z,4067,4071,4067,4071,2
2026-02-23T07:43:00Z,4069,4069,4069,4069,2
2026-02-23T07:46:00Z,4071,4075,4071,4075,8
2026-02-23T07:47:00Z,4075,4075,4073,4073,45
2026-02-23T07:49:00Z,4073,4073,4073,4073,8
2026-02-23T07:50:00Z,4072,4074,4072,4074,2
2026-02-23T07:53:00Z,4078,4078,4078,4078,5
2026-02-23T07:54:00Z,4077,4077,4074,4074,6
2026-02-23T07:55:00Z,4072,4072,4072,4072,1
2026-02-23T07:56:00Z,4075,4075,4075,4075,1
2026-02-23T07:57:00Z,4076,4076,4076,4076,1
2026-02-23T07:59:00Z,4077,4077,4076,4077,4
2026-02-23T08:00:00Z,4077,4077,4076,4076,5
2026-02-23T08:01:00Z,4074,4074,4074,4074,2
2026-02-23T08:05:00Z,4077,4077,4077,4077,1
2026-02-23T08:06:00Z,4080,4083,4080,4083,11
2026-02-23T08:10:00Z,4083,4085,4083,4085,5
2026-02-23T08:15:00Z,4083,4084,4083,4084,5
2026-02-23T08:16:00Z,4085,4085,4085,4085,1
2026-02-23T08:21:00Z,4087,4087,4087,4087,4
2026-02-23T08:22:00Z,4084,4084,4083,4083,2
2026-02-23T08:23:00Z,4084,4084,4084,4084,1
2026-02-23T08:25:00Z,4084,4084,4084,4084,1
2026-02-23T08:26:00Z,4084,4084,4081,4081,7
2026-02-23T08:27:00Z,4082,4084,4082,4084,8
2026-02-23T08:29:00Z,4082,4082,4082,4082,2
2026-02-23T08:30:00Z,4081,4082,4080,4082,4
2026-02-23T08:31:00Z,4080,4080,4080,4080,1
2026-02-23T08:33:00Z,4079,4080,4079,4080,5
2026-02-23T08:34:00Z,4079,4079,4079,4079,1
2026-02-23T08:39:00Z,4080,4080,4080,4080,2
2026-02-23T08:44:00Z,4081,4081,4081,4081,2
2026-02-23T08:45:00Z,4082,4082,4082,4082,1
2026-02-23T08:53:00Z,4078,4078,4077,4077,40
2026-02-23T08:54:00Z,4078,4078,4078,4078,2
2026-02-23T09:00:00Z,4077,4077,4077,4077,1
2026-02-23T09:01:00Z,4076,4076,4076,4076,1
2026-02-23T09:02:00Z,4076,4076,4076,4076,1
2026-02-23T09:03:00Z,4078,4078,4078,4078,1
2026-02-23T09:10:00Z,4078,4078,4078,4078,1
2026-02-23T09:11:00Z,4078,4078,4078,4078,2
2026-02-23T09:13:00Z,4079,4079,4079,4079,1
2026-02-23T09:14:00Z,4080,4080,4080,4080,22
2026-02-23T09:16:00Z,4082,4082,4082,4082,10
2026-02-23T09:17:00Z,4083,4083,4083,4083,1
2026-02-23T09:18:00Z,4082,4082,4081,4081,15
2026-02-23T09:20:00Z,4080,4080,4080,4080,11
2026-02-23T09:25:00Z,4081,4081,4081,4081,1
2026-02-23T09:26:00Z,4081,4082,4081,4082,5
2026-02-23T09:27:00Z,4086,4087,4086,4086,3
2026-02-23T09:29:00Z,4086,4087,4085,4087,12
2026-02-23T09:30:00Z,4086,4089,4085,4089,11
2026-02-23T09:31:00Z,4088,4090,4088,4090,8
2026-02-23T09:32:00Z,4092,4092,4092,4092,1
2026-02-23T09:35:00Z,4093,4093,4093,4093,4
2026-02-23T09:36:00Z,4094,4094,4094,4094,1
2026-02-23T09:37:00Z,4091,4091,4084,4084,18
2026-02-23T09:38:00Z,4082,4082,4082,4082,1
2026-02-23T09:41:00Z,4081,4081,4081,4081,2
2026-02-23T09:47:00Z,4083,4083,4080,4080,23
