time,open,high,low,close,Volume
2026-02-10T04:04:00Z,4107,4107,4107,4107,1
2026-02-10T04:07:00Z,4104,4104,4104,4104,1
2026-02-10T04:10:00Z,4102,4102,4102,4102,2
2026-02-10T04:13:00Z,4102,4102,4102,4102,1
2026-02-10T04:15:00Z,4104,4105,4104,4105,2
2026-02-10T04:22:00Z,4106,4106,4106,4106,1
2026-02-10T04:23:00Z,4102,4102,4102,4102,4
2026-02-10T04:26:00Z,4102,4102,4102,4102,5
2026-02-10T04:28:00Z,4102,4104,4102,4104,11
2026-02-10T04:29:00Z,4105,4106,4105,4106,10
2026-02-10T06:30:00Z,4115,4115,4111,4115,7
2026-02-10T06:31:00Z,4110,4110,4109,4109,8
2026-02-10T06:32:00Z,4110,4110,4108,4108,9
2026-02-10T06:33:00Z,4110,4111,4108,4110,26
2026-02-10T06:34:00Z,4112,4112,4112,4112,1
2026-02-10T06:38:00Z,4110,4112,4110,4112,9
2026-02-10T06:39:00Z,4112,4112,4112,4112,2
2026-02-10T06:40:00Z,4113,4113,4113,4113,1
2026-02-10T06:42:00Z,4113,4113,4113,4113,2
2026-02-10T06:43:00Z,4113,4113,4111,4111,6
2026-02-10T06:46:00Z,4107,4107,4107,4107,3
2026-02-10T06:48:00Z,4106,4106,4104,4104,27
2026-02-10T06:50:00Z,4106,4106,4106,4106,1
2026-02-10T06:51:00Z,4106,4107,4106,4106,13
2026-02-10T06:52:00Z,4106,4106,4105,4105,17
2026-02-10T06:53:00Z,4109,4109,4109,4109,4
2026-02-10T06:54:00Z,4109,4109,4109,4109,10
2026-02-10T06:57:00Z,4107,4107,4107,4107,4
2026-02-10T06:58:00Z,4107,4109,4107,4109,9
2026-02-10T06:59:00Z,4107,4107,4107,4107,10
2026-02-10T07:00:00Z,4107,4107,4106,4106,65
2026-02-10T07:01:00Z,4102,4102,4101,4102,10
2026-02-10T07:02:00Z,4102,4102,4102,4102,1
2026-02-10T07:08:00Z,4105,4105,4105,4105,8
2026-02-10T07:09:00Z,4106,4109,4106,4109,20
2026-02-10T07:17:00Z,4108,4108,4108,4108,1
2026-02-10T07:21:00Z,4105,4105,4105,4105,3
2026-02-10T07:22:00Z,4110,4110,4110,4110,5
2026-02-10T07:23:00Z,4111,4111,4111,4111,5
2026-02-10T07:25:00Z,4106,4106,4106,4106,1
2026-02-10T07:26:00Z,4105,4105,4105,4105,10
2026-02-10T07:27:00Z,4103,4103,4100,4100,4
2026-02-10T07:28:00Z,4097,4097,4097,4097,2
2026-02-10T07:29:00Z,4093,4093,4093,4093,1
2026-02-10T07:31:00Z,4097,4098,4097,4098,3
2026-02-10T07:33:00Z,4090,4090,4090,4090,1
2026-02-10T07:35:00Z,4090,4090,4090,4090,1
2026-02-10T07:36:00Z,4088,4088,4088,4088,2
2026-02-10T07:37:00Z,4084,4084,4084,4084,1
2026-02-10T07:38:00Z,4084,4084,4084,4084,1
2026-02-10T07:43:00Z,4085,4085,4085,4085,2
2026-02-10T07:45:00Z,4082,4082,4082,4082,1
2026-02-10T07:47:00Z,4086,4087,4086,4087,10
2026-02-10T08:03:00Z,4089,4089,4089,4089,1
2026-02-10T08:04:00Z,4090,4090,4090,4090,1
2026-02-10T08:07:00Z,4088,4088,4088,4088,1
2026-02-10T08:13:00Z,4083,4083,4083,4083,1
2026-02-10T08:15:00Z,4083,4084,4083,4084,3
2026-02-10T08:17:00Z,4084,4084,4084,4084,1
2026-02-10T08:19:00Z,4081,4081,4081,4081,1
2026-02-10T08:20:00Z,4077,4079,4077,4079,2
2026-02-10T08:21:00Z,4081,4081,4081,4081,1
2026-02-10T08:23:00Z,4084,4084,4084,4084,1
2026-02-10T08:24:00Z,4085,4086,4085,4086,2
2026-02-10T08:27:00Z,4086,4086,4086,4086,1
2026-02-10T08:34:00Z,4091,4091,4091,4091,1
2026-02-10T08:35:00Z,4093,4093,4093,4093,1
2026-02-10T08:45:00Z,4092,4092,4092,4092,1
2026-02-10T08:48:00Z,4095,4095,4095,4095,2
2026-02-10T08:49:00Z,4094,4094,4094,4094,1
2026-02-10T08:50:00Z,4092,4092,4092,4092,1
2026-02-10T08:58:00Z,4090,4090,4090,4090,1
2026-02-10T09:15:00Z,4086,4086,4086,4086,2
2026-02-10T09:21:00Z,4084,4084,4084,4084,2
2026-02-10T09:23:00Z,4087,4088,4087,4088,4
2026-02-10T09:29:00Z,4086,4086,4086,4086,1
2026-02-10T09:30:00Z,4086,4086,4086,4086,1
2026-02-10T09:31:00Z,4086,4086,4086,4086,1
2026-02-10T09:32:00Z,4085,4085,4085,4085,1
2026-02-10T09:33:00Z,4087,4087,4086,4086,2
