time,open,high,low,close,Volume
2026-01-02T07:44:00Z,3969,3969,3969,3969,1
2026-01-02T08:23:00Z,3974,3974,3974,3974,1
2026-01-02T08:58:00Z,3969,3969,3969,3969,1
2026-01-02T08:59:00Z,3968,3968,3968,3968,1
2026-01-02T09:23:00Z,3969,3969,3969,3969,1
2026-01-02T09:26:00Z,3967,3967,3967,3967,2
2026-01-02T09:31:00Z,3965,3965,3965,3965,2
2026-01-02T09:40:00Z,3961,3961,3961,3961,2
2026-01-02T09:42:00Z,3961,3961,3961,3961,2
2026-01-02T09:45:00Z,3964,3964,3964,3964,2
2026-01-02T09:47:00Z,3962,3962,3962,3962,1
2026-01-02T09:49:00Z,3960,3960,3959,3959,2
2026-01-05T02:38:00Z,3974,3974,3974,3974,1
2026-01-05T02:45:00Z,3993,3993,3993,3993,1
2026-01-05T02:47:00Z,3993,3993,3988,3988,3
2026-01-05T02:51:00Z,3987,3987,3987,3987,1
2026-01-05T02:52:00Z,3992,3992,3992,3992,2
2026-01-05T02:54:00Z,3991,3992,3991,3992,2
2026-01-05T02:56:00Z,3994,3994,3994,3994,1
2026-01-05T03:02:00Z,3990,3990,3990,3990,1
2026-01-05T03:07:00Z,3984,3984,3984,3984,2
2026-01-05T03:08:00Z,3982,3982,3981,3982,8
2026-01-05T03:17:00Z,3986,3986,3986,3986,1
2026-01-05T03:26:00Z,3983,3983,3983,3983,1
2026-01-05T03:27:00Z,3983,3983,3983,3983,1
2026-01-05T04:06:00Z,3977,3977,3977,3977,1
2026-01-05T06:34:00Z,3957,3957,3956,3956,7
2026-01-05T06:36:00Z,3957,3958,3957,3958,3
2026-01-05T07:17:00Z,3968,3968,3968,3968,1
2026-01-05T08:15:00Z,3978,3978,3978,3978,1
2026-01-05T08:41:00Z,3969,3969,3969,3969,1
2026-01-05T09:14:00Z,3984,3984,3984,3984,2
2026-01-05T09:34:00Z,3986,3986,3986,3986,3
2026-01-05T13:29:00Z,3980,3980,3980,3980,1
2026-01-05T14:04:00Z,3980,3980,3980,3980,1
2026-01-05T14:50:00Z,3987,3988,3987,3988,5
2026-01-05T15:23:00Z,3990,3990,3990,3990,1
2026-01-05T15:25:00Z,3991,3991,3991,3991,1
2026-01-05T15:29:00Z,3988,3988,3988,3988,1
2026-01-06T02:44:00Z,3999,3999,3999,3999,1
2026-01-06T02:51:00Z,3992,3993,3992,3993,2
2026-01-06T02:56:00Z,3997,3999,3997,3999,4
2026-01-06T03:06:00Z,3995,3996,3995,3996,7
2026-01-06T03:08:00Z,3995,3995,3995,3995,1
2026-01-06T03:09:00Z,3995,3995,3995,3995,8
2026-01-06T03:10:00Z,3995,3996,3995,3995,19
2026-01-06T03:11:00Z,3995,3995,3995,3995,14
2026-01-06T03:12:00Z,3995,3995,3995,3995,6
2026-01-06T03:16:00Z,3992,3992,3992,3992,1
2026-01-06T03:22:00Z,3985,3985,3985,3985,1
2026-01-06T03:37:00Z,3980,3980,3980,3980,2
2026-01-06T03:38:00Z,3980,3980,3980,3980,3
2026-01-06T03:43:00Z,3978,3979,3978,3979,9
2026-01-06T03:51:00Z,3980,3980,3980,3980,1
2026-01-06T04:00:00Z,3982,3982,3982,3982,1
2026-01-06T06:37:00Z,3967,3967,3967,3967,1
2026-01-06T06:38:00Z,3970,3970,3970,3970,2
2026-01-06T06:39:00Z,3976,3976,3976,3976,2
