time,open,high,low,close,Volume
2025-08-06T07:05:00Z,4186,4186,4186,4186,1
2025-08-06T07:07:00Z,4186,4186,4186,4186,1
2025-08-08T02:40:00Z,4185,4185,4184,4184,7
2025-08-08T02:43:00Z,4184,4184,4184,4184,7
2025-08-08T02:45:00Z,4184,4184,4184,4184,4
2025-08-08T02:46:00Z,4184,4184,4184,4184,2
2025-09-24T03:18:00Z,4130,4130,4130,4130,3
2025-10-08T09:56:00Z,4285,4285,4285,4285,3
2025-10-09T15:00:00Z,4324,4324,4324,4324,1
2025-10-09T15:01:00Z,4323,4323,4323,4323,4
2025-10-09T15:04:00Z,4322,4322,4322,4322,1
2025-10-10T04:20:00Z,4300,4300,4300,4300,2
2025-10-14T09:00:00Z,4306,4306,4306,4306,1
2025-10-15T03:03:00Z,4304,4304,4304,4304,1
2025-10-15T07:42:00Z,4335,4335,4335,4335,3
2025-10-31T09:08:00Z,4134,4134,4134,4134,1
2025-10-31T09:10:00Z,4134,4134,4134,4134,1
2025-11-06T02:53:00Z,4153,4153,4153,4153,2
2025-11-10T06:30:00Z,4133,4133,4133,4133,2
2025-11-14T02:30:00Z,4106,4106,4106,4106,1
2025-11-19T03:04:00Z,4170,4170,4170,4170,3
2025-11-19T03:05:00Z,4170,4170,4170,4170,1
2025-11-19T03:07:00Z,4170,4170,4170,4170,1
2025-11-20T09:28:00Z,4139,4139,4139,4139,1
2025-11-21T08:11:00Z,4065,4065,4065,4065,3
2025-11-21T08:16:00Z,4065,4065,4065,4065,3
2025-11-21T09:17:00Z,4065,4065,4065,4065,2
2025-11-21T09:20:00Z,4065,4065,4065,4065,2
2025-11-21T09:48:00Z,4055,4055,4055,4055,2
2025-11-21T09:55:00Z,4055,4055,4055,4055,1
2025-11-24T02:37:00Z,4054,4054,4054,4054,3
2025-11-24T02:38:00Z,4054,4054,4054,4054,4
2025-11-24T02:41:00Z,4049,4049,4048,4048,3
2025-11-24T02:42:00Z,4048,4048,4048,4048,2
2025-11-24T03:02:00Z,4048,4048,4048,4048,4
2025-11-24T03:04:00Z,4047,4047,4047,4047,1
2025-11-25T03:44:00Z,4014,4014,4014,4014,1
2025-11-25T04:17:00Z,4013,4013,4011,4013,9
2025-11-25T07:33:00Z,4001,4002,4001,4002,10
2025-11-26T13:32:00Z,4030,4030,4030,4030,1
2025-11-26T13:34:00Z,4031,4031,4031,4031,2
2025-12-08T08:46:00Z,4093,4093,4093,4093,3
2025-12-10T14:20:00Z,4094,4094,4094,4094,1
2025-12-10T14:42:00Z,4093,4093,4093,4093,1
2025-12-10T15:10:00Z,4086,4086,4086,4086,1
2025-12-11T02:38:00Z,4091,4091,4091,4091,1
2025-12-11T08:53:00Z,4060,4060,4060,4060,1
2025-12-11T13:10:00Z,4060,4060,4060,4060,5
2025-12-11T13:33:00Z,4060,4060,4060,4060,1
2025-12-11T13:36:00Z,4060,4060,4060,4060,4
2025-12-12T08:09:00Z,4026,4026,4026,4026,1
2025-12-15T02:52:00Z,4005,4005,4005,4005,4
2025-12-15T02:55:00Z,4005,4005,4005,4005,6
2025-12-15T14:33:00Z,3983,3983,3983,3983,1
2025-12-15T14:35:00Z,3983,3983,3983,3983,1
2025-12-15T14:42:00Z,3983,3983,3983,3983,1
2025-12-15T14:46:00Z,3983,3983,3983,3983,4
2025-12-15T14:48:00Z,3982,3983,3982,3983,3
2025-12-16T02:57:00Z,3963,3963,3963,3963,5
2025-12-16T02:58:00Z,3963,3963,3961,3963,5
2025-12-16T07:42:00Z,3952,3952,3952,3952,2
2025-12-16T09:18:00Z,3967,3967,3966,3966,2
2025-12-16T09:19:00Z,3966,3966,3966,3966,3
2025-12-16T09:54:00Z,3961,3963,3961,3963,5
2025-12-16T13:04:00Z,3963,3963,3963,3963,5
2025-12-17T03:59:00Z,3960,3960,3960,3960,1
2025-12-17T04:05:00Z,3962,3962,3962,3962,4
2025-12-17T07:39:00Z,3964,3964,3964,3964,2
2025-12-17T08:18:00Z,3970,3970,3970,3970,1
2025-12-17T08:20:00Z,3970,3970,3970,3970,4
2025-12-17T09:25:00Z,3972,3972,3972,3972,5
2025-12-18T02:37:00Z,4015,4015,4015,4015,1
2025-12-18T03:40:00Z,4002,4002,4002,4002,1
2025-12-18T03:41:00Z,4001,4001,4001,4001,6
2025-12-18T03:44:00Z,4000,4000,4000,4000,6
2025-12-18T03:46:00Z,4000,4000,4000,4000,4
2025-12-18T03:49:00Z,3997,3997,3997,3997,7
2025-12-18T03:50:00Z,3996,3996,3996,3996,2
2025-12-18T03:53:00Z,3998,3998,3998,3998,3
2025-12-18T03:54:00Z,3998,3998,3998,3998,2
2025-12-18T03:57:00Z,3995,3995,3995,3995,1
2025-12-18T04:12:00Z,3990,3990,3990,3990,1
2025-12-18T04:23:00Z,3991,3991,3991,3991,4
2025-12-18T07:57:00Z,3973,3974,3973,3974,5
2025-12-18T08:01:00Z,3974,3974,3974,3974,4
2025-12-18T08:08:00Z,3974,3974,3974,3974,3
2025-12-18T08:11:00Z,3976,3976,3976,3976,3
2025-12-18T08:13:00Z,3976,3976,3976,3976,1
2025-12-18T08:16:00Z,3975,3975,3975,3975,5
2025-12-18T08:18:00Z,3976,3976,3975,3975,5
2025-12-18T08:20:00Z,3980,3980,3980,3980,1
2025-12-18T08:33:00Z,3978,3978,3978,3978,4
2025-12-18T08:38:00Z,3980,3980,3980,3980,4
2025-12-18T08:40:00Z,3978,3978,3978,3978,5
2025-12-18T08:52:00Z,3978,3978,3978,3978,3
2025-12-18T09:06:00Z,3979,3980,3979,3980,5
2025-12-18T09:09:00Z,3976,3976,3976,3976,5
2025-12-18T09:11:00Z,3975,3975,3975,3975,5
2025-12-18T09:29:00Z,3980,3980,3980,3980,9
2025-12-18T09:47:00Z,3975,3975,3975,3975,5
2025-12-18T09:48:00Z,3980,3980,3980,3980,5
2025-12-18T09:57:00Z,3977,3977,3977,3977,7
2025-12-18T13:37:00Z,3980,3980,3980,3980,5
2025-12-18T13:41:00Z,3980,3980,3980,3980,1
