time,open,high,low,close,Volume
2026-02-23T03:19:00Z,4079,4079,4079,4079,1
2026-02-23T03:31:00Z,4079,4079,4079,4079,1
2026-02-23T03:41:00Z,4072,4072,4072,4072,1
2026-02-23T03:42:00Z,4072,4073,4072,4073,7
2026-02-23T03:43:00Z,4073,4073,4073,4073,2
2026-02-23T03:46:00Z,4074,4074,4074,4074,3
2026-02-23T03:50:00Z,4072,4073,4072,4073,7
2026-02-23T04:12:00Z,4074,4074,4074,4074,5
2026-02-24T04:29:00Z,4060,4060,4060,4060,3
2026-02-24T07:04:00Z,4055,4055,4055,4055,3
2026-02-24T07:05:00Z,4055,4055,4053,4053,12
2026-02-24T07:06:00Z,4052,4052,4052,4052,5
2026-02-24T07:35:00Z,4072,4072,4072,4072,4
2026-02-24T08:42:00Z,4075,4075,4075,4075,11
2026-02-24T08:47:00Z,4075,4075,4075,4075,19
2026-02-24T08:48:00Z,4075,4075,4075,4075,2
2026-02-24T08:55:00Z,4075,4075,4075,4075,9
2026-02-24T09:41:00Z,4071,4072,4070,4070,40
2026-02-24T09:42:00Z,4070,4070,4068,4069,10
2026-02-24T09:49:00Z,4069,4069,4069,4069,1
2026-02-25T02:47:00Z,4072,4072,4071,4071,4
2026-02-25T03:29:00Z,4073,4073,4073,4073,1
2026-02-25T03:31:00Z,4073,4073,4070,4070,14
2026-02-25T03:57:00Z,4064,4064,4064,4064,5
2026-02-25T07:59:00Z,4050,4050,4050,4050,5
2026-02-26T02:35:00Z,4044,4044,4044,4044,3
2026-02-26T04:17:00Z,4030,4030,4030,4030,3
2026-02-26T04:18:00Z,4030,4031,4030,4031,7
2026-02-26T04:19:00Z,4032,4032,4032,4032,5
2026-02-26T04:20:00Z,4033,4033,4033,4033,5
2026-02-26T04:22:00Z,4034,4034,4034,4034,2
2026-02-26T04:24:00Z,4032,4033,4032,4033,10
2026-02-26T04:25:00Z,4029,4029,4029,4029,2
2026-02-26T06:57:00Z,4031,4032,4030,4032,6
2026-02-26T07:00:00Z,4033,4033,4033,4033,1
2026-02-26T07:02:00Z,4033,4034,4033,4034,6
2026-02-26T07:06:00Z,4035,4035,4035,4035,5
2026-02-26T07:23:00Z,4036,4037,4036,4037,10
2026-02-26T08:27:00Z,4028,4028,4028,4028,1
2026-02-26T08:30:00Z,4028,4029,4028,4029,3
2026-02-26T13:08:00Z,4023,4023,4023,4023,2
2026-02-26T13:30:00Z,4034,4034,4034,4034,1
2026-02-26T13:33:00Z,4034,4034,4034,4034,1
2026-02-26T13:34:00Z,4034,4034,4034,4034,3
2026-02-26T13:36:00Z,4035,4035,4035,4035,5
2026-02-27T02:33:00Z,4029,4029,4029,4029,1
2026-02-27T03:31:00Z,4024,4024,4024,4024,3
2026-02-27T03:40:00Z,4026,4026,4026,4026,5
2026-02-27T03:41:00Z,4030,4030,4030,4030,5
2026-02-27T03:43:00Z,4032,4032,4032,4032,1
2026-02-27T04:23:00Z,4028,4028,4028,4028,4
2026-02-27T04:29:00Z,4028,4028,4028,4028,1
2026-02-27T06:45:00Z,4035,4035,4035,4035,5
2026-02-27T06:47:00Z,4036,4036,4036,4036,5
2026-02-27T06:48:00Z,4037,4039,4037,4039,15
2026-02-27T08:16:00Z,4040,4040,4040,4040,5
2026-02-27T09:39:00Z,4041,4041,4031,4031,15
2026-03-02T03:21:00Z,4084,4084,4084,4084,1
2026-03-02T08:06:00Z,4125,4125,4125,4125,1
2026-03-03T08:00:00Z,4146,4146,4146,4146,1
2026-03-03T08:01:00Z,4147,4147,4147,4147,1
2026-03-03T08:03:00Z,4148,4148,4148,4148,1
2026-03-03T08:06:00Z,4149,4149,4149,4149,1
2026-03-03T08:11:00Z,4157,4157,4157,4157,1
2026-03-03T08:32:00Z,4159,4159,4159,4159,1
2026-03-03T08:33:00Z,4159,4159,4159,4159,1
2026-03-03T08:34:00Z,4162,4162,4162,4162,1
2026-03-03T08:47:00Z,4163,4164,4163,4164,3
2026-03-03T08:48:00Z,4165,4165,4165,4165,1
2026-03-03T09:57:00Z,4175,4175,4175,4175,10
2026-03-04T02:30:00Z,4175,4175,4175,4175,1
2026-03-05T03:45:00Z,4142,4142,4142,4142,1
2026-03-05T04:04:00Z,4188,4188,4188,4188,1
2026-03-05T04:17:00Z,4204,4204,4204,4204,1
2026-03-05T06:57:00Z,4216,4216,4216,4216,1
2026-03-05T08:33:00Z,4229,4234,4229,4234,5
2026-03-05T08:52:00Z,4238,4238,4238,4238,6
2026-03-05T08:54:00Z,4238,4238,4238,4238,23
2026-03-05T08:55:00Z,4238,4238,4238,4238,18
2026-03-05T08:56:00Z,4238,4238,4238,4238,9
2026-03-05T08:58:00Z,4238,4238,4238,4238,4
2026-03-05T08:59:00Z,4238,4238,4238,4238,8
2026-03-05T09:00:00Z,4238,4238,4238,4238,2
2026-03-05T09:04:00Z,4238,4238,4238,4238,10
2026-03-05T09:06:00Z,4235,4235,4235,4235,8
2026-03-05T09:07:00Z,4234,4234,4234,4234,3
2026-03-05T09:08:00Z,4234,4234,4232,4232,20
2026-03-05T09:09:00Z,4233,4233,4230,4230,15
2026-03-05T09:10:00Z,4225,4225,4219,4219,2
2026-03-05T09:12:00Z,4200,4200,4200,4200,2
2026-03-05T09:13:00Z,4197,4197,4197,4197,3
2026-03-05T09:25:00Z,4182,4182,4182,4182,1
2026-03-05T13:02:00Z,4191,4191,4191,4191,1
