time,open,high,low,close,Volume
2025-10-10T03:43:00Z,4323,4323,4323,4323,1
2025-10-21T06:51:00Z,4330,4330,4330,4330,1
2025-11-18T08:12:00Z,4150,4150,4150,4150,2
2025-11-21T09:43:00Z,4060,4060,4060,4060,1
2025-11-25T13:01:00Z,3995,3995,3995,3995,2
2025-11-25T13:03:00Z,3995,3995,3995,3995,2
2025-11-25T13:06:00Z,3995,3995,3995,3995,2
2025-11-25T13:58:00Z,3995,3995,3995,3995,3
2025-11-25T14:00:00Z,3995,3995,3995,3995,1
2025-11-26T13:32:00Z,4030,4030,4030,4030,1
2025-11-26T14:11:00Z,4030,4030,4030,4030,1
2025-12-08T03:31:00Z,4093,4093,4093,4093,2
2025-12-08T03:55:00Z,4093,4093,4093,4093,1
2025-12-15T02:55:00Z,4004,4004,4004,4004,3
2025-12-19T09:04:00Z,3947,3947,3947,3947,3
2025-12-19T09:06:00Z,3950,3950,3950,3950,2
2025-12-19T09:18:00Z,3955,3955,3955,3955,4
2025-12-19T09:19:00Z,3952,3952,3952,3952,1
2025-12-19T09:39:00Z,3937,3937,3937,3937,1
2025-12-19T09:41:00Z,3936,3936,3936,3936,6
2025-12-22T04:26:00Z,3980,3980,3980,3980,1
2025-12-22T07:03:00Z,3976,3976,3976,3976,1
2026-01-07T06:33:00Z,3989,3989,3989,3989,1
2026-01-07T06:35:00Z,3989,3989,3989,3989,1
2026-01-07T13:59:00Z,4038,4038,4038,4038,2
2026-01-13T08:28:00Z,4038,4038,4037,4037,18
2026-01-13T08:43:00Z,4035,4036,4035,4036,10
2026-01-13T08:54:00Z,4035,4035,4034,4034,2
2026-01-13T08:55:00Z,4031,4031,4031,4031,10
2026-01-13T09:08:00Z,4040,4040,4040,4040,3
2026-01-13T09:18:00Z,4044,4044,4043,4043,7
2026-01-13T09:30:00Z,4049,4049,4049,4049,11
2026-01-13T09:33:00Z,4053,4053,4053,4053,7
2026-01-13T09:35:00Z,4053,4053,4053,4053,2
2026-01-14T02:34:00Z,4071,4071,4071,4071,10
2026-01-14T02:35:00Z,4071,4071,4070,4070,10
2026-01-14T02:38:00Z,4070,4070,4070,4070,10
2026-01-14T02:47:00Z,4075,4075,4074,4074,10
2026-01-14T02:55:00Z,4073,4073,4072,4072,13
2026-01-14T03:05:00Z,4072,4072,4071,4071,5
2026-01-14T03:06:00Z,4070,4070,4070,4070,6
2026-01-14T03:08:00Z,4071,4071,4070,4070,2
2026-01-14T03:09:00Z,4070,4071,4070,4071,9
2026-01-14T03:10:00Z,4073,4073,4072,4072,5
2026-01-14T03:54:00Z,4055,4055,4054,4054,7
2026-01-14T03:55:00Z,4055,4055,4055,4055,1
2026-01-14T03:57:00Z,4056,4056,4055,4055,4
2026-01-14T04:00:00Z,4059,4059,4059,4059,7
2026-01-14T04:01:00Z,4059,4059,4059,4059,2
2026-01-14T04:02:00Z,4059,4059,4059,4059,1
2026-01-14T04:26:00Z,4059,4059,4059,4059,6
2026-01-15T02:43:00Z,4032,4032,4032,4032,19
2026-01-15T02:44:00Z,4032,4032,4032,4032,3
2026-01-15T02:45:00Z,4032,4032,4032,4032,4
