month,n_days_shape,dominant_shape,dominant_pct,flicker_pct,n_days_fund,avg_stock_pct,avg_M1_price,avg_spot_ret_5d_pct
1,192,0.1,33.3,70.8,192,0.531,3661.3,1.54
2,162,0.0,42.6,55.6,162,0.465,3759.2,1.86
3,176,0.0,54.5,39.8,176,0.454,3629.7,2.43
4,190,0.0,64.2,35.8,190,0.382,3791.2,2.76
5,182,0.0,41.8,37.4,182,0.444,3688.6,3.2
6,157,0.0,35.7,28.0,157,0.431,3351.2,3.46
7,172,1,39.0,51.7,172,0.472,3231.4,1.77
8,177,1,57.6,26.6,177,0.471,3378.9,2.17
9,162,1,51.9,22.8,162,0.548,3411.6,2.18
10,179,1,50.8,60.3,179,0.66,3489.1,2.16
11,183,1,37.7,62.8,183,0.65,3662.4,1.99
12,156,0.0,32.7,61.5,156,0.622,3768.4,2.72
