date,parallel,twist,butterfly,stock_level,spot_cat,regime
2017-02-07,2777.0,0.0,-3.5,Unknown,Small down,Unknown
2017-02-08,2793.8333333333335,-11.0,3.5,Unknown,Flat,Unknown
2017-03-09,2714.8333333333335,4.0,14.0,Unknown,Large down,Unknown
2017-03-14,2617.3333333333335,26.0,20.5,Unknown,Flat,Unknown
2017-03-16,2671.5,37.0,3.5,Unknown,Large up,Unknown
2017-03-22,2695.5,40.0,8.5,Unknown,Small up,Unknown
2017-03-30,2565.5,3.0,12.5,Unknown,Large down,Unknown
2017-04-05,2581.0,31.0,9.5,Unknown,Small up,Unknown
2017-04-06,2577.5,28.0,12.5,Unknown,Flat,Unknown
2017-04-11,2557.3333333333335,-29.0,12.0,Unknown,Small up,Unknown
2017-04-12,2539.1666666666665,-28.0,8.5,Unknown,Small down,Unknown
2017-04-13,2522.5,-11.0,31.5,Unknown,Small down,Unknown
2017-04-18,2493.5,-18.0,12.5,Unknown,Small down,Unknown
2017-04-19,2482.6666666666665,-21.0,13.0,Unknown,Flat,Unknown
2017-04-20,2507.6666666666665,-11.0,12.5,Unknown,Small up,Unknown
2017-04-25,2470.6666666666665,-14.0,15.0,Unknown,Large down,Unknown
2017-04-27,2476.8333333333335,-21.0,12.0,Unknown,Flat,Unknown
2017-05-02,2517.3333333333335,-17.0,38.0,Unknown,Small up,Unknown
2017-05-03,2509.5,-48.0,24.0,Unknown,Small down,Unknown
2017-05-04,2514.5,-29.0,30.5,Unknown,Flat,Unknown
2017-05-08,2533.0,-18.0,17.0,Unknown,Small up,Unknown
2017-05-09,2545.1666666666665,-19.0,22.0,Unknown,Flat,Unknown
2017-05-11,2569.3333333333335,-6.0,4.5,Unknown,Large up,Unknown
2017-06-05,2464.3333333333335,-17.0,23.0,Unknown,Large down,Unknown
2017-06-06,2471.1666666666665,-12.0,22.5,Unknown,Flat,Unknown
2017-06-07,2454.3333333333335,-21.0,22.0,Unknown,Small down,Unknown
2017-06-08,2455.0,-22.0,18.5,Unknown,Flat,Unknown
2017-06-13,2468.8333333333335,-23.0,-10.0,Unknown,Small up,Unknown
2017-06-14,2467.5,-2.0,-6.0,Unknown,Flat,Unknown
2017-06-15,2482.6666666666665,16.0,-1.5,Unknown,Small up,Unknown
2017-06-19,2520.3333333333335,-3.0,18.0,Unknown,Small up,Unknown
2017-06-20,2519.8333333333335,-10.0,24.0,Unknown,Flat,Unknown
2017-06-21,2498.3333333333335,-11.0,31.0,Unknown,Small down,Unknown
2017-06-22,2500.5,9.0,36.0,Unknown,Flat,Unknown
2017-06-28,2496.3333333333335,0.0,28.5,Unknown,Flat,Unknown
2017-06-29,2520.0,2.0,29.5,Unknown,Small up,Unknown
2017-07-03,2555.8333333333335,12.0,34.5,Unknown,Large up,Unknown
2017-07-04,2551.6666666666665,5.0,32.5,Unknown,Flat,Unknown
2017-07-05,2563.6666666666665,18.0,28.5,Unknown,Small up,Unknown
2017-07-06,2567.0,21.0,27.0,Unknown,Flat,Unknown
2017-07-10,2592.1666666666665,38.0,28.5,Unknown,Small up,Unknown
