date,shape,stock_pct,stock_tercile,spot_mom_cat,month,M1,M2,M3,M4,M5,M6
2008-01-01,0.1,,,,1,3086.0,3095.0,3082.0,3070.0,3055.0,3055.0
2008-01-02,0.1,,,,1,3148.0,3145.0,3135.0,3127.0,3112.0,3112.0
2008-01-03,0.1,,,,1,3132.0,3129.0,3120.0,3112.0,3097.0,3097.0
2008-01-07,0.1,,,,1,3155.0,3175.0,3161.0,3162.0,3157.0,3149.0
2008-01-08,0.1,,,,1,3195.0,3205.0,3201.0,3192.0,3180.0,3172.0
2008-01-10,0.1,,,Up,1,3270.0,3279.0,3280.0,3274.0,3276.0,3264.0
2008-01-14,0.1,,,Up,1,3360.0,3345.0,3350.0,3320.0,3317.0,3305.0
2008-01-15,0.1,,,Up,1,3272.0,3272.0,3278.0,3263.0,3260.0,3249.0
2008-01-16,0.0,,,Up,1,3389.0,3366.0,3360.0,3350.0,3339.0,3330.0
2008-01-17,0.0,,,Up,1,3325.0,3319.0,3316.0,3306.0,3295.0,3305.0
2008-01-21,2,,,Down,1,3100.0,3117.0,3115.0,3109.0,3098.0,3108.0
2008-01-22,2,,,Down,1,3100.0,3108.0,3115.0,3109.0,3098.0,3108.0
2008-01-23,2,,,Down,1,3188.0,3205.0,3211.0,3220.0,3209.0,3219.0
2008-01-24,0.1,,,Down,1,3264.0,3249.0,3255.0,3249.0,3237.0,3215.0
2008-01-28,0.0,,,Down,1,3201.0,3197.0,3200.0,3200.0,3188.0,3200.0
2008-01-29,2,,,Up,1,3211.0,3221.0,3224.0,3220.0,3223.0,3220.0
2008-01-30,1,,,Up,1,3230.0,3221.0,3232.0,3228.0,3231.0,3228.0
2008-02-04,2,,,Up,2,3316.0,3355.0,3349.0,3355.0,3358.0,3355.0
2008-02-05,2,,,Up,2,3346.0,3385.0,3385.0,3391.0,3394.0,3391.0
2008-02-11,1,,,Up,2,3370.0,3370.0,3375.0,3375.0,3372.0,3376.0
2008-02-12,2,,,Up,2,3341.0,3356.0,3360.0,3350.0,3353.0,3350.0
2008-02-13,2,,,Up,2,3425.0,3440.0,3451.0,3453.0,3450.0,3447.0
2008-02-14,2,,,Up,2,3425.0,3475.0,3484.0,3480.0,3477.0,3479.0
2008-02-18,2,,,Up,2,3608.0,3624.0,3625.0,3622.0,3625.0,3620.0
2008-02-19,2,,,Up,2,3623.0,3630.0,3624.0,3624.0,3626.0,3626.0
2008-02-20,2,,,Up,2,3693.0,3700.0,3702.0,3700.0,3700.0,3700.0
2008-02-21,2,,,Up,2,3681.0,3695.0,3698.0,3700.0,3670.0,3700.0
2008-02-25,2,,,Up,2,3781.0,3795.0,3792.0,3792.0,3792.0,3792.0
2008-02-26,2,,,Up,2,3845.0,3862.0,3864.0,3862.0,3862.0,3862.0
2008-02-27,2,,,Up,2,3826.0,3843.0,3850.0,3849.0,3841.0,3841.0
2008-02-28,2,,,Up,2,3972.0,3989.0,4005.0,4004.0,3993.0,3970.0
2008-03-03,2,,,Up,3,4067.0,4090.0,4099.0,4090.0,4084.0,4061.0
2008-03-04,2,,,Up,3,4055.0,4090.0,4095.0,4086.0,4080.0,4057.0
2008-03-05,2,,,Up,3,3977.0,4000.0,4003.0,4000.0,3994.0,3971.0
