spot_cat,stock_level,regime,fly_M1M2M3_fwd3_mean,fly_M1M2M3_fwd3_n,fly_M2M3M4_fwd3_mean,fly_M2M3M4_fwd3_n,fly_M3M4M5_fwd3_mean,fly_M3M4M5_fwd3_n,fly_M4M5M6_fwd3_mean,fly_M4M5M6_fwd3_n,sp_M1M2_fwd3_mean,sp_M1M2_fwd3_n,sp_M2M3_fwd3_mean,sp_M2M3_fwd3_n,sp_M3M4_fwd3_mean,sp_M3M4_fwd3_n,sp_M4M5_fwd3_mean,sp_M4M5_fwd3_n,sp_M5M6_fwd3_mean,sp_M5M6_fwd3_n
Large down,High,Backwardation,,0,,0,,0,,0,,0,,0,,0,,0,,0
Large down,High,Contango,-1.77,46,0.5,46,-0.54,46,0.53,46,4.74,46,1.2,46,2.2,46,1.11,46,2.17,46
Large down,High,Transition,-6.42,12,-3.71,12,-1.21,12,0.12,12,21.42,12,8.58,12,1.17,12,-1.25,12,-1.0,12
Large down,Low,Backwardation,1.13,94,0.27,94,0.28,94,0.08,94,-6.53,94,-4.28,94,-3.73,94,-3.18,94,-3.02,94
Large down,Low,Contango,-35.5,1,3.5,1,-11.5,1,8.5,1,70.0,1,-1.0,1,6.0,1,-17.0,1,0.0,1
Large down,Low,Transition,0.15,13,5.19,13,0.54,13,3.92,13,-25.38,13,-25.08,13,-14.69,13,-13.62,13,-5.77,13
Large down,Mid,Backwardation,-2.52,29,0.66,29,2.4,29,-0.09,29,-6.83,29,-11.86,29,-10.55,29,-5.76,29,-5.93,29
Large down,Mid,Contango,-3.52,40,0.7,40,0.09,40,0.96,40,3.78,40,-3.28,40,-1.88,40,-1.7,40,0.22,40
Large down,Mid,Transition,-1.38,16,2.03,16,-0.62,16,0.47,16,-5.38,16,-8.12,16,-4.06,16,-5.31,16,-4.38,16
Small down,High,Backwardation,,0,,0,,0,,0,,0,,0,,0,,0,,0
Small down,High,Contango,-2.23,87,0.41,87,-0.08,87,-0.3,87,4.84,87,0.38,87,1.21,87,1.05,87,0.44,87
Small down,High,Transition,7.79,24,-0.46,24,0.58,24,-0.54,24,-16.04,24,-0.46,24,-1.38,24,-0.21,24,-1.29,24
Small down,Low,Backwardation,-1.2,77,0.09,77,-0.72,77,-0.18,77,3.57,77,1.17,77,1.35,77,-0.09,77,-0.44,77
Small down,Low,Contango,12.5,1,9.5,1,3.0,1,1.0,1,-52.0,1,-27.0,1,-8.0,1,-2.0,1,0.0,1
Small down,Low,Transition,1.15,10,4.05,10,0.4,10,0.3,10,-15.3,10,-13.0,10,-4.9,10,-4.1,10,-3.5,10
Small down,Mid,Backwardation,6.72,25,3.08,25,-1.58,25,-0.14,25,-13.0,25,0.44,25,6.6,25,3.44,25,3.16,25
Small down,Mid,Contango,1.69,72,0.26,72,-0.22,72,-0.15,72,-5.01,72,-1.62,72,-1.11,72,-1.56,72,-1.85,72
Small down,Mid,Transition,-0.2,27,-0.89,27,0.11,27,0.8,27,-0.04,27,-0.44,27,-2.22,27,-2.0,27,-0.41,27
Flat,High,Backwardation,,0,,0,,0,,0,,0,,0,,0,,0,,0
Flat,High,Contango,-2.29,96,0.07,96,0.24,96,-0.35,96,7.21,96,2.62,96,2.77,96,3.26,96,2.55,96
Flat,High,Transition,-0.22,44,-0.69,44,-0.56,44,0.24,44,2.77,44,2.34,44,0.95,44,-0.16,44,0.32,44
Flat,Low,Backwardation,-3.96,105,1.08,105,1.02,105,0.14,105,5.03,105,-2.89,105,-0.72,105,1.32,105,1.61,105
Flat,Low,Contango,-38.0,1,-4.0,1,-1.5,1,-3.0,1,80.0,1,4.0,1,-4.0,1,-7.0,1,-13.0,1
Flat,Low,Transition,-3.69,8,-1.12,8,1.88,8,1.38,8,2.5,8,-4.88,8,-7.12,8,-3.38,8,-0.62,8
Flat,Mid,Backwardation,-3.22,38,-1.62,38,-0.97,38,-1.41,38,12.16,38,5.71,38,2.47,38,0.53,38,-2.29,38
Flat,Mid,Contango,0.07,81,0.9,81,0.01,81,-0.04,81,-1.57,81,-1.43,81,0.36,81,0.37,81,0.28,81
