shape,pair,mean,std,snr_unfiltered,snr_z_filtered,n,regime_consistent,confidence
0.0,M1-M2,-6.92,54.89,0.126,0.357,785,True,HIGH
0.0,M2-M3,-0.85,34.81,0.025,0.272,785,True,HIGH
0.0,M3-M4,-0.76,23.99,0.032,0.152,785,True,HIGH
0.0,M4-M5,-0.71,18.42,0.039,0.153,785,True,HIGH
0.0,M5-M6,-1.08,16.22,0.066,,785,True,HIGH
0.1,M1-M2,18.3,54.24,0.337,0.61,262,False,MEDIUM
0.1,M2-M3,1.58,21.43,0.074,0.052,262,True,HIGH
0.1,M3-M4,-2.46,18.4,0.134,0.253,262,True,HIGH
0.1,M4-M5,-2.61,15.14,0.172,0.2,262,True,HIGH
0.1,M5-M6,-1.84,15.75,0.117,,262,False,LOW
0.2,M1-M2,-10.51,33.22,0.316,0.355,79,True,HIGH
0.2,M2-M3,-3.13,15.66,0.2,,79,False,LOW
0.2,M3-M4,1.85,11.57,0.16,,79,True,HIGH
0.2,M4-M5,1.63,10.99,0.149,,79,True,HIGH
0.2,M5-M6,2.06,15.06,0.137,,79,True,HIGH
1,M1-M2,-1.89,29.73,0.063,0.195,643,True,HIGH
1,M2-M3,0.21,12.55,0.017,0.113,643,,MEDIUM
1,M3-M4,1.26,10.8,0.116,0.208,643,,MEDIUM
1,M4-M5,1.59,10.19,0.156,0.222,642,True,HIGH
1,M5-M6,1.49,9.31,0.16,,642,,MEDIUM
2,M1-M2,7.29,33.6,0.217,0.384,316,,HIGH
2,M2-M3,0.18,12.99,0.014,0.056,316,,MEDIUM
2,M3-M4,0.06,11.69,0.005,0.247,316,,MEDIUM
2,M4-M5,-0.57,10.67,0.054,0.287,316,,MEDIUM
2,M5-M6,-0.21,9.1,0.023,,316,,MEDIUM
