date,parallel,twist,butterfly,stock_level,spot_cat,regime
2007-03-21,1959.8333333333333,-1.0,0.5,Unknown,Flat,Unknown
2007-03-22,1990.0,20.0,2.5,Unknown,Large up,Unknown
2007-03-26,1991.6666666666667,10.0,5.0,Unknown,Flat,Unknown
2007-03-27,2024.0,29.0,0.5,Unknown,Large up,Unknown
2007-03-28,2024.8333333333333,19.0,-4.5,Unknown,Flat,Unknown
2007-03-29,2039.0,29.0,0.5,Unknown,Small up,Unknown
2007-04-02,2060.0,22.0,4.0,Unknown,Small up,Unknown
2007-04-03,2069.1666666666665,45.0,-2.5,Unknown,Small up,Unknown
2007-04-04,2038.3333333333333,40.0,0.0,Unknown,Large down,Unknown
2007-04-05,2042.3333333333333,40.0,0.0,Unknown,Flat,Unknown
2007-04-09,2067.0,54.0,-8.0,Unknown,Large up,Unknown
2007-04-10,2071.0,43.0,-2.5,Unknown,Flat,Unknown
2007-04-11,2056.0,43.0,-2.5,Unknown,Small down,Unknown
2007-04-12,2077.5,66.0,-7.0,Unknown,Large up,Unknown
2007-04-16,2056.5,56.0,-7.0,Unknown,Small down,Unknown
2007-04-17,2027.5,56.0,-7.0,Unknown,Small down,Unknown
2007-04-18,2082.5,56.0,-7.0,Unknown,Large up,Unknown
2007-04-19,2055.1666666666665,15.0,-27.5,Unknown,Large down,Unknown
2007-04-23,2065.0,51.0,-4.5,Unknown,Small up,Unknown
2007-04-24,2042.5,36.0,3.0,Unknown,Large down,Unknown
2007-04-26,2080.8333333333335,37.0,4.5,Unknown,Large up,Unknown
2007-04-30,2080.8333333333335,37.0,4.5,Unknown,Flat,Unknown
2007-05-09,2145.5,65.0,-55.0,Unknown,Large up,Unknown
2007-05-10,2150.5,63.0,-19.0,Unknown,Small down,Unknown
2007-05-14,2185.6666666666665,36.0,-5.5,Unknown,Small up,Unknown
2007-05-15,2202.1666666666665,63.0,-23.0,Unknown,Large up,Unknown
2007-05-16,2214.1666666666665,63.0,-23.0,Unknown,Small up,Unknown
2007-05-17,2247.1666666666665,63.0,-23.0,Unknown,Small up,Unknown
2007-05-21,2252.1666666666665,63.0,-23.0,Unknown,Flat,Unknown
2007-05-22,2244.1666666666665,63.0,-23.0,Unknown,Flat,Unknown
2007-05-23,2290.3333333333335,84.0,-26.5,Unknown,Large up,Unknown
2007-05-24,2338.1666666666665,61.0,-15.0,Unknown,Small up,Unknown
2007-05-28,2368.1666666666665,61.0,-15.0,Unknown,Small up,Unknown
2007-05-29,2318.1666666666665,61.0,-15.0,Unknown,Large down,Unknown
2007-05-30,2373.0,76.0,-22.5,Unknown,Large up,Unknown
2007-05-31,2343.8333333333335,75.0,-22.0,Unknown,Small down,Unknown
2007-06-04,2440.1666666666665,109.0,-12.0,Unknown,Large up,Unknown
2007-06-05,2387.6666666666665,200.0,-74.5,Unknown,Small up,Unknown
2007-06-06,2387.6666666666665,200.0,-74.5,Unknown,Flat,Unknown
2007-06-14,2346.1666666666665,81.0,-15.0,Unknown,Large up,Unknown
2007-06-18,2375.0,85.0,-42.5,Unknown,Large up,Unknown
2007-06-19,2375.0,85.0,-42.5,Unknown,Flat,Unknown
2007-06-20,2355.8333333333335,85.0,-42.5,Unknown,Flat,Unknown
2007-06-21,2322.6666666666665,125.0,-82.5,Unknown,Flat,Unknown
2007-07-02,2392.1666666666665,62.0,-29.0,Unknown,Large up,Unknown
2007-07-03,2387.1666666666665,32.0,-14.0,Unknown,Small down,Unknown
2007-07-04,2383.1666666666665,53.0,-20.5,Unknown,Small up,Unknown
2007-07-05,2399.1666666666665,56.0,-19.0,Unknown,Small up,Unknown
2007-07-09,2392.3333333333335,70.0,-26.0,Unknown,Flat,Unknown
2007-07-10,2442.6666666666665,79.0,-19.0,Unknown,Large up,Unknown
2007-07-11,2450.0,84.0,-19.5,Unknown,Flat,Unknown
2007-07-12,2473.3333333333335,55.0,-15.0,Unknown,Flat,Unknown
2007-07-16,2411.8333333333335,61.0,-11.5,Unknown,Large down,Unknown
2007-07-17,2417.8333333333335,82.0,-22.0,Unknown,Small up,Unknown
2007-07-18,2409.5,37.0,-2.0,Unknown,Large down,Unknown
2007-07-19,2400.8333333333335,67.0,-14.5,Unknown,Small up,Unknown
2007-07-23,2406.3333333333335,99.0,-26.5,Unknown,Small up,Unknown
2007-07-24,2421.0,75.0,-14.5,Unknown,Small down,Unknown
2007-07-25,2443.0,91.0,-22.5,Unknown,Large up,Unknown
2007-07-26,2462.1666666666665,89.0,-21.5,Unknown,Small up,Unknown
2007-07-30,2512.5,56.0,-18.0,Unknown,Small up,Unknown
2007-07-31,2507.3333333333335,25.0,-2.5,Unknown,Small down,Unknown
2007-08-01,2507.3333333333335,25.0,-2.5,Unknown,Flat,Unknown
2007-08-02,2506.6666666666665,21.0,-0.5,Unknown,Flat,Unknown
2007-08-06,2394.3333333333335,37.0,-19.0,Unknown,Large down,Unknown
2007-08-07,2464.3333333333335,37.0,-19.0,Unknown,Large up,Unknown
2007-08-08,2479.3333333333335,37.0,-19.0,Unknown,Small up,Unknown
2007-08-09,2468.3333333333335,37.0,-19.0,Unknown,Flat,Unknown
2007-08-13,2471.5,37.0,-19.0,Unknown,Flat,Unknown
2007-08-14,2457.3333333333335,-8.0,3.5,Unknown,Large down,Unknown
2007-08-15,2379.5,-40.0,-44.0,Unknown,Large down,Unknown
2007-08-16,2358.5,-28.0,-50.0,Unknown,Flat,Unknown
2007-08-20,2350.5,-16.0,-41.0,Unknown,Flat,Unknown
2007-08-21,2394.5,-16.0,-41.0,Unknown,Large up,Unknown
2007-08-22,2393.1666666666665,-12.0,-39.0,Unknown,Flat,Unknown
2007-08-27,2401.8333333333335,-43.0,-23.5,Unknown,Flat,Unknown
2007-08-28,2346.8333333333335,-6.0,-37.0,Unknown,Small down,Unknown
2007-08-29,2350.0,13.0,-46.5,Unknown,Small up,Unknown
2007-09-03,2402.8333333333335,54.0,-7.0,Unknown,Large up,Unknown
2007-09-04,2414.6666666666665,91.0,-25.5,Unknown,Large up,Unknown
2007-09-05,2411.0,49.0,-4.5,Unknown,Small down,Unknown
2007-09-06,2413.8333333333335,60.0,-10.0,Unknown,Flat,Unknown
2007-09-10,2434.8333333333335,60.0,-10.0,Unknown,Small up,Unknown
2007-09-11,2464.8333333333335,44.0,-10.0,Unknown,Small up,Unknown
2007-09-12,2492.8333333333335,44.0,-10.0,Unknown,Small up,Unknown
2007-09-13,2537.8333333333335,58.0,-10.0,Unknown,Large up,Unknown
2007-09-17,2579.1666666666665,42.0,-2.0,Unknown,Small up,Unknown
2007-09-18,2553.1666666666665,21.0,8.5,Unknown,Large down,Unknown
2007-09-19,2530.1666666666665,55.0,-0.5,Unknown,Flat,Unknown
2007-09-20,2567.8333333333335,75.0,7.5,Unknown,Large up,Unknown
2007-09-24,2616.0,70.0,10.0,Unknown,Large up,Unknown
2007-09-25,2579.3333333333335,66.0,12.0,Unknown,Large down,Unknown
2007-09-26,2565.6666666666665,74.0,8.0,Unknown,Flat,Unknown
2007-09-27,2614.0,64.0,13.0,Unknown,Large up,Unknown
2007-10-01,2527.8333333333335,69.0,10.5,Unknown,Large down,Unknown
2007-10-02,2502.1666666666665,65.0,6.5,Unknown,Small down,Unknown
2007-10-03,2556.1666666666665,65.0,6.5,Unknown,Large up,Unknown
2007-10-04,2537.1666666666665,49.0,14.5,Unknown,Small down,Unknown
2007-10-08,2542.5,60.0,-3.0,Unknown,Small up,Unknown
2007-10-09,2594.5,63.0,-1.5,Unknown,Large up,Unknown
2007-10-10,2630.0,62.0,3.0,Unknown,Small up,Unknown
2007-10-11,2684.6666666666665,66.0,1.0,Unknown,Large up,Unknown
2007-10-15,2725.6666666666665,85.0,20.0,Unknown,Large up,Unknown
2007-10-16,2674.5,53.0,1.0,Unknown,Large down,Unknown
2007-10-17,2698.1666666666665,62.0,-9.0,Unknown,Small up,Unknown
2007-10-18,2734.1666666666665,45.0,2.5,Unknown,Small up,Unknown
2007-10-22,2664.1666666666665,66.0,-11.5,Unknown,Large down,Unknown
2007-10-23,2675.5,63.0,-10.0,Unknown,Flat,Unknown
2007-10-24,2672.6666666666665,57.0,-7.5,Unknown,Flat,Unknown
2007-10-25,2752.0,77.0,-17.0,Unknown,Large up,Unknown
2007-10-29,2821.6666666666665,68.0,-12.5,Unknown,Large up,Unknown
2007-10-30,2853.0,52.0,6.0,Unknown,Small up,Unknown
2007-10-31,2913.0,37.0,7.5,Unknown,Large up,Unknown
2007-11-01,2899.6666666666665,42.0,9.0,Unknown,Flat,Unknown
2007-11-05,2937.8333333333335,42.0,-4.0,Unknown,Small up,Unknown
2007-11-06,2990.5,30.0,9.0,Unknown,Small up,Unknown
2007-11-08,2981.6666666666665,35.0,15.5,Unknown,Flat,Unknown
2007-11-12,2911.3333333333335,41.0,12.5,Unknown,Large down,Unknown
2007-11-13,2922.0,40.0,13.0,Unknown,Flat,Unknown
2007-11-14,2930.0,40.0,13.0,Unknown,Flat,Unknown
2007-11-15,2895.6666666666665,43.0,11.5,Unknown,Small down,Unknown
2007-11-19,2928.6666666666665,4.0,-2.0,Unknown,Small up,Unknown
2007-11-20,2970.0,7.0,-3.5,Unknown,Large up,Unknown
2007-11-21,2986.0,1.0,-0.5,Unknown,Flat,Unknown
2007-11-22,3038.5,5.0,10.5,Unknown,Large up,Unknown
2007-11-26,2988.0,-11.0,-3.0,Unknown,Large down,Unknown
2007-11-27,2930.1666666666665,-6.0,-5.5,Unknown,Large down,Unknown
2007-11-28,2967.3333333333335,10.0,-32.5,Unknown,Large up,Unknown
2007-11-29,2933.5,0.0,16.5,Unknown,Large down,Unknown
2007-12-03,2897.6666666666665,-42.0,-12.0,Unknown,Small down,Unknown
2007-12-04,2907.0,-24.0,-12.5,Unknown,Small up,Unknown
2007-12-05,2839.8333333333335,10.0,24.5,Unknown,Large down,Unknown
2007-12-06,2871.3333333333335,-14.0,12.5,Unknown,Small up,Unknown
2007-12-10,2885.3333333333335,-41.0,-8.0,Unknown,Small up,Unknown
2007-12-11,2881.8333333333335,-7.0,13.5,Unknown,Flat,Unknown
2007-12-12,2925.8333333333335,-25.0,10.0,Unknown,Small up,Unknown
2007-12-13,2927.8333333333335,-19.0,7.0,Unknown,Flat,Unknown
2007-12-17,2948.0,-16.0,6.0,Unknown,Small up,Unknown
2007-12-18,2957.6666666666665,-12.0,10.0,Unknown,Flat,Unknown
2007-12-20,2985.8333333333335,-5.0,9.0,Unknown,Small up,Unknown
2007-12-24,3022.8333333333335,-5.0,9.5,Unknown,Small up,Unknown
2007-12-25,3070.3333333333335,8.0,14.5,Unknown,Large up,Unknown
2007-12-26,3082.8333333333335,3.0,11.0,Unknown,Flat,Unknown
2007-12-27,3112.3333333333335,6.0,12.0,Unknown,Small up,Unknown
2007-12-31,3050.0,35.0,-5.0,Unknown,Small down,Unknown
2008-01-01,3073.8333333333335,31.0,5.5,Unknown,Small up,Unknown
2008-01-02,3129.8333333333335,36.0,1.0,Unknown,Large up,Unknown
2008-01-03,3114.5,35.0,1.5,Unknown,Small down,Unknown
2008-01-07,3159.8333333333335,6.0,9.5,Unknown,Small up,Unknown
2008-01-08,3190.8333333333335,23.0,13.0,Unknown,Small up,Unknown
2008-01-10,3273.8333333333335,6.0,10.0,Unknown,Large up,Unknown
2008-01-14,3332.8333333333335,55.0,2.5,Unknown,Large up,Unknown
2008-01-15,3260.3333333333335,32.0,5.5,Unknown,Large down,Unknown
2008-01-16,3355.6666666666665,59.0,-4.5,Unknown,Large up,Unknown
2008-01-17,3311.0,20.0,-4.0,Unknown,Large down,Unknown
2008-01-28,3197.6666666666665,1.0,-0.5,Unknown,Large down,Unknown
2008-01-29,3219.8333333333335,-9.0,6.5,Unknown,Flat,Unknown
2008-01-30,3228.3333333333335,2.0,1.0,Unknown,Small up,Unknown
2008-02-04,3348.0,-39.0,16.5,Unknown,Large up,Unknown
2008-02-05,3382.0,-45.0,19.5,Unknown,Small up,Unknown
2008-02-11,3373.0,-6.0,2.0,Unknown,Small up,Unknown
2008-02-12,3351.6666666666665,-9.0,9.5,Unknown,Small down,Unknown
2008-02-13,3444.3333333333335,-22.0,16.0,Unknown,Large up,Unknown
2008-02-14,3470.0,-54.0,30.0,Unknown,Flat,Unknown
2008-02-25,3790.6666666666665,-11.0,5.5,Unknown,Large up,Unknown
2008-02-26,3859.5,-17.0,9.5,Unknown,Large up,Unknown
2008-02-27,3841.6666666666665,-15.0,16.0,Unknown,Flat,Unknown
2008-02-28,3988.8333333333335,2.0,33.5,Unknown,Large up,Unknown
2008-03-03,4081.8333333333335,6.0,30.5,Unknown,Large up,Unknown
2008-03-04,4077.1666666666665,-2.0,34.5,Unknown,Flat,Unknown
2008-03-05,3990.8333333333335,6.0,27.5,Unknown,Large down,Unknown
2008-04-07,3367.8333333333335,-5.0,13.5,Unknown,Large up,Unknown
2008-04-08,3322.8333333333335,10.0,6.0,Unknown,Small down,Unknown
2008-04-09,3434.3333333333335,-28.0,28.5,Unknown,Large up,Unknown
2008-04-10,3461.5,-30.0,2.0,Unknown,Small up,Unknown
2008-04-14,3662.1666666666665,-105.0,72.5,Unknown,Large up,Unknown
2008-04-15,3670.6666666666665,-11.0,5.5,Unknown,Large up,Unknown
2008-04-16,3630.0,-7.0,3.5,Unknown,Small down,Unknown
2008-04-17,3553.0,51.0,78.0,Unknown,Large down,Unknown
2008-04-21,3448.8333333333335,86.0,-2.5,Unknown,Large down,Unknown
2008-04-22,3534.1666666666665,-10.0,12.5,Unknown,Small up,Unknown
2008-04-23,3458.8333333333335,33.0,-12.0,Unknown,Small down,Unknown
2008-04-24,3392.0,65.0,33.5,Unknown,Large down,Unknown
2008-04-28,3402.3333333333335,-169.0,-46.5,Unknown,Large down,Unknown
2008-04-29,3372.5,-5.0,30.0,Unknown,Small up,Unknown
2008-05-01,3332.1666666666665,-23.0,16.0,Unknown,Small down,Unknown
2008-05-05,3382.5,-43.0,20.5,Unknown,Small up,Unknown
2008-05-06,3357.5,-27.0,-5.5,Unknown,Flat,Unknown
2008-05-07,3429.3333333333335,-2.0,90.0,Unknown,Small up,Unknown
2008-05-08,3478.3333333333335,-45.0,41.0,Unknown,Large up,Unknown
2008-05-12,3517.6666666666665,-65.0,43.5,Unknown,Small up,Unknown
2008-05-13,3534.6666666666665,-65.0,64.5,Unknown,Flat,Unknown
2008-05-14,3515.5,-9.0,18.0,Unknown,Small up,Unknown
2008-05-15,3562.0,7.0,2.5,Unknown,Large up,Unknown
2008-05-19,3544.6666666666665,-5.0,8.5,Unknown,Small down,Unknown
2008-05-20,3549.5,-31.0,3.5,Unknown,Flat,Unknown
2008-05-21,3605.5,-27.0,10.0,Unknown,Small up,Unknown
2008-05-22,3640.0,-9.0,19.0,Unknown,Small up,Unknown
2008-05-26,3730.0,-17.0,13.0,Unknown,Large up,Unknown
2008-05-27,3582.5,9.0,20.5,Unknown,Large down,Unknown
2008-05-28,3562.6666666666665,-4.0,10.5,Unknown,Flat,Unknown
2008-05-29,3496.1666666666665,41.0,-5.5,Unknown,Small down,Unknown
2008-06-02,3529.6666666666665,5.0,-3.5,Unknown,Flat,Unknown
2008-06-03,3443.0,6.0,-1.0,Unknown,Large down,Unknown
