Timestamp (UTC),Open,High,Low,Close,FCPO Jan09: Volume
2007-03-15,1941,1941,1941,1941,0
2007-03-19,1950,1950,1950,1950,0
2007-03-19,1970,1970,1966,1966,0
2007-03-20,1963,1963,1963,1963,0
2007-03-21,1965,1965,1960,1960,0
2007-03-22,1980,1980,1980,1980,0
2007-03-26,1983,1983,1983,1983,0
2007-03-26,1990,1990,1985,1985,0
2007-03-27,2000,2015,2000,2010,0
2007-03-28,2020,2020,2020,2020,0
2007-03-29,2025,2025,2025,2025,0
2007-04-02,2045,2045,2020,2020,0
2007-04-02,2060,2060,2048,2048,0
2007-04-03,2050,2050,2050,2050,0
2007-04-04,2020,2020,2020,2020,0
2007-04-05,2024,2024,2024,2024,0
2007-04-09,2060,2060,2045,2050,0
2007-04-09,2046,2046,2046,2046,0
2007-04-10,2010,2052,2010,2052,0
2007-04-11,2037,2037,2037,2037,0
2007-04-12,2040,2050,2040,2050,0
2007-04-16,2081,2081,2081,2081,0
2007-04-16,2034,2034,2034,2034,0
2007-04-17,2005,2005,2005,2005,0
2007-04-18,2060,2060,2060,2060,0
2007-04-19,2060,2060,2060,2060,0
2007-04-23,2060,2060,2060,2060,0
2007-04-23,2044,2044,2044,2044,0
2007-04-24,2024,2024,2024,2024,0
2007-04-26,2054,2054,2054,2054,0
2007-04-30,2054,2054,2054,2054,0
2007-05-02,2093,2093,2093,2093,0
2007-05-03,2043,2043,2043,2043,0
2007-05-07,2043,2043,2043,2043,0
2007-05-07,2003,2003,2003,2003,0
2007-05-08,2018,2018,2018,2018,0
2007-05-09,2110,2110,2110,2110,0
2007-05-10,2120,2120,2120,2120,0
2007-05-14,2150,2180,2150,2158,0
2007-05-14,2158,2158,2158,2158,0
2007-05-15,2173,2173,2173,2173,0
2007-05-16,2185,2185,2185,2185,0
2007-05-17,2210,2215,2210,2215,0
2007-05-21,2185,2185,2185,2185,0
2007-05-21,2220,2220,2220,2220,0
2007-05-22,2212,2212,2212,2212,0
2007-05-23,2250,2250,2250,2250,0
2007-05-24,2306,2306,2306,2306,0
2007-05-28,2344,2344,2344,2344,0
2007-05-28,2336,2336,2336,2336,0
2007-05-29,2286,2286,2286,2286,0
2007-05-30,2336,2336,2336,2336,0
2007-05-31,2307,2307,2307,2307,0
2007-06-04,2342,2342,2342,2342,0
2007-06-04,2380,2380,2380,2380,0
2007-06-05,2320,2320,2320,2320,0
2007-06-06,2320,2320,2320,2320,0
2007-06-07,2238,2238,2238,2238,0
2007-06-11,2088,2088,2088,2088,0
2007-06-11,2261,2261,2261,2261,0
2007-06-12,2261,2261,2261,2261,0
2007-06-13,2244,2244,2244,2244,0
2007-06-14,2309,2309,2309,2309,0
2007-06-18,2350,2350,2350,2350,0
2007-06-18,2350,2350,2350,2350,0
2007-06-19,2350,2350,2350,2350,0
2007-06-20,2350,2350,2350,2350,0
2007-06-21,2310,2310,2310,2310,0
2007-06-25,2310,2310,2310,2310,0
2007-06-25,2285,2285,2285,2285,0
2007-06-26,2285,2285,2285,2285,0
2007-06-27,2285,2285,2285,2285,0
2007-06-28,2285,2285,2285,2285,0
2007-07-02,2285,2285,2285,2285,0
2007-07-02,2358,2358,2358,2358,0
2007-07-03,2358,2358,2358,2358,0
2007-07-04,2300,2350,2300,2350,0
2007-07-05,2364,2364,2364,2364,0
2007-07-09,2350,2350,2350,2350,0
2007-07-09,2350,2350,2350,2350,0
2007-07-10,2350,2396,2350,2396,0
2007-07-11,2401,2401,2401,2401,0
2007-07-12,2401,2401,2401,2401,0
2007-07-16,2369,2369,2369,2369,0
2007-07-17,2368,2368,2368,2368,0
2007-07-18,2340,2340,2290,2290,0
2007-07-19,2332,2332,2332,2332,0
2007-07-23,2280,2300,2270,2300,0
2007-07-23,2300,2320,2300,2320,0
2007-07-24,2320,2320,2320,2320,0
2007-07-25,2270,2325,2270,2325,0
