Timestamp (UTC),Open,High,Low,Close,FCPO Jun10: Volume
2009-12-15,2590,2590,2590,2590,0
2009-12-16,2610,2617,2610,2617,0
2009-12-21,2560,2578,2560,2563,0
2009-12-21,2525,2533,2523,2523,0
2009-12-22,2510,2520,2503,2503,0
2009-12-23,2530,2557,2530,2557,0
2009-12-28,2600,2613,2598,2613,0
2009-12-28,2629,2629,2597,2599,0
2009-12-29,2610,2610,2597,2597,0
2009-12-30,2620,2660,2620,2656,0
2010-01-04,2700,2706,2700,2700,0
2010-01-04,2715,2715,2699,2699,0
2010-01-05,2720,2720,2715,2715,0
2010-01-06,2665,2670,2657,2659,0
2010-01-07,2625,2651,2615,2651,0
2010-01-11,2615,2615,2605,2605,0
2010-01-11,2575,2584,2575,2577,0
2010-01-12,2530,2541,2512,2531,0
2010-01-13,2531,2546,2531,2546,0
2010-01-14,2520,2520,2491,2497,0
2010-01-18,2462,2495,2460,2495,0
2010-01-18,2490,2515,2490,2500,0
2010-01-19,2460,2463,2447,2447,0
2010-01-20,2425,2490,2425,2486,0
2010-01-21,2480,2480,2440,2448,0
2010-01-25,2480,2480,2466,2466,0
2010-01-25,2460,2460,2407,2407,0
2010-01-26,2428,2428,2410,2426,0
2010-01-27,2432,2462,2432,2440,0
2010-01-28,2430,2430,2430,2430,0
2010-02-01,2450,2460,2427,2438,0
2010-02-02,2478,2500,2477,2500,0
2010-02-03,2500,2514,2495,2505,0
2010-02-04,2500,2520,2498,2514,0
2010-02-08,2547,2552,2535,2535,0
2010-02-08,2545,2551,2539,2545,0
2010-02-09,2550,2600,2545,2551,0
2010-02-10,2565,2588,2565,2568,0
2010-02-11,2560,2566,2555,2566,0
2010-02-16,2607,2622,2604,2615,0
2010-02-17,2610,2610,2600,2600,0
2010-02-18,2588,2598,2571,2590,0
2010-02-22,2622,2627,2612,2623,0
2010-02-22,2632,2652,2615,2627,0
2010-02-23,2616,2622,2580,2580,0
2010-02-24,2599,2604,2572,2579,0
2010-03-01,2608,2626,2607,2617,0
2010-03-01,2614,2614,2585,2597,0
2010-03-02,2612,2626,2606,2620,0
2010-03-03,2587,2670,2587,2662,0
2010-03-04,2654,2683,2650,2664,0
2010-03-08,2665,2706,2662,2703,0
2010-03-08,2695,2700,2635,2635,0
2010-03-09,2659,2700,2640,2670,0
2010-03-10,2690,2690,2635,2642,0
2010-03-11,2620,2632,2601,2631,0
2010-03-15,2612,2615,2575,2575,0
2010-03-15,2576,2586,2546,2569,0
2010-03-16,2576,2600,2576,2595,0
2010-03-17,2583,2587,2528,2535,0
2010-03-18,2542,2580,2536,2577,0
2010-03-22,2570,2594,2554,2570,0
2010-03-22,2589,2597,2571,2591,0
2010-03-23,2585,2595,2549,2560,0
2010-03-24,2556,2579,2551,2575,0
2010-03-25,2551,2565,2534,2534,0
2010-03-29,2542,2557,2510,2520,0
2010-03-29,2521,2548,2501,2545,0
2010-03-30,2533,2561,2529,2556,0
2010-03-31,2540,2549,2532,2543,0
2010-04-01,2560,2569,2550,2559,0
2010-04-05,2570,2588,2530,2530,0
2010-04-05,2528,2536,2498,2520,0
2010-04-06,2540,2545,2530,2539,0
2010-04-07,2546,2555,2500,2500,0
2010-04-08,2500,2594,2500,2594,0
2010-04-12,2550,2557,2522,2535,0
2010-04-12,2520,2540,2511,2531,0
2010-04-13,2543,2546,2518,2528,0
2010-04-14,2519,2529,2514,2520,0
2010-04-15,2512,2533,2512,2528,0
2010-04-19,2501,2508,2472,2478,0
2010-04-19,2481,2508,2471,2508,0
2010-04-20,2501,2508,2483,2483,0
2010-04-21,2480,2505,2478,2501,0
2010-04-22,2505,2552,2505,2552,0
2010-04-26,2550,2577,2550,2568,0
2010-04-26,2553,2588,2545,2562,0
2010-04-27,2550,2562,2540,2559,0
2010-04-28,2551,2551,2533,2545,0
2010-04-29,2556,2567,2541,2541,0
2010-05-03,2555,2575,2555,2563,0
2010-05-03,2557,2558,2524,2524,0
2010-05-04,2510,2553,2500,2546,0
2010-05-05,2522,2555,2522,2536,0
2010-05-06,2502,2542,2499,2534,0
2010-05-10,2534,2555,2525,2550,0
2010-05-10,2535,2540,2514,2518,0
2010-05-11,2526,2531,2517,2521,0
2010-05-12,2507,2510,2483,2486,0
2010-05-13,2476,2490,2470,2470,0
2010-05-17,2437,2451,2430,2446,0
2010-05-17,2449,2474,2443,2470,0
2010-05-18,2464,2472,2443,2472,0
2010-05-19,2476,2513,2475,2493,0
2010-05-20,2492,2537,2492,2531,0
2010-05-24,2536,2545,2530,2530,0
2010-05-24,2530,2539,2505,2505,0
2010-05-25,2505,2544,2505,2517,0
2010-05-26,2535,2535,2519,2519,0
2010-05-31,2512,2517,2499,2499,0
2010-05-31,2524,2536,2515,2533,0
2010-06-01,2540,2551,2530,2535,0
2010-06-02,2545,2549,2538,2538,0
2010-06-03,2556,2562,2555,2560,0
2010-06-07,2541,2544,2538,2541,0
2010-06-07,2543,2545,2535,2536,0
2010-06-08,2525,2535,2506,2524,0
2010-06-09,2529,2535,2521,2525,0
2010-06-10,2549,2560,2540,2550,0
2010-06-14,2550,2550,2549,2549,0
2010-06-14,2548,2548,2548,2548,0
