Timestamp (UTC),Open,High,Low,Close,FCPO Nov10: Volume
2008-11-17,1553,1553,1553,1553,0
2008-11-19,1601,1601,1601,1601,0
2008-11-20,1567,1567,1567,1567,0
2008-11-24,1606,1606,1606,1606,0
2008-11-24,1630,1630,1630,1630,0
2008-11-25,1730,1730,1730,1730,0
2008-11-26,1775,1775,1775,1775,0
2008-11-27,1765,1765,1765,1765,0
2008-12-01,1761,1761,1761,1761,0
2008-12-01,1740,1740,1740,1740,0
2008-12-02,1640,1640,1640,1640,0
2008-12-03,1553,1553,1553,1553,0
2008-12-04,1590,1590,1590,1590,0
2008-12-09,1725,1725,1725,1725,0
2008-12-10,1753,1753,1753,1753,0
2008-12-11,1705,1705,1705,1705,0
2008-12-15,1680,1680,1680,1680,0
2008-12-15,1630,1630,1630,1630,0
2008-12-16,1680,1680,1680,1680,0
2008-12-17,1645,1645,1645,1645,0
2008-12-18,1630,1630,1630,1630,0
2008-12-22,1670,1670,1670,1670,0
2008-12-22,1620,1620,1620,1620,0
2008-12-23,1650,1650,1650,1650,0
2008-12-25,1670,1670,1670,1670,0
2008-12-29,1740,1740,1740,1740,0
2008-12-30,1785,1785,1785,1785,0
2009-01-01,1822,1822,1822,1822,0
2009-01-05,1900,1900,1900,1900,0
2009-01-05,2015,2015,2015,2015,0
2009-01-06,2021,2021,2021,2021,0
2009-01-07,1905,1905,1905,1905,0
2009-01-08,1940,1940,1940,1940,0
2009-01-12,2019,2019,2019,2019,0
2009-01-12,1898,1898,1898,1898,0
2009-01-13,1908,1908,1908,1908,0
2009-01-14,1850,1850,1850,1850,0
2009-01-15,1797,1846,1797,1846,0
2009-01-19,1864,1864,1864,1864,0
2009-01-19,1857,1857,1857,1857,0
2009-01-20,1828,1828,1828,1828,0
2009-01-21,1882,1882,1882,1882,0
2009-01-22,1853,1853,1853,1853,0
2009-01-27,1803,1803,1803,1803,0
2009-01-28,1775,1775,1775,1775,0
2009-01-29,1812,1812,1812,1812,0
2009-02-02,1817,1817,1817,1817,0
2009-02-03,1832,1832,1832,1832,0
