Timestamp (UTC),Open,High,Low,Close,FCPO Aug11: Volume
2011-02-15,3670,3671,3596,3596,0
2011-02-16,3544,3556,3499,3556,0
2011-02-17,3592,3592,3495,3506,0
2011-02-21,3475,3497,3475,3491,0
2011-02-21,3474,3544,3474,3530,0
2011-02-22,3382,3426,3374,3418,0
2011-02-23,3438,3442,3302,3376,0
2011-02-24,3425,3460,3410,3436,0
2011-02-28,3477,3478,3390,3404,0
2011-02-28,3416,3480,3416,3473,0
2011-03-01,3467,3549,3437,3510,0
2011-03-02,3560,3561,3512,3520,0
2011-03-03,3550,3580,3530,3577,0
2011-03-07,3599,3616,3586,3616,0
2011-03-07,3574,3576,3517,3517,0
2011-03-08,3534,3534,3501,3521,0
2011-03-09,3429,3429,3390,3390,0
2011-03-10,3410,3415,3309,3309,0
2011-03-14,3285,3309,3265,3291,0
2011-03-14,3260,3360,3245,3348,0
2011-03-15,3295,3325,3290,3316,0
2011-03-16,3300,3320,3285,3308,0
2011-03-17,3351,3408,3350,3408,0
2011-03-21,3412,3430,3383,3383,0
2011-03-21,3348,3358,3258,3273,0
2011-03-22,3326,3338,3285,3285,0
2011-03-23,3240,3255,3153,3255,0
2011-03-24,3283,3305,3201,3240,0
2011-03-28,3276,3283,3240,3265,0
2011-03-28,3225,3261,3210,3234,0
2011-03-29,3267,3298,3257,3285,0
2011-03-30,3298,3313,3279,3300,0
2011-03-31,3350,3355,3320,3324,0
2011-04-04,3336,3373,3336,3370,0
2011-04-04,3375,3380,3325,3360,0
2011-04-05,3350,3373,3350,3368,0
2011-04-06,3335,3345,3303,3329,0
2011-04-07,3317,3385,3309,3385,0
2011-04-11,3429,3440,3365,3395,0
2011-04-11,3347,3376,3338,3359,0
2011-04-12,3319,3338,3295,3316,0
2011-04-13,3321,3347,3270,3270,0
2011-04-14,3292,3292,3219,3225,0
2011-04-18,3240,3264,3220,3245,0
2011-04-18,3249,3252,3210,3250,0
2011-04-19,3260,3325,3259,3325,0
2011-04-20,3303,3322,3296,3310,0
2011-04-21,3311,3365,3311,3361,0
2011-04-25,3363,3373,3335,3351,0
2011-04-25,3300,3328,3282,3320,0
2011-04-26,3306,3316,3263,3263,0
2011-04-27,3281,3307,3273,3280,0
2011-04-28,3233,3260,3222,3256,0
2011-05-02,3273,3290,3257,3257,0
2011-05-03,3217,3256,3215,3255,0
2011-05-04,3254,3276,3218,3225,0
2011-05-05,3162,3187,3133,3187,0
2011-05-09,3187,3227,3176,3220,0
2011-05-09,3230,3253,3219,3228,0
2011-05-10,3238,3250,3230,3248,0
2011-05-11,3228,3249,3193,3205,0
2011-05-12,3215,3262,3207,3249,0
2011-05-16,3243,3275,3228,3255,0
2011-05-17,3290,3305,3287,3297,0
2011-05-18,3340,3367,3315,3360,0
2011-05-19,3365,3407,3344,3390,0
2011-05-23,3406,3407,3348,3355,0
2011-05-23,3372,3388,3365,3380,0
2011-05-24,3377,3428,3352,3416,0
2011-05-25,3423,3447,3405,3416,0
2011-05-26,3440,3454,3424,3438,0
2011-05-30,3445,3464,3408,3408,0
2011-05-30,3408,3437,3383,3393,0
2011-05-31,3382,3407,3358,3360,0
2011-06-01,3361,3405,3350,3403,0
2011-06-02,3418,3465,3418,3421,0
2011-06-06,3420,3440,3385,3388,0
2011-06-06,3380,3385,3343,3354,0
2011-06-07,3333,3350,3313,3316,0
2011-06-08,3340,3355,3213,3287,0
2011-06-09,3268,3290,3231,3239,0
2011-06-13,3224,3264,3199,3260,0
2011-06-13,3258,3277,3238,3253,0
2011-06-14,3256,3285,3244,3268,0
2011-06-15,3255,3267,3200,3200,0
2011-06-16,3208,3226,3178,3205,0
2011-06-20,3221,3231,3201,3205,0
2011-06-20,3224,3240,3215,3240,0
2011-06-21,3229,3247,3190,3190,0
2011-06-22,3154,3189,3143,3154,0
2011-06-23,3150,3153,3111,3116,0
2011-06-27,3100,3106,3049,3050,0
2011-06-27,3090,3090,3052,3070,0
2011-06-28,3096,3122,3096,3118,0
2011-06-29,3134,3141,3075,3085,0
2011-06-30,3054,3073,3048,3052,0
2011-07-04,3090,3098,3061,3061,0
2011-07-04,3059,3070,3037,3050,0
2011-07-05,3035,3057,3029,3038,0
2011-07-06,3044,3072,3044,3067,0
2011-07-07,3105,3115,3077,3085,0
2011-07-11,3110,3110,3064,3078,0
2011-07-11,3068,3068,3044,3044,0
2011-07-12,3075,3102,3067,3092,0
2011-07-13,3121,3147,3115,3145,0
2011-07-14,3136,3140,3121,3121,0
2011-07-18,3141,3152,3085,3090,0
2011-07-18,3106,3125,3080,3125,0
2011-07-19,3102,3157,3102,3157,0
2011-07-20,3160,3165,3130,3133,0
2011-07-21,3125,3151,3125,3138,0
2011-07-25,3116,3116,3085,3097,0
2011-07-25,3094,3120,3075,3117,0
2011-07-26,3130,3132,3127,3130,0
2011-07-27,3099,3130,3095,3119,0
2011-07-28,3110,3120,3095,3110,0
2011-08-01,3131,3151,3130,3141,0
2011-08-01,3141,3150,3137,3140,0
2011-08-02,3160,3180,3160,3175,0
2011-08-03,3182,3182,3170,3170,0
2011-08-04,3130,3140,3128,3128,0
2011-08-08,3133,3133,3120,3120,0
2011-08-08,3060,3130,3060,3095,0
2011-08-09,3145,3145,3085,3105,0
2011-08-10,3110,3115,3085,3100,0
2011-08-11,3100,3103,3100,3100,0
2011-08-15,3110,3110,3110,3110,0
