Timestamp (UTC),Open,High,Low,Close,FCPO Oct14: Volume
2014-04-15,2645,2670,2645,2668,0
2014-04-16,2675,2679,2628,2634,0
2014-04-17,2635,2635,2616,2626,0
2014-04-21,2618,2632,2603,2632,0
2014-04-21,2647,2672,2647,2666,0
2014-04-22,2648,2649,2631,2632,0
2014-04-23,2629,2643,2627,2635,0
2014-04-24,2661,2661,2644,2645,0
2014-04-28,2657,2662,2653,2660,0
2014-04-28,2645,2647,2627,2627,0
2014-04-29,2626,2634,2603,2611,0
2014-05-01,2558,2581,2550,2574,0
2014-05-05,2576,2585,2554,2562,0
2014-05-05,2560,2560,2543,2552,0
2014-05-06,2560,2569,2550,2564,0
2014-05-07,2555,2566,2537,2548,0
2014-05-08,2557,2576,2536,2560,0
2014-05-12,2559,2566,2550,2564,0
2014-05-13,2575,2588,2570,2584,0
2014-05-14,2590,2603,2589,2601,0
2014-05-15,2583,2593,2566,2570,0
2014-05-19,2555,2566,2531,2531,0
2014-05-19,2540,2541,2511,2519,0
2014-05-20,2510,2520,2493,2502,0
2014-05-21,2519,2526,2498,2519,0
2014-05-22,2525,2532,2508,2514,0
2014-05-26,2509,2512,2486,2509,0
2014-05-26,2514,2514,2491,2508,0
2014-05-27,2506,2527,2497,2501,0
2014-05-28,2493,2495,2460,2461,0
2014-05-29,2460,2464,2419,2422,0
2014-06-02,2417,2419,2392,2417,0
2014-06-02,2410,2428,2374,2383,0
2014-06-03,2400,2433,2394,2433,0
2014-06-04,2447,2447,2403,2416,0
2014-06-05,2404,2418,2395,2416,0
2014-06-09,2423,2423,2394,2411,0
2014-06-09,2413,2415,2380,2388,0
2014-06-10,2381,2384,2368,2379,0
2014-06-11,2366,2401,2363,2379,0
2014-06-12,2404,2445,2404,2426,0
2014-06-16,2438,2446,2421,2428,0
2014-06-16,2420,2453,2414,2436,0
2014-06-17,2448,2471,2445,2465,0
2014-06-18,2464,2474,2439,2443,0
2014-06-19,2468,2470,2431,2439,0
2014-06-23,2452,2485,2452,2480,0
2014-06-23,2471,2489,2464,2482,0
2014-06-24,2492,2510,2480,2481,0
2014-06-25,2483,2500,2468,2469,0
2014-06-26,2474,2474,2434,2445,0
2014-06-30,2433,2441,2421,2426,0
2014-06-30,2397,2421,2384,2416,0
2014-07-01,2412,2434,2405,2425,0
2014-07-02,2416,2423,2409,2421,0
2014-07-03,2420,2427,2394,2397,0
2014-07-07,2397,2418,2394,2407,0
2014-07-07,2401,2411,2374,2375,0
2014-07-08,2366,2369,2348,2358,0
2014-07-09,2357,2380,2334,2366,0
2014-07-10,2373,2376,2330,2331,0
2014-07-14,2313,2315,2279,2284,0
2014-07-15,2300,2315,2288,2307,0
2014-07-16,2299,2320,2285,2293,0
2014-07-17,2280,2312,2280,2309,0
2014-07-21,2297,2304,2288,2296,0
2014-07-21,2290,2293,2272,2279,0
2014-07-22,2278,2278,2247,2255,0
2014-07-23,2270,2285,2261,2281,0
2014-07-24,2282,2294,2262,2265,0
2014-07-29,2282,2289,2254,2265,0
2014-07-30,2272,2279,2246,2257,0
2014-07-31,2263,2287,2261,2284,0
2014-08-04,2261,2270,2253,2267,0
2014-08-04,2278,2280,2248,2254,0
2014-08-05,2253,2262,2239,2247,0
2014-08-06,2256,2263,2247,2254,0
2014-08-07,2256,2268,2231,2233,0
2014-08-11,2237,2240,2174,2177,0
2014-08-11,2172,2196,2162,2187,0
2014-08-12,2189,2201,2163,2176,0
2014-08-13,2148,2150,2115,2133,0
2014-08-14,2118,2140,2085,2093,0
2014-08-18,2090,2100,2084,2087,0
2014-08-18,2091,2097,2063,2065,0
2014-08-19,2069,2071,2038,2042,0
2014-08-20,2057,2062,2030,2036,0
2014-08-21,2040,2042,1985,1993,0
2014-08-25,1995,2046,1951,2030,0
2014-08-25,2026,2026,1983,2007,0
2014-08-26,2026,2048,1972,1974,0
2014-08-27,1972,1997,1967,1976,0
2014-08-28,1980,1980,1927,1929,0
2014-09-01,1923,1962,1914,1949,0
2014-09-02,1945,1988,1943,1982,0
2014-09-03,1984,2034,1971,2033,0
2014-09-04,2041,2049,2007,2039,0
2014-09-08,2055,2077,2037,2052,0
2014-09-08,2054,2054,2019,2045,0
2014-09-09,2033,2045,2012,2044,0
2014-09-10,2058,2086,2016,2085,0
2014-09-11,2103,2103,2070,2097,0
2014-09-15,2108,2130,2098,2121,0
2014-09-16,2120,2160,2110,2156,0
2014-09-17,2171,2189,2160,2170,0
2014-09-18,2154,2157,2130,2136,0
2014-09-22,2119,2123,2093,2123,0
2014-09-22,2125,2155,2125,2152,0
2014-09-23,2156,2180,2149,2178,0
2014-09-24,2180,2211,2180,2205,0
2014-09-25,2200,2205,2189,2189,0
2014-09-29,2182,2206,2178,2202,0
2014-09-29,2223,2237,2223,2232,0
2014-09-30,2257,2257,2210,2210,0
2014-10-01,2213,2224,2095,2165,0
2014-10-02,2165,2195,2150,2187,0
2014-10-06,2210,2211,2202,2202,0
2014-10-07,2225,2225,2220,2220,0
2014-10-08,2208,2249,2208,2220,0
2014-10-09,2209,2209,2209,2209,0
2014-10-13,2187,2187,2187,2187,0
2014-10-13,2193,2193,2193,2193,0
2014-10-14,2178,2178,2178,2178,0
