Timestamp (UTC),Open,High,Low,Close,FCPO Feb17: Volume
2016-08-15,2515,2520,2500,2503,0
2016-08-16,2535,2586,2505,2576,0
2016-08-17,2561,2563,2500,2520,0
2016-08-18,2534,2557,2527,2528,0
2016-08-22,2543,2544,2495,2503,0
2016-08-22,2499,2530,2499,2530,0
2016-08-23,2543,2570,2540,2556,0
2016-08-24,2512,2525,2497,2513,0
2016-08-25,2477,2510,2475,2502,0
2016-08-29,2508,2515,2470,2476,0
2016-08-29,2483,2499,2475,2480,0
2016-08-31,2457,2485,2453,2485,0
2016-09-01,2510,2551,2507,2550,0
2016-09-05,2558,2584,2558,2581,0
2016-09-05,2588,2592,2569,2570,0
2016-09-06,2563,2563,2543,2545,0
2016-09-07,2549,2559,2536,2552,0
2016-09-08,2573,2601,2567,2584,0
2016-09-12,2569,2593,2545,2546,0
2016-09-13,2529,2533,2507,2529,0
2016-09-14,2520,2568,2520,2559,0
2016-09-19,2564,2637,2564,2623,0
2016-09-19,2653,2693,2653,2665,0
2016-09-20,2686,2691,2647,2649,0
2016-09-21,2670,2683,2622,2681,0
2016-09-22,2669,2676,2635,2639,0
2016-09-26,2665,2688,2650,2671,0
2016-09-26,2652,2660,2610,2623,0
2016-09-27,2628,2628,2567,2580,0
2016-09-28,2595,2608,2558,2596,0
2016-09-29,2589,2620,2582,2618,0
2016-10-03,2588,2598,2559,2582,0
2016-10-04,2591,2591,2548,2549,0
2016-10-05,2545,2580,2532,2580,0
2016-10-06,2609,2609,2575,2577,0
2016-10-10,2581,2589,2551,2553,0
2016-10-10,2575,2621,2575,2620,0
2016-10-11,2615,2662,2612,2655,0
2016-10-12,2653,2660,2620,2631,0
2016-10-13,2637,2683,2622,2657,0
2016-10-17,2735,2775,2729,2768,0
2016-10-17,2785,2798,2712,2714,0
2016-10-18,2725,2750,2708,2731,0
2016-10-19,2741,2752,2697,2715,0
2016-10-20,2699,2731,2690,2721,0
2016-10-24,2735,2823,2728,2817,0
2016-10-24,2808,2819,2752,2757,0
2016-10-25,2771,2803,2764,2794,0
2016-10-26,2798,2817,2765,2783,0
2016-10-27,2777,2803,2765,2785,0
2016-10-31,2777,2783,2754,2760,0
2016-10-31,2776,2789,2727,2729,0
2016-11-01,2715,2758,2709,2755,0
2016-11-02,2746,2766,2732,2764,0
2016-11-03,2753,2766,2729,2731,0
2016-11-07,2743,2788,2743,2783,0
2016-11-07,2770,2856,2760,2837,0
2016-11-08,2810,2850,2797,2837,0
2016-11-09,2810,2889,2803,2881,0
2016-11-10,3000,3066,2954,2961,0
2016-11-14,2909,2909,2816,2838,0
2016-11-14,2860,2885,2803,2812,0
2016-11-15,2838,2885,2832,2855,0
2016-11-16,2851,2907,2847,2876,0
2016-11-17,2856,2876,2843,2869,0
2016-11-21,2908,2931,2897,2919,0
2016-11-21,2919,2944,2919,2928,0
2016-11-22,2934,2961,2933,2954,0
2016-11-23,3090,3098,2983,3004,0
2016-11-24,2998,3046,2991,3032,0
2016-11-28,3047,3079,3032,3077,0
2016-11-28,3061,3072,3032,3050,0
2016-11-29,3067,3083,3017,3073,0
2016-11-30,3075,3091,3046,3079,0
2016-12-01,3106,3106,3069,3076,0
2016-12-05,3081,3148,3076,3135,0
2016-12-05,3118,3185,3105,3183,0
2016-12-06,3165,3188,3138,3142,0
2016-12-07,3112,3129,3108,3113,0
2016-12-08,3078,3106,3056,3069,0
2016-12-12,3073,3102,3051,3098,0
2016-12-13,3082,3141,3079,3125,0
2016-12-14,3135,3193,3131,3185,0
2016-12-15,3218,3218,3166,3176,0
2016-12-19,3200,3215,3152,3154,0
2016-12-19,3125,3133,3099,3100,0
2016-12-20,3097,3141,3090,3126,0
2016-12-21,3108,3137,3085,3088,0
2016-12-22,3036,3082,3034,3078,0
2016-12-26,3079,3166,3079,3162,0
2016-12-27,3170,3194,3162,3171,0
2016-12-28,3162,3169,3133,3151,0
2016-12-29,3135,3165,3135,3156,0
2017-01-02,3180,3227,3180,3211,0
2017-01-03,3190,3200,3185,3189,0
2017-01-04,3210,3210,3134,3137,0
2017-01-05,3142,3142,3069,3130,0
2017-01-09,3131,3180,3130,3172,0
2017-01-09,3176,3202,3130,3140,0
2017-01-10,3155,3197,3153,3192,0
2017-01-11,3180,3187,3161,3177,0
2017-01-12,3198,3210,3173,3182,0
2017-01-16,3190,3208,3185,3207,0
2017-01-16,3220,3255,3218,3255,0
2017-01-17,3233,3268,3230,3243,0
2017-01-18,3254,3254,3231,3241,0
2017-01-19,3249,3252,3227,3234,0
2017-01-23,3230,3241,3224,3231,0
2017-01-23,3320,3320,3247,3278,0
2017-01-24,3265,3275,3242,3256,0
2017-01-25,3260,3265,3236,3238,0
2017-01-26,3220,3255,3216,3243,0
2017-01-30,3230,3235,3205,3230,0
2017-02-01,3230,3267,3230,3258,0
2017-02-02,3238,3260,3236,3250,0
2017-02-06,3229,3265,3229,3262,0
2017-02-06,3280,3286,3265,3278,0
2017-02-07,3295,3310,3293,3301,0
2017-02-09,3310,3335,3265,3268,0
2017-02-13,3300,3300,3250,3250,0
2017-02-13,3259,3289,3259,3282,0
2017-02-14,3306,3306,3306,3306,0
