Timestamp (UTC),Open,High,Low,Close,FCPO Sep17: Volume
2015-09-14,2306,2306,2306,2306,0
2015-09-16,2244,2244,2244,2244,0
2015-09-17,2213,2213,2213,2213,0
2015-09-21,2257,2257,2257,2257,0
2015-09-21,2288,2288,2288,2288,0
2015-09-22,2344,2344,2344,2344,0
2015-09-24,2441,2441,2441,2441,0
2015-09-28,2482,2482,2482,2482,0
2015-09-28,2500,2500,2500,2500,0
2015-09-29,2440,2440,2440,2440,0
2015-09-30,2469,2469,2469,2469,0
2015-10-01,2455,2465,2455,2465,0
2015-10-05,2489,2489,2489,2489,0
2015-10-05,2455,2455,2455,2455,0
2015-10-06,2441,2441,2403,2403,0
2015-10-07,2370,2370,2370,2370,0
2015-10-08,2311,2311,2311,2311,0
2015-10-12,2345,2345,2345,2345,0
2015-10-12,2402,2402,2402,2402,0
2015-10-14,2378,2378,2378,2378,0
2015-10-15,2363,2363,2363,2363,0
2015-10-19,2337,2337,2337,2337,0
2015-10-19,2392,2392,2392,2392,0
2015-10-20,2435,2435,2435,2435,0
2015-10-21,2436,2436,2436,2436,0
2015-10-22,2394,2394,2394,2394,0
2015-10-26,2358,2358,2358,2358,0
2015-10-26,2395,2395,2395,2395,0
2015-10-27,2411,2411,2411,2411,0
2015-10-28,2430,2430,2430,2430,0
2015-10-29,2435,2435,2435,2435,0
2015-11-02,2427,2427,2427,2427,0
2015-11-02,2410,2410,2406,2406,0
2015-11-03,2438,2438,2438,2438,0
2015-11-04,2451,2451,2451,2451,0
2015-11-05,2446,2446,2446,2446,0
2015-11-09,2484,2484,2484,2484,0
2015-11-10,2442,2442,2442,2442,0
2015-11-11,2454,2454,2454,2454,0
2015-11-12,2426,2426,2426,2426,0
2015-11-16,2399,2399,2399,2399,0
2015-11-16,2390,2390,2390,2390,0
2015-11-17,2424,2424,2424,2424,0
2015-11-18,2393,2393,2393,2393,0
2015-11-19,2381,2381,2365,2374,0
2015-11-23,2377,2377,2377,2377,0
2015-11-23,2392,2392,2374,2374,0
2015-11-24,2388,2388,2388,2388,0
2015-11-25,2405,2405,2405,2405,0
2015-11-26,2418,2418,2418,2418,0
2015-11-30,2418,2418,2418,2418,0
2015-11-30,2415,2415,2415,2415,0
2015-12-01,2428,2428,2428,2428,0
2015-12-02,2449,2449,2449,2449,0
2015-12-03,2449,2449,2449,2449,0
2015-12-07,2485,2485,2485,2485,0
2015-12-07,2463,2463,2463,2463,0
2015-12-08,2476,2476,2476,2476,0
2015-12-09,2483,2483,2483,2483,0
2015-12-10,2535,2535,2535,2535,0
2015-12-14,2513,2520,2508,2520,0
2015-12-14,2477,2477,2477,2477,0
2015-12-15,2452,2452,2452,2452,0
2015-12-16,2452,2452,2452,2452,0
2015-12-17,2463,2463,2463,2463,0
2015-12-21,2504,2504,2504,2504,0
2015-12-21,2530,2530,2530,2530,0
2015-12-22,2562,2562,2562,2562,0
2015-12-28,2532,2532,2532,2532,0
2015-12-28,2540,2540,2540,2540,0
2015-12-29,2553,2553,2553,2553,0
2015-12-30,2561,2561,2561,2561,0
2016-01-04,2519,2519,2519,2519,0
2016-01-04,2532,2532,2532,2532,0
2016-01-05,2525,2535,2525,2535,0
2016-01-06,2513,2513,2513,2513,0
2016-01-07,2523,2523,2523,2523,0
2016-01-11,2486,2486,2486,2486,0
2016-01-11,2482,2482,2482,2482,0
2016-01-12,2502,2502,2502,2502,0
2016-01-13,2471,2471,2471,2471,0
2016-01-14,2474,2474,2474,2474,0
2016-01-18,2481,2481,2481,2481,0
2016-01-18,2480,2480,2480,2480,0
2016-01-19,2464,2464,2454,2454,0
2016-01-20,2422,2422,2422,2422,0
2016-01-21,2450,2450,2450,2450,0
2016-01-25,2458,2458,2458,2458,0
2016-01-26,2469,2469,2469,2469,0
2016-01-27,2437,2437,2437,2437,0
2016-01-28,2395,2395,2395,2395,0
2016-02-01,2459,2459,2459,2459,0
2016-02-02,2470,2480,2470,2480,0
2016-02-03,2455,2455,2455,2455,0
2016-02-04,2480,2487,2475,2487,0
2016-02-09,2471,2471,2471,2471,0
2016-02-10,2485,2485,2485,2485,0
2016-02-11,2510,2516,2510,2516,0
2016-02-15,2468,2468,2468,2468,0
2016-02-15,2478,2478,2478,2478,0
2016-02-16,2495,2495,2495,2495,0
2016-02-17,2476,2476,2476,2476,0
2016-02-18,2454,2454,2454,2454,0
2016-02-22,2456,2456,2456,2456,0
2016-02-22,2457,2457,2457,2457,0
2016-02-23,2440,2440,2440,2440,0
2016-02-24,2453,2453,2453,2453,0
2016-02-25,2467,2467,2467,2467,0
2016-02-29,2480,2480,2480,2480,0
2016-02-29,2461,2461,2461,2461,0
2016-03-01,2437,2440,2429,2429,0
2016-03-02,2434,2434,2434,2434,0
2016-03-03,2427,2427,2427,2427,0
2016-03-07,2433,2433,2433,2433,0
2016-03-07,2429,2429,2429,2429,0
2016-03-08,2453,2453,2453,2453,0
2016-03-09,2434,2434,2434,2434,0
2016-03-10,2480,2486,2480,2486,0
2016-03-14,2480,2480,2480,2480,0
2016-03-14,2502,2502,2502,2502,0
2016-03-15,2516,2516,2516,2516,0
2016-03-16,2549,2549,2546,2546,0
2016-03-17,2568,2569,2568,2569,0
2016-03-21,2595,2597,2594,2594,0
2016-03-21,2613,2613,2613,2613,0
2016-03-22,2611,2611,2610,2610,0
2016-03-23,2576,2605,2562,2605,0
2016-03-24,2633,2633,2633,2633,0
2016-03-28,2651,2651,2651,2651,0
2016-03-28,2658,2658,2658,2658,0
2016-03-29,2725,2725,2601,2601,0
2016-03-30,2572,2572,2572,2572,0
2016-03-31,2585,2585,2585,2585,0
2016-04-04,2618,2618,2618,2618,0
2016-04-04,2605,2605,2605,2605,0
2016-04-05,2565,2565,2565,2565,0
2016-04-06,2557,2557,2557,2557,0
2016-04-07,2553,2553,2553,2553,0
2016-04-11,2557,2557,2557,2557,0
2016-04-11,2542,2544,2537,2537,0
2016-04-12,2570,2570,2570,2570,0
2016-04-13,2580,2580,2568,2568,0
2016-04-14,2577,2577,2577,2577,0
2016-04-18,2596,2606,2596,2606,0
2016-04-18,2621,2621,2621,2621,0
2016-04-19,2643,2643,2643,2643,0
2016-04-20,2666,2666,2666,2666,0
2016-04-21,2631,2631,2631,2631,0
2016-04-25,2617,2617,2617,2617,0
2016-04-25,2632,2632,2632,2632,0
2016-04-26,2602,2602,2589,2593,0
2016-04-27,2561,2561,2561,2561,0
2016-04-28,2557,2557,2557,2557,0
