Timestamp (UTC),Open,High,Low,Close,FCPO Jul18: Volume
2016-08-01,2373,2374,2373,2374,2
2016-08-02,2377,2379,2377,2378,26
2016-08-03,2393,2430,2390,2430,53
2016-08-15,2537,2540,2530,2530,4
2016-08-16,2509,2509,2509,2509,1
2016-08-30,2474,2474,2474,2474,2
2016-09-09,2570,2590,2570,2590,45
2016-09-15,2530,2547,2530,2547,10
2016-09-22,2600,2600,2600,2600,40
2016-09-26,2575,2575,2575,2575,3
2016-09-28,2575,2578,2546,2546,39
2016-09-29,2545,2560,2542,2558,59
2016-09-30,2570,2600,2568,2600,218
2016-10-04,2558,2583,2556,2581,288
2016-10-05,2580,2580,2565,2570,182
2016-10-06,2560,2590,2557,2588,139
2016-10-07,2610,2616,2596,2596,48
2016-10-10,2596,2609,2573,2573,76
2016-10-11,2598,2622,2598,2620,21
2016-10-12,2629,2657,2622,2654,188
2016-10-13,2660,2660,2660,2660,10
2016-10-14,2650,2650,2650,2650,40
2016-10-17,2700,2764,2700,2764,83
2016-10-18,2735,2735,2713,2713,8
2016-10-20,2700,2700,2700,2700,50
2016-10-24,2725,2780,2725,2780,15
2016-10-25,2744,2744,2744,2744,1
2016-10-26,2772,2772,2772,2772,1
2016-10-28,2767,2767,2767,2767,5
2016-10-31,2753,2753,2750,2750,2
2016-11-01,2710,2717,2700,2705,71
2016-11-02,2700,2728,2700,2728,14
2016-11-07,2735,2748,2735,2744,8
2016-11-10,2800,2800,2791,2791,41
2016-11-11,2850,2911,2850,2911,81
2016-11-16,2711,2748,2711,2748,2
2016-11-18,2774,2774,2774,2774,1
2016-11-28,2920,2940,2920,2940,8
2016-11-29,2904,2918,2904,2918,77
2016-11-30,2900,2934,2900,2929,13
2016-12-01,2950,2950,2938,2938,14
2016-12-02,2935,2937,2930,2930,33
2016-12-05,2950,2950,2950,2950,9
2016-12-06,2950,2963,2950,2963,60
2016-12-07,2959,2969,2950,2950,136
2016-12-08,2929,2950,2928,2944,13
2016-12-13,2923,2923,2923,2923,1
2016-12-15,2977,2981,2977,2981,5
2016-12-22,2865,2865,2865,2865,5
2016-12-30,2860,2867,2856,2866,9
2017-01-04,2866,2867,2865,2867,3
2017-01-06,2849,2849,2845,2845,5
2017-01-09,2845,2847,2845,2847,7
2017-01-10,2834,2834,2831,2831,4
2017-01-11,2870,2870,2870,2870,5
2017-01-16,2890,2890,2890,2890,1
2017-01-19,2930,2933,2930,2933,20
2017-01-20,2910,2910,2875,2875,16
