Timestamp (UTC),Open,High,Low,Close,FCPO Mar23: Volume
2021-04-20,3001,3001,3001,3001,1
2021-05-07,3155,3155,3155,3155,1
2021-05-28,3109,3109,3105,3105,61
2021-06-04,3163,3200,3146,3161,184
2021-06-08,3138,3138,3114,3117,5
2021-06-09,3126,3128,3126,3128,68
2021-06-11,3074,3074,3064,3066,9
2021-06-16,3104,3110,3104,3110,18
2021-06-18,3020,3020,3020,3020,3
2021-06-22,3125,3171,3100,3140,194
2021-06-23,3120,3145,3120,3133,79
2021-06-25,3144,3157,3141,3151,79
2021-06-28,3155,3155,3155,3155,4
2021-06-30,3215,3215,3202,3202,7
2021-07-01,3240,3240,3240,3240,1
2021-07-05,3289,3290,3280,3280,18
2021-07-06,3288,3297,3198,3198,147
2021-07-07,3213,3213,3173,3173,30
2021-07-08,3194,3194,3183,3183,26
2021-07-09,3201,3201,3198,3199,18
2021-07-12,3202,3207,3201,3203,18
2021-07-13,3194,3211,3194,3211,22
2021-07-15,3307,3307,3307,3307,27
2021-07-16,3270,3360,3270,3360,68
2021-07-19,3315,3315,3315,3315,13
2021-07-22,3287,3287,3286,3286,10
2021-07-27,3389,3393,3380,3380,13
2021-07-29,3330,3355,3321,3349,37
2021-07-30,3343,3343,3317,3323,56
2021-08-03,3249,3249,3220,3220,4
2021-08-05,3261,3266,3258,3259,12
2021-08-06,3310,3310,3310,3310,12
2021-08-09,3358,3382,3334,3336,55
2021-08-11,3420,3420,3420,3420,3
2021-08-13,3377,3377,3347,3347,24
2021-08-16,3447,3495,3447,3475,20
2021-09-06,3461,3461,3460,3460,8
2021-09-14,3406,3406,3406,3406,54
2021-09-15,3439,3461,3439,3461,41
2021-09-20,3375,3375,3330,3330,106
2021-09-21,3340,3340,3300,3300,187
2021-09-22,3350,3355,3330,3350,43
2021-09-23,3360,3360,3345,3345,154
2021-09-27,3332,3333,3330,3332,32
2021-09-28,3300,3344,3300,3344,61
2021-09-29,3350,3350,3308,3330,133
2021-09-30,3415,3462,3411,3460,170
2021-10-01,3430,3435,3425,3431,47
2021-10-04,3457,3466,3445,3450,129
2021-10-05,3500,3510,3490,3500,108
2021-10-06,3577,3577,3507,3530,189
2021-10-07,3517,3522,3515,3515,164
