Timestamp (UTC),Open,High,Low,Close,FCPO May23: Volume
2021-06-04,3180,3180,3090,3090,141
2021-06-16,3035,3035,3025,3025,103
2021-06-22,3084,3118,3026,3050,33
2021-06-23,3060,3060,3044,3044,52
2021-06-25,3052,3056,3050,3056,8
2021-06-28,3070,3070,3070,3070,3
2021-06-30,3112,3112,3112,3112,3
2021-07-05,3200,3200,3191,3191,3
2021-07-06,3200,3209,3100,3104,94
2021-07-07,3102,3123,3083,3083,20
2021-07-08,3100,3100,3090,3090,14
2021-07-09,3107,3107,3100,3100,9
2021-07-12,3110,3117,3110,3114,9
2021-07-13,3101,3114,3101,3114,14
2021-07-15,3200,3211,3200,3211,11
2021-07-16,3171,3200,3162,3200,34
2021-07-22,3194,3194,3192,3192,5
2021-07-29,3236,3255,3215,3249,18
2021-07-30,3243,3243,3211,3211,17
2021-08-03,3150,3150,3109,3109,3
2021-08-05,3160,3209,3160,3163,13
2021-08-06,3221,3221,3220,3221,6
2021-08-09,3265,3294,3235,3236,30
2021-08-13,3272,3272,3219,3219,14
2021-08-16,3347,3347,3347,3347,7
2021-09-06,3357,3357,3356,3356,8
2021-09-15,3333,3333,3333,3333,12
2021-09-21,3231,3246,3223,3223,28
2021-10-06,3429,3470,3417,3467,159
2021-10-07,3440,3456,3435,3455,81
2021-10-08,3470,3509,3470,3509,136
2021-10-11,3495,3510,3495,3510,8
2021-10-12,3524,3562,3520,3562,146
2021-10-13,3573,3610,3573,3610,54
2021-10-14,3618,3618,3618,3618,8
2021-10-15,3650,3675,3650,3661,106
2021-10-18,3616,3653,3616,3653,5
2021-10-20,3710,3730,3708,3730,27
2021-10-21,3742,3745,3665,3665,89
2021-10-22,3644,3650,3634,3641,19
2021-10-28,3720,3720,3720,3720,4
2021-11-02,3658,3658,3658,3658,3
2021-11-09,3552,3571,3552,3565,24
2021-11-10,3680,3690,3678,3680,265
2021-11-15,3700,3700,3700,3700,8
2021-11-16,3725,3726,3725,3726,61
2021-11-25,3793,3793,3741,3741,6
2021-11-30,3560,3560,3560,3560,5
2021-12-02,3562,3562,3562,3562,5
2021-12-14,3780,3780,3780,3780,9
2021-12-16,3750,3760,3750,3760,22
2021-12-30,3775,3775,3750,3750,13
2022-01-05,3915,3943,3913,3942,98
2022-01-11,4001,4001,4001,4001,2
2022-01-14,4052,4059,4045,4050,116
2022-01-19,4176,4180,4176,4180,14
2022-01-20,4190,4190,4190,4190,3
2022-01-21,4192,4278,4192,4278,27
2022-01-24,4285,4302,4214,4300,142
2022-01-25,4244,4258,4240,4250,31
2022-01-26,4338,4345,4315,4319,106
2022-01-27,4380,4385,4360,4366,150
2022-01-28,4460,4488,4399,4475,314
2022-01-31,4550,4581,4550,4581,368
2022-02-03,4506,4506,4438,4470,38
2022-02-04,4540,4540,4530,4533,19
2022-02-07,4592,4592,4441,4449,23
2022-02-08,4450,4465,4440,4465,37
2022-02-09,4368,4500,4350,4490,276
2022-02-11,4420,4485,4420,4485,23
2022-02-14,4475,4475,4456,4456,22
2022-02-15,4538,4538,4477,4477,13
2022-02-16,4502,4502,4470,4470,38
2022-02-17,4493,4526,4493,4525,36
2022-02-18,4593,4595,4559,4564,183
2022-02-21,4592,4641,4592,4641,86
2022-02-22,4688,4710,4688,4710,112
2022-02-23,4785,4846,4781,4819,239
2022-02-24,4999,5111,4999,5106,259
2022-02-25,4900,4940,4766,4850,167
2022-02-28,5000,5000,4912,4946,287
2022-03-01,4985,5110,4985,5091,171
2022-03-02,5125,5125,4784,5080,59
2022-03-03,5296,5400,5277,5280,204
2022-03-04,5201,5270,5179,5190,110
2022-03-07,5329,5337,5329,5335,13
2022-03-09,5380,5645,5380,5645,122
2022-03-14,5046,5145,5043,5141,85
2022-03-16,5336,5348,5336,5348,12
2022-03-17,5440,5440,5440,5440,40
2022-03-21,5480,5490,5440,5490,8
2022-03-23,5430,5430,5430,5430,2
2022-03-24,5495,5495,5443,5443,99
2022-03-25,5439,5439,5377,5404,109
2022-03-30,5331,5375,5331,5375,82
2022-04-01,5091,5105,5065,5103,106
2022-04-05,5283,5324,5283,5323,50
2022-04-06,5319,5420,5319,5382,75
2022-04-07,5311,5311,5311,5311,19
2022-04-08,5374,5400,5345,5400,27
2022-04-12,5528,5583,5518,5572,92
2022-04-13,5521,5527,5512,5527,130
2022-04-15,5629,5629,5629,5629,17
2022-04-20,5803,5821,5719,5719,210
2022-04-22,5765,5765,5650,5690,35
2022-04-25,5696,5696,5600,5650,39
2022-04-26,5650,5650,5650,5650,5
2022-04-27,5816,6029,5813,6029,491
2022-04-28,5980,6020,5930,6000,404
2022-04-29,5983,6196,5973,6196,174
2022-05-05,5968,6015,5946,6003,253
2022-05-06,5926,5940,5865,5865,311
2022-05-09,5853,5890,5853,5875,93
2022-05-11,5856,5917,5817,5917,185
2022-05-12,5832,5888,5777,5867,861
2022-05-13,5906,5935,5860,5860,377
2022-05-17,5785,5891,5785,5844,118
2022-05-18,5840,5896,5832,5870,276
2022-05-19,5827,5832,5780,5832,163
2022-05-20,5809,5990,5772,5856,641
2022-05-23,5928,5963,5920,5963,60
2022-05-24,5962,6138,5962,6138,487
2022-05-25,6041,6050,5980,5992,127
2022-05-26,5929,6092,5915,6033,96
2022-05-27,6026,6134,5950,5950,516
2022-05-30,5937,5938,5843,5856,304
2022-05-31,5859,5899,5853,5899,231
2022-06-01,5890,5957,5840,5901,600
2022-06-02,5920,5948,5899,5900,424
2022-06-03,5910,5949,5844,5912,256
2022-06-07,5974,6056,5974,6018,428
2022-06-08,6000,6053,5950,6000,703
2022-06-09,5990,5990,5772,5847,393
2022-06-10,5825,5881,5612,5612,1044
2022-06-13,5630,5635,5450,5450,525
2022-06-14,5510,5576,5485,5505,788
2022-06-15,5540,5540,5404,5444,1041
2022-06-16,5462,5468,5342,5422,937
2022-06-17,5377,5492,5330,5484,1697
2022-06-20,5301,5370,5116,5116,2419
2022-06-21,5040,5094,5020,5030,839
2022-06-22,5030,5031,4658,4658,1841
2022-06-23,4766,4864,4632,4800,1601
2022-06-24,4948,4969,4617,4769,583
2022-06-27,4830,4975,4805,4953,1056
2022-06-28,4929,5017,4900,4991,394
2022-06-29,4954,4954,4905,4949,101
2022-06-30,4920,4995,4920,4968,1017
