Timestamp (UTC),Open,High,Low,Close,FCPO Dec25: Volume
2024-12-18,4152,4152,4133,4133,88
2024-12-19,4125,4125,4102,4102,49
2024-12-20,4134,4160,4092,4092,112
2024-12-23,4195,4195,4195,4195,132
2024-12-24,4182,4198,4159,4195,92
2024-12-26,4195,4195,4185,4188,83
2024-12-27,4195,4200,4190,4200,102
2024-12-30,4200,4200,4119,4119,195
2024-12-31,4124,4138,4092,4092,89
2025-01-02,4075,4112,4043,4073,257
2025-01-03,4026,4040,4025,4040,65
2025-01-06,4090,4092,4072,4092,120
2025-01-07,4096,4188,4096,4142,331
2025-01-08,4158,4197,4124,4170,405
2025-01-09,4156,4159,4046,4063,579
2025-01-10,4110,4145,4102,4143,72
2025-01-13,4210,4210,4172,4178,231
2025-01-14,4175,4178,4139,4142,44
2025-01-15,4164,4164,4068,4091,415
2025-01-16,4070,4070,4027,4048,645
2025-01-17,4040,4066,4030,4054,761
2025-01-20,4116,4117,4079,4079,115
2025-01-21,4109,4133,4097,4132,520
2025-01-22,4125,4125,4065,4065,271
2025-01-23,4084,4086,4018,4049,496
2025-01-24,4036,4080,4000,4054,700
2025-01-27,4050,4050,4022,4025,152
2025-01-28,3992,4096,3991,4083,465
2025-01-31,4138,4142,4079,4106,494
2025-02-03,4145,4189,4138,4159,292
2025-02-04,4181,4183,4069,4094,227
2025-02-05,4125,4154,4092,4100,421
2025-02-06,4096,4157,4090,4144,1035
2025-02-07,4136,4231,4136,4199,1022
2025-02-10,4217,4253,4170,4238,1304
2025-02-12,4285,4291,4232,4232,356
2025-02-13,4242,4245,4192,4192,608
2025-02-14,4216,4250,4210,4222,552
2025-02-17,4203,4273,4201,4273,182
2025-02-18,4249,4249,4223,4224,201
2025-02-19,4230,4340,4230,4335,981
2025-02-20,4301,4360,4301,4329,1412
2025-02-21,4357,4385,4344,4345,2846
2025-02-24,4308,4316,4249,4259,766
2025-02-25,4273,4324,4264,4300,1158
2025-02-26,4274,4345,4272,4338,1310
2025-02-27,4308,4310,4238,4261,1216
2025-02-28,4281,4310,4257,4310,2122
2025-03-03,4297,4297,4231,4231,250
2025-03-04,4254,4260,4143,4154,679
2025-03-05,4145,4204,4136,4191,961
2025-03-06,4146,4221,4146,4211,1689
2025-03-07,4189,4297,4189,4275,1825
2025-03-10,4274,4274,4190,4190,735
