Timestamp (UTC),Open,High,Low,Close
2025-08-19,4347,4350,4282,4283
2025-08-20,4259,4287,4259,4286
2025-08-21,4325,4325,4269,4275
2025-08-22,4307,4338,4287,4338
2025-08-25,4300,4300,4300,4300
2025-08-26,4303,4303,4284,4285
2025-08-27,4309,4330,4276,4316
2025-08-28,4280,4280,4270,4279
2025-08-29,4262,4262,4225,4234
2025-09-02,4292,4292,4291,4291
2025-09-03,4260,4263,4244,4257
2025-09-04,4225,4279,4225,4254
2025-09-08,4266,4290,4266,4288
2025-09-09,4310,4315,4288,4290
2025-09-10,4260,4266,4201,4213
2025-09-11,4238,4275,4233,4245
2025-09-12,4234,4234,4227,4227
2025-09-17,4271,4271,4208,4209
2025-09-18,4210,4210,4175,4195
2025-09-19,4207,4225,4188,4194
2025-09-22,4234,4249,4205,4205
2025-09-23,4185,4185,4073,4153
2025-09-24,4148,4180,4146,4180
2025-09-25,4217,4230,4217,4217
2025-09-26,4225,4240,4190,4190
2025-09-29,4208,4226,4196,4203
2025-09-30,4180,4217,4161,4161
2025-10-01,4161,4206,4156,4185
2025-10-02,4207,4255,4207,4244
2025-10-03,4241,4273,4209,4215
2025-10-06,4299,4299,4187,4210
2025-10-07,4216,4250,4212,4249
2025-10-08,4264,4307,4260,4276
2025-10-09,4276,4364,4270,4333
2025-10-10,4324,4340,4278,4333
2025-10-13,4286,4315,4271,4315
2025-10-14,4323,4326,4298,4301
2025-10-15,4299,4344,4299,4319
2025-10-16,4325,4350,4322,4340
2025-10-17,4340,4394,4333,4360
2025-10-21,4368,4400,4345,4345
2025-10-22,4339,4349,4304,4333
2025-10-23,4320,4356,4307,4349
2025-10-24,4346,4349,4307,4313
2025-10-27,4321,4323,4253,4267
2025-10-28,4270,4278,4217,4236
2025-10-29,4212,4228,4150,4176
2025-10-30,4164,4200,4158,4173
2025-10-31,4175,4178,4130,4136
2025-11-03,4139,4139,4080,4094
2025-11-04,4106,4145,4106,4135
2025-11-05,4119,4142,4107,4120
2025-11-06,4107,4145,4101,4141
2025-11-07,4138,4138,4087,4103
2025-11-10,4102,4119,4086,4095
2025-11-11,4095,4127,4095,4110
2025-11-12,4113,4118,4088,4099
2025-11-13,4098,4117,4070,4102
2025-11-14,4109,4111,4077,4097
2025-11-17,4078,4115,4078,4087
2025-11-18,4095,4150,4084,4143
2025-11-19,4163,4186,4141,4175
2025-11-20,4160,4160,4097,4108
2025-11-21,4103,4103,4025,4027
2025-11-24,4035,4051,4007,4009
2025-11-25,3995,4027,3967,3973
2025-11-26,3962,4035,3955,4006
2025-11-27,4001,4065,4000,4065
2025-11-28,4068,4082,4066,4072
2025-12-01,4089,4089,4050,4059
2025-12-02,4051,4130,4040,4120
2025-12-03,4122,4150,4105,4117
2025-12-04,4129,4129,4068,4071
2025-12-05,4084,4124,4084,4120
2025-12-08,4095,4105,4061,4062
2025-12-09,4068,4084,4027,4076
2025-12-10,4067,4091,3999,4058
2025-12-11,4054,4096,4044,4048
2025-12-12,4057,4057,3990,4000
2025-12-15,3981,4015,3963,3978
2025-12-16,3972,3973,3929,3943
2025-12-17,3936,3953,3910,3946
2025-12-18,3945,3990,3943,3957
2025-12-19,3955,3960,3888,3903
2025-12-22,3927,3983,3912,3975
2025-12-23,3992,4004,3964,3989
2025-12-24,3997,4005,3946,3982
2025-12-26,3985,4024,3982,4019
2025-12-29,3987,4015,3962,3989
2025-12-30,4002,4053,3999,4023
2025-12-31,4030,4039,4005,4009
2026-01-02,3990,3990,3946,3965
2026-01-05,3974,4004,3958,4000
2026-01-06,4005,4010,3965,3965
2026-01-07,3978,4024,3974,4006
2026-01-08,4030,4053,4007,4023
2026-01-09,4030,4075,4009,4019
2026-01-12,4018,4092,4012,4080
2026-01-13,4100,4128,4030,4056
2026-01-14,4056,4109,4050,4050
2026-01-15,4055,4067,3982,3984
2026-01-16,3989,4085,3986,4070
2026-01-19,4062,4073,4044,4063
2026-01-20,4072,4104,4072,4081
2026-01-21,4091,4143,4091,4134
2026-01-22,4140,4186,4135,4166
2026-01-23,4166,4168,4110,4133
2026-01-26,4149,4184,4131,4158
