Timestamp (UTC),Open,High,Low,Close,"FCPO Dec26: MA ‌ma‌ (50,C,ma,0)"
2025-12-16,3972,3972,3949,3949,
2025-12-17,3930,3930,3930,3930,
2025-12-18,3986,3986,3983,3983,
2025-12-19,3968,3968,3909,3911,
2025-12-22,3967,3967,3967,3967,
2025-12-23,4009,4009,4000,4000,
2025-12-24,3975,4003,3975,3997,
2025-12-26,3994,4013,3993,4003,
2025-12-31,4026,4026,4008,4015,
2026-01-06,4002,4005,3980,3983,
2026-01-07,3985,3989,3984,3989,
2026-01-08,4040,4050,4015,4020,
2026-01-09,4021,4059,4018,4041,
2026-01-12,4020,4090,4016,4090,
2026-01-13,4103,4133,4039,4051,
2026-01-14,4077,4077,4052,4058,
2026-01-15,4055,4060,3970,3970,
2026-01-16,3978,4077,3978,4074,
2026-01-19,4047,4068,4042,4057,
2026-01-20,4070,4100,4067,4081,
2026-01-21,4102,4134,4094,4134,
2026-01-22,4161,4172,4149,4150,
2026-01-23,4126,4126,4089,4090,
2026-01-26,4118,4136,4105,4105,
2026-01-27,4109,4150,4105,4150,
2026-01-28,4161,4161,4127,4140,
2026-01-29,4142,4185,4141,4174,
2026-01-30,4164,4184,4099,4115,
2026-02-03,4101,4129,4090,4125,
2026-02-04,4122,4157,4108,4156,
2026-02-05,4143,4167,4126,4160,
2026-02-06,4147,4155,4112,4115,
2026-02-09,4124,4124,4113,4113,
2026-02-10,4100,4101,4043,4047,
2026-02-11,4053,4080,4038,4050,
2026-02-12,4061,4061,4005,4019,
2026-02-13,4007,4023,3968,4020,
2026-02-16,4030,4030,3992,4002,
2026-02-19,4041,4107,4041,4107,
2026-02-20,4102,4118,4081,4106,
2026-02-23,4093,4093,4058,4083,
2026-02-24,4070,4099,4038,4050,
2026-02-25,4039,4071,4035,4035,
2026-02-26,4027,4035,3992,3992,
2026-02-27,4006,4049,4006,4028,
2026-03-02,4064,4139,4064,4139,
2026-03-03,4146,4172,4118,4172,
2026-03-04,4179,4185,4141,4174,
2026-03-05,4147,4246,4141,4194,
2026-03-06,4199,4314,4183,4305,4068.38
2026-03-09,4607,4645,4372,4385,4077.1
2026-03-10,4374,4417,4240,4300,4084.5
2026-03-11,4318,4355,4280,4344,4091.72
2026-03-12,4359,4430,4343,4399,4101.48
2026-03-13,4397,4440,4381,4414,4110.42
2026-03-16,4457,4489,4445,4489,4120.2
2026-03-17,4470,4475,4408,4408,4128.42
2026-03-18,4427,4455,4328,4358,4135.52
2026-03-19,4409,4488,4381,4453,4144.28
2026-03-24,4425,4439,4380,4405,4152.72
2026-03-25,4407,4413,4362,4410,4161.14
2026-03-26,4399,4487,4396,4485,4170.44
2026-03-27,4485,4526,4470,4519,4180
2026-03-30,4535,4664,4521,4651,4191.22
2026-03-31,4645,4706,4600,4703,4204.26
2026-04-01,4732,4760,4599,4618,4215.46
2026-04-02,4610,4708,4569,4639,4228.84
2026-04-03,4687,4701,4656,4689,4241.14
2026-04-06,4694,4710,4636,4676,4253.52
2026-04-07,4698,4718,4635,4636,4264.62
2026-04-08,4649,4650,4465,4486,4271.66
2026-04-09,4464,4567,4459,4559,4279.84
2026-04-10,4563,4593,4459,4466,4287.36
2026-04-13,4504,4522,4457,4503,4295.32
2026-04-14,4493,4504,4416,4433,4300.98
2026-04-15,4421,4442,4388,4432,4306.82
2026-04-16,4424,4450,4382,4434,4312.02
2026-04-17,4434,4456,4398,4401,4317.74
2026-04-20,4425,4449,4410,4441,4324.06
2026-04-21,4442,4550,4415,4521,4331.36
2026-04-22,4538,4613,4531,4602,4340.2
2026-04-23,4605,4611,4564,4569,4349.28
2026-04-24,4568,4636,4568,4607,4359.16
2026-04-27,4617,4617,4571,4575,4369.72
2026-04-28,4581,4595,4550,4574,4380.2
2026-04-29,4579,4639,4547,4634,4392.5
2026-04-30,4638,4667,4606,4620,4404.5
2026-05-04,4638,4672,4601,4647,4417.4
2026-05-05,4658,4723,4650,4712,4429.5
2026-05-06,4704,4713,4592,4604,4439.46
2026-05-07,4620,4627,4538,4563,4449.06
2026-05-08,4541,4585,4521,4537,4458.8
2026-05-11,4586,4601,4565,4567,4469.44
2026-05-12,4571,4576,4505,4557,4480.74
2026-05-13,4556,4565,4506,4532,4490.82
2026-05-14,4533,4547,4482,4490,4497.84
2026-05-15,4476,4514,4472,4499,4504.38
2026-05-18,4534,4595,4534,4575,4512.4
2026-05-19,4570,4659,4559,4629,4521.1
2026-05-20,4634,4710,4595,4657,4528.14
2026-05-21,4665,4684,4562,4563,4531.7
2026-05-22,4596,4602,4552,4580,4537.3
2026-05-25,4568,4600,4530,4567,4541.76
2026-05-26,4556,4611,4549,4611,4546
2026-05-28,4641,4663,4632,4635,4550.42
2026-05-29,4648,4675,4633,4650,4553.64
2026-06-03,4711,4794,4705,4785,4561.18
2026-06-04,4777,4798,4706,4713,4568.28
2026-06-05,4702,4717,4646,4678,4572.78
2026-06-08,4711,4721,4685,4700,4578.68
2026-06-09,4701,4710,4622,4667,4583.82
2026-06-10,4666,4700,4649,4681,4587.74
2026-06-11,4681,4713,4681,4690,4591.16
2026-06-12,4705,4706,4573,4603,4590.2
2026-06-15,4586,4592,4563,4576,4587.66
2026-06-16,4566,4666,4558,4660,4588.5
2026-06-18,4630,4694,4624,4655,4588.82
2026-06-19,4650,4741,4649,4710,4589.24
2026-06-22,4702,4787,4701,4754,4590.8
2026-06-23,4739,4793,4698,4732,4592.72
2026-06-24,4718,4758,4693,4709,4597.18
2026-06-25,4704,4705,4587,4622,4598.44
2026-06-26,4621,4688,4616,4629,4601.7
