Timestamp (UTC),Open,High,Low,Close,"FCPO Jun26: MA ‌ma‌ (50,C,ma,0)"
2025-06-16,4015,4050,4015,4047,
2025-06-17,4068,4068,4068,4068,
2025-06-18,4059,4072,4059,4066,
2025-06-19,4090,4103,4090,4100,
2025-06-20,4110,4110,4110,4110,
2025-06-23,4117,4117,4103,4111,
2025-06-24,4036,4040,4008,4010,
2025-06-25,3984,4002,3984,4002,
2025-06-26,3991,3999,3991,3999,
2025-06-30,3994,4004,3994,4004,
2025-07-01,3964,3987,3964,3980,
2025-07-02,3997,4041,3997,4040,
2025-07-03,4042,4042,4023,4023,
2025-07-04,4047,4048,4032,4046,
2025-07-08,4074,4103,4068,4069,
2025-07-09,4072,4073,4055,4066,
2025-07-10,4055,4100,4055,4090,
2025-07-11,4073,4116,4041,4041,
2025-07-14,4090,4122,4090,4122,
2025-07-15,4113,4113,4023,4030,
2025-07-16,4038,4098,4036,4088,
2025-07-17,4093,4094,4065,4076,
2025-07-18,4083,4185,4083,4102,
2025-07-21,4110,4124,4085,4085,
2025-07-22,4098,4148,4097,4139,
2025-07-23,4138,4202,4135,4181,
2025-07-24,4182,4226,4175,4192,
2025-07-25,4185,4205,4136,4178,
2025-07-28,4169,4169,4149,4168,
2025-07-29,4190,4210,4160,4206,
2025-07-30,4216,4225,4187,4215,
2025-07-31,4198,4212,4184,4185,
2025-08-01,4189,4219,4164,4217,
2025-08-04,4153,4169,4145,4163,
2025-08-05,4155,4232,4155,4232,
2025-08-06,4212,4215,4185,4212,
2025-08-07,4198,4198,4183,4187,
2025-08-08,4214,4220,4153,4184,
2025-08-11,4183,4288,4180,4286,
2025-08-12,4279,4335,4277,4301,
2025-08-13,4321,4360,4301,4308,
2025-08-14,4331,4332,4270,4294,
2025-08-15,4286,4344,4286,4344,
2025-08-18,4365,4397,4340,4379,
2025-08-19,4383,4413,4319,4341,
2025-08-20,4330,4349,4300,4334,
2025-08-21,4369,4370,4303,4314,
2025-08-22,4317,4384,4317,4378,
2025-08-25,4405,4405,4335,4335,
2025-08-26,4340,4349,4320,4324,4159.44
2025-08-27,4342,4374,4317,4360,4165.7
2025-08-28,4339,4360,4310,4328,4170.9
2025-08-29,4309,4313,4267,4269,4174.96
2025-09-02,4313,4343,4313,4340,4179.76
2025-09-03,4314,4355,4297,4319,4183.94
2025-09-04,4296,4348,4288,4321,4188.14
2025-09-08,4339,4371,4304,4364,4195.22
2025-09-09,4368,4385,4346,4360,4202.38
2025-09-10,4346,4346,4268,4299,4208.38
2025-09-11,4292,4345,4282,4316,4214.62
2025-09-12,4322,4345,4276,4301,4221.04
2025-09-17,4367,4371,4276,4296,4226.16
2025-09-18,4300,4301,4236,4270,4231.1
2025-09-19,4268,4287,4259,4264,4235.46
2025-09-22,4285,4319,4276,4306,4240.2
2025-09-23,4278,4278,4137,4224,4243.36
2025-09-24,4205,4257,4204,4255,4246.66
2025-09-25,4306,4310,4270,4308,4252
2025-09-26,4306,4324,4263,4266,4254.88
2025-09-29,4271,4292,4256,4256,4259.4
2025-09-30,4252,4282,4230,4230,4262.24
2025-10-01,4228,4276,4227,4252,4265.76
2025-10-02,4272,4323,4268,4304,4269.8
2025-10-03,4306,4330,4266,4274,4273.58
2025-10-06,4281,4281,4249,4281,4276.42
2025-10-07,4282,4329,4280,4319,4279.18
2025-10-08,4330,4391,4330,4345,4282.24
2025-10-09,4340,4432,4340,4403,4286.74
2025-10-10,4396,4417,4354,4400,4291.38
2025-10-13,4356,4388,4336,4380,4294.86
2025-10-14,4390,4402,4374,4376,4298.08
2025-10-15,4379,4417,4371,4399,4302.36
2025-10-16,4400,4426,4396,4410,4306.22
2025-10-17,4420,4470,4409,4436,4311.68
2025-10-21,4440,4478,4409,4420,4315.44
2025-10-22,4405,4417,4366,4408,4319.36
2025-10-23,4397,4425,4362,4423,4324.08
2025-10-24,4417,4417,4368,4377,4327.94
2025-10-27,4390,4393,4306,4332,4328.86
2025-10-28,4336,4346,4272,4285,4328.54
2025-10-29,4268,4280,4202,4226,4326.9
2025-10-30,4223,4253,4216,4228,4325.58
2025-10-31,4241,4241,4172,4182,4322.34
2025-11-03,4183,4183,4106,4126,4317.28
2025-11-04,4124,4179,4124,4167,4313.8
2025-11-05,4155,4179,4141,4153,4310.18
2025-11-06,4136,4189,4136,4180,4307.5
2025-11-07,4186,4186,4128,4147,4302.88
2025-11-10,4139,4165,4130,4140,4298.98
2025-11-11,4138,4180,4138,4156,4295.62
2025-11-12,4156,4167,4135,4151,4291.44
2025-11-13,4144,4171,4119,4155,4287.98
2025-11-14,4163,4164,4124,4147,4285.54
2025-11-17,4117,4159,4117,4135,4281.44
2025-11-18,4141,4196,4131,4190,4278.86
2025-11-19,4198,4235,4191,4218,4276.8
2025-11-20,4217,4217,4137,4153,4272.58
2025-11-21,4140,4156,4067,4072,4266.82
2025-11-24,4083,4086,4044,4052,4261.88
2025-11-25,4051,4067,3990,3999,4255.54
2025-11-26,3991,4059,3979,4037,4250.26
2025-11-27,4027,4091,4027,4091,4246.16
2025-11-28,4093,4118,4093,4109,4242.94
2025-12-01,4117,4132,4089,4094,4239.54
2025-12-02,4087,4166,4073,4160,4236.62
2025-12-03,4164,4190,4141,4157,4235.28
2025-12-04,4157,4168,4107,4112,4232.42
2025-12-05,4108,4162,4108,4162,4229.5
2025-12-08,4130,4141,4099,4110,4226.38
2025-12-09,4111,4119,4063,4113,4223.52
2025-12-10,4105,4128,4030,4089,4220.7
2025-12-11,4090,4131,4071,4077,4217.2
2025-12-12,4082,4082,4021,4029,4211.7
2025-12-15,4014,4049,3998,4004,4206.3
2025-12-16,4004,4008,3952,3964,4199.96
2025-12-17,3964,3970,3925,3961,4192.8
2025-12-18,3953,4007,3953,3979,4185.48
2025-12-19,3969,3981,3901,3915,4175.72
2025-12-22,3940,3995,3926,3982,4167.36
2025-12-23,3990,4020,3980,4012,4160
2025-12-24,4016,4026,3974,4012,4152.72
2025-12-26,4021,4059,4021,4048,4145.7
2025-12-29,4024,4046,3998,4026,4138.02
2025-12-30,4024,4087,4018,4051,4130.32
2025-12-31,4057,4070,4033,4041,4122.74
2026-01-02,4010,4013,3977,3994,4114.46
2026-01-05,4004,4032,3979,4027,4106.54
2026-01-06,4025,4035,3991,3991,4098.82
2026-01-07,3993,4048,3993,4032,4092.82
2026-01-08,4046,4085,4030,4049,4088.1
2026-01-09,4074,4100,4034,4043,4084.44
2026-01-12,4051,4110,4034,4098,4081.84
2026-01-13,4110,4150,4044,4077,4079.74
2026-01-14,4087,4131,4064,4067,4078.56
2026-01-15,4078,4079,3996,4001,4075.24
2026-01-16,4004,4096,3991,4080,4073.78
2026-01-19,4074,4084,4054,4073,4071.64
2026-01-20,4075,4115,4075,4091,4070.52
2026-01-21,4100,4157,4100,4146,4070.64
2026-01-22,4150,4205,4148,4186,4071.24
2026-01-23,4189,4189,4132,4162,4071.46
2026-01-26,4174,4217,4151,4195,4072.26
2026-01-27,4197,4247,4186,4232,4073.96
2026-01-28,4236,4256,4219,4247,4076.2
2026-01-29,4255,4311,4243,4296,4078.32
2026-01-30,4295,4310,4196,4213,4078.22
2026-02-03,4187,4206,4158,4205,4079.26
2026-02-04,4228,4241,4180,4212,4082.06
2026-02-05,4199,4225,4183,4207,4085.16
2026-02-06,4186,4201,4153,4158,4088.34
2026-02-09,4180,4191,4150,4161,4090.82
2026-02-10,4165,4172,4088,4100,4091
2026-02-11,4101,4136,4065,4073,4090.28
2026-02-12,4095,4097,4031,4040,4089.2
2026-02-13,4038,4051,3977,4040,4086.8
2026-02-16,4040,4066,4003,4011,4083.88
2026-02-19,4079,4119,4040,4115,4083.94
