Timestamp (UTC),Open,High,Low,Close,"FCPO Nov26: MA ‌ma‌ (50,C,ma,0)"
2025-03-17,4170,4170,4170,4170,
2025-03-25,4102,4102,3985,3985,
2025-04-09,4059,4059,4057,4057,
2025-04-14,4035,4035,4035,4035,
2025-05-07,3785,3810,3779,3797,
2025-05-08,3854,3866,3854,3866,
2025-05-13,3940,3940,3940,3940,
2025-05-26,3797,3798,3797,3798,
2025-05-27,3832,3851,3832,3851,
2025-05-29,3920,3920,3920,3920,
2025-05-30,3830,3830,3830,3830,
2025-06-03,3921,3921,3890,3911,
2025-06-04,3937,3937,3930,3930,
2025-06-16,3997,3997,3984,3988,
2025-06-17,4045,4050,4029,4046,
2025-06-18,4044,4069,4044,4069,
2025-06-19,4074,4074,4066,4066,
2025-06-20,4079,4099,4078,4099,
2025-06-23,4097,4104,4089,4099,
2025-06-25,3972,3989,3972,3989,
2025-06-26,3986,3999,3986,3999,
2025-07-03,4015,4015,4008,4008,
2025-07-08,4015,4049,4015,4049,
2025-07-09,4060,4060,4036,4036,
2025-07-10,4026,4052,4026,4042,
2025-07-11,4076,4076,4041,4041,
2025-07-14,4012,4050,4008,4039,
2025-07-15,4064,4064,4064,4064,
2025-07-16,4033,4070,4033,4070,
2025-07-17,4060,4069,4045,4045,
2025-07-18,4113,4139,4100,4139,
2025-07-21,4059,4091,4059,4090,
2025-07-22,4109,4109,4109,4109,
2025-07-23,4175,4175,4175,4175,
2025-07-24,4145,4200,4145,4200,
2025-07-25,4142,4153,4133,4153,
2025-07-28,4140,4145,4140,4145,
2025-07-29,4165,4165,4120,4151,
2025-07-30,4180,4180,4180,4180,
2025-07-31,4182,4185,4182,4185,
2025-08-01,4175,4189,4150,4189,
2025-08-04,4127,4131,4120,4120,
2025-08-05,4142,4205,4142,4205,
2025-08-06,4176,4180,4169,4180,
2025-08-07,4157,4162,4155,4155,
2025-08-08,4180,4184,4120,4120,
2025-08-11,4243,4243,4210,4239,
2025-08-12,4250,4285,4247,4275,
2025-08-13,4278,4303,4278,4296,
2025-08-14,4270,4270,4250,4251,4067.92
2025-08-15,4236,4283,4225,4283,4070.18
2025-08-19,4310,4332,4275,4275,4075.98
2025-08-20,4271,4284,4265,4284,4080.52
2025-08-21,4308,4310,4270,4270,4085.22
2025-08-22,4304,4325,4271,4325,4095.78
2025-08-25,4350,4350,4316,4316,4104.78
2025-08-26,4290,4290,4286,4286,4111.7
2025-08-27,4285,4321,4274,4274,4121.22
