Timestamp (UTC),Open,High,Low,Close,"FCPO Oct26: MA ‌ma‌ (50,C,ma,0)"
2025-10-16,4355,4419,4292,4313,
2025-10-17,4360,4360,4310,4313,
2025-10-21,4352,4352,4315,4315,
2025-10-22,4280,4280,4280,4280,
2025-10-23,4309,4309,4309,4309,
2025-10-24,4299,4306,4287,4287,
2025-10-27,4275,4275,4232,4232,
2025-10-28,4221,4221,4200,4200,
2025-10-29,4180,4180,4147,4150,
2025-10-30,4154,4168,4138,4150,
2025-10-31,4136,4145,4120,4120,
2025-11-03,4090,4093,4069,4083,
2025-11-04,4136,4136,4121,4122,
2025-11-05,4115,4139,4110,4118,
2025-11-06,4117,4127,4114,4124,
2025-11-07,4106,4106,4084,4098,
2025-11-10,4088,4105,4075,4080,
2025-11-11,4094,4104,4075,4098,
2025-11-12,4100,4100,4069,4074,
2025-11-13,4059,4080,4059,4076,
2025-11-14,4085,4086,4065,4075,
2025-11-17,4093,4098,4073,4079,
2025-11-18,4077,4134,4075,4133,
2025-11-19,4145,4169,4123,4169,
2025-11-20,4150,4150,4091,4103,
2025-11-21,4099,4101,4019,4023,
2025-11-24,4018,4034,3994,3994,
2025-11-25,3980,4012,3967,3968,
2025-11-26,3960,4025,3960,3994,
2025-11-27,4001,4057,4001,4057,
2025-11-28,4065,4073,4061,4062,
2025-12-01,4041,4069,4038,4060,
2025-12-02,4040,4116,4040,4106,
2025-12-03,4106,4129,4098,4098,
2025-12-04,4105,4105,4054,4055,
2025-12-05,4059,4103,4059,4103,
2025-12-08,4087,4088,4042,4042,
2025-12-09,4045,4055,4009,4052,
2025-12-10,4027,4068,3982,4028,
2025-12-11,4065,4065,4026,4026,
2025-12-12,4033,4033,3978,3982,
2025-12-15,3978,3983,3958,3958,
2025-12-16,3950,3950,3914,3928,
2025-12-17,3917,3942,3901,3942,
2025-12-18,3942,3985,3942,3954,
2025-12-19,3957,3957,3892,3897,
2025-12-22,3924,3982,3910,3979,
2025-12-23,4004,4005,3970,3990,
2025-12-24,3997,4001,3950,3981,
2025-12-26,3983,4013,3983,4013,4087.86
2025-12-29,3998,4001,3956,3959,4080.78
2025-12-30,4001,4042,4001,4022,4074.96
2025-12-31,4014,4031,3999,4004,4068.74
2026-01-02,3977,3982,3945,3959,4062.32
2026-01-05,3974,3994,3956,3986,4055.86
2026-01-06,3980,3999,3963,3963,4049.38
2026-01-07,3980,4005,3976,4005,4044.84
2026-01-08,4030,4044,4003,4016,4041.16
2026-01-09,4034,4070,4007,4019,4038.54
2026-01-12,4008,4091,4008,4080,4037.14
2026-01-13,4097,4127,4028,4051,4035.76
2026-01-14,4054,4102,4041,4048,4035.06
2026-01-15,4047,4060,3972,3976,4032.14
2026-01-16,3979,4077,3978,4060,4030.98
2026-01-19,4045,4066,4039,4060,4029.7
2026-01-20,4070,4100,4069,4076,4029.26
2026-01-21,4100,4138,4095,4126,4030.18
2026-01-22,4131,4174,4129,4153,4031.28
2026-01-23,4155,4155,4092,4116,4032.12
2026-01-26,4111,4154,4111,4124,4033.08
2026-01-27,4125,4177,4120,4159,4034.76
2026-01-28,4172,4187,4144,4164,4036.46
2026-01-29,4171,4214,4164,4205,4037.9
2026-01-30,4204,4220,4124,4136,4037.24
2026-02-03,4113,4149,4111,4143,4038.04
2026-02-04,4175,4175,4132,4167,4040.92
2026-02-05,4154,4179,4137,4171,4044.46
2026-02-06,4152,4165,4116,4117,4047.44
2026-02-09,4136,4140,4121,4123,4050.02
2026-02-10,4100,4130,4058,4063,4050.14
2026-02-11,4075,4109,4042,4056,4050.02
2026-02-12,4056,4059,4009,4019,4049.2
2026-02-13,4022,4030,3962,4030,4047.68
2026-02-16,4032,4041,3990,4004,4045.8
2026-02-19,4062,4107,4040,4107,4046.84
2026-02-20,4105,4123,4078,4100,4046.78
2026-02-23,4093,4093,4057,4072,4047.38
2026-02-24,4075,4099,4035,4040,4047.14
2026-02-25,4039,4071,4024,4033,4047.24
2026-02-26,4045,4045,3990,3990,4046.52
2026-02-27,4003,4044,4003,4027,4047.42
2026-03-02,4048,4139,4048,4139,4051.04
2026-03-03,4129,4175,4116,4171,4055.9
2026-03-04,4174,4188,4139,4167,4060.4
2026-03-05,4144,4250,4125,4191,4065.14
2026-03-06,4198,4324,4189,4320,4073.6
2026-03-09,4650,4693,4415,4437,4082.76
2026-03-10,4430,4462,4273,4340,4089.76
2026-03-11,4346,4394,4310,4383,4097.8
2026-03-12,4400,4480,4388,4410,4105.74
2026-03-13,4436,4470,4408,4446,4115.48
2026-03-16,4495,4530,4486,4515,4125.34
2026-03-17,4479,4506,4442,4442,4134.1
2026-03-18,4482,4492,4355,4395,4142.82
2026-03-19,4446,4504,4401,4474,4152.58
2026-03-24,4449,4462,4403,4424,4161.8
2026-03-25,4436,4443,4386,4425,4170.2
2026-03-26,4406,4503,4406,4502,4179.92
2026-03-27,4508,4557,4482,4548,4190.5
2026-03-30,4556,4698,4555,4685,4202.6
2026-03-31,4664,4747,4633,4741,4216.4
2026-04-01,4813,4822,4643,4674,4228.92
2026-04-02,4663,4759,4626,4698,4243.36
2026-04-03,4753,4758,4715,4751,4257.18
2026-04-06,4757,4775,4701,4731,4270.6
2026-04-07,4748,4777,4689,4695,4282.98
2026-04-08,4732,4732,4507,4520,4290.86
2026-04-09,4492,4596,4492,4588,4299.56
2026-04-10,4598,4627,4492,4492,4307.08
2026-04-13,4530,4559,4489,4533,4315.26
2026-04-14,4525,4537,4444,4461,4321.3
2026-04-15,4445,4476,4410,4464,4327.3
2026-04-16,4458,4480,4412,4464,4332.48
2026-04-17,4464,4488,4431,4434,4338.44
2026-04-20,4468,4484,4442,4474,4345.06
2026-04-21,4464,4586,4445,4546,4352.64
2026-04-22,4564,4642,4559,4626,4361.74
2026-04-23,4629,4638,4584,4588,4371.16
2026-04-24,4584,4643,4584,4621,4381.12
2026-04-27,4636,4637,4577,4582,4391.5
2026-04-28,4583,4598,4542,4577,4401.92
2026-04-29,4563,4636,4539,4627,4414.08
2026-04-30,4635,4660,4598,4610,4425.68
2026-05-04,4639,4667,4591,4652,4438.64
2026-05-05,4644,4731,4643,4719,4450.88
2026-05-06,4714,4720,4587,4591,4460.7
2026-05-07,4604,4623,4532,4561,4470.48
2026-05-08,4530,4580,4514,4530,4480.28
2026-05-11,4582,4591,4545,4550,4490.62
2026-05-12,4552,4552,4475,4526,4501.34
2026-05-13,4523,4533,4468,4490,4510.6
2026-05-14,4489,4507,4438,4448,4516.78
2026-05-15,4435,4481,4429,4461,4522.58
2026-05-18,4499,4568,4499,4549,4530.22
2026-05-19,4525,4640,4525,4594,4538.28
2026-05-20,4610,4694,4567,4619,4544.26
2026-05-21,4616,4645,4504,4506,4545.64
2026-05-22,4532,4553,4497,4524,4549.32
2026-05-25,4514,4545,4472,4520,4552.06
2026-05-26,4509,4555,4497,4552,4554.9
2026-05-28,4583,4615,4571,4586,4557.7
2026-05-29,4599,4620,4575,4589,4559.18
2026-06-03,4670,4740,4651,4735,4565.04
2026-06-04,4720,4745,4650,4658,4570.3
2026-06-05,4653,4667,4587,4615,4573.12
2026-06-08,4620,4656,4619,4637,4577.38
2026-06-09,4631,4648,4550,4604,4580.96
2026-06-10,4604,4640,4578,4618,4583.28
2026-06-11,4615,4651,4606,4632,4584.96
2026-06-12,4634,4648,4526,4547,4582.2
2026-06-15,4529,4541,4504,4515,4577.68
2026-06-16,4512,4615,4499,4609,4576.38
2026-06-18,4565,4640,4565,4597,4574.36
2026-06-19,4597,4695,4590,4668,4572.7
2026-06-22,4658,4733,4658,4700,4572.08
2026-06-23,4678,4739,4641,4682,4571.82
2026-06-24,4674,4713,4647,4659,4574.6
2026-06-25,4650,4656,4547,4579,4574.42
2026-06-26,4590,4651,4573,4588,4576.34
