Timestamp (UTC),Open,High,Low,Close,"FCPO Sep26: MA ‌ma‌ (50,C,ma,0)"
2025-03-05,4180,4180,4180,4180,
2025-03-11,4195,4195,4195,4195,
2025-03-20,4140,4140,4140,4140,
2025-03-25,4085,4092,4082,4092,
2025-04-02,4215,4215,4215,4215,
2025-04-07,4058,4060,4058,4060,
2025-04-08,4040,4055,4040,4055,
2025-04-09,4058,4060,4027,4033,
2025-04-11,4050,4050,4050,4050,
2025-04-14,4017,4017,4011,4011,
2025-04-15,3996,4000,3996,4000,
2025-04-17,4008,4012,4008,4012,
2025-04-25,4020,4046,4020,4043,
2025-04-29,3907,3907,3907,3907,
2025-05-02,3867,3872,3867,3869,
2025-05-05,3809,3809,3809,3809,
2025-05-06,3800,3800,3788,3788,
2025-05-07,3781,3802,3771,3798,
2025-05-09,3865,3865,3863,3863,
2025-05-13,3946,3946,3946,3946,
2025-05-14,3960,3960,3949,3949,
2025-05-15,3903,3903,3879,3879,
2025-05-21,3886,3886,3882,3882,
2025-05-23,3835,3835,3835,3835,
2025-05-29,3913,3913,3913,3913,
2025-06-03,3911,3919,3882,3898,
2025-06-04,3891,3924,3891,3922,
2025-06-05,3898,3906,3884,3897,
2025-06-06,3889,3905,3870,3891,
2025-06-09,3904,3904,3898,3898,
2025-06-10,3850,3855,3850,3855,
2025-06-11,3834,3838,3834,3838,
2025-06-13,3893,3893,3864,3865,
2025-06-16,3950,4034,3950,4034,
2025-06-17,4039,4050,4014,4038,
2025-06-18,4040,4063,4037,4063,
2025-06-19,4069,4078,4069,4078,
2025-06-20,4082,4105,4071,4105,
2025-06-23,4092,4099,4080,4096,
2025-06-24,4085,4085,3996,3996,
2025-06-25,3977,3985,3956,3956,
2025-06-26,3996,4001,3965,4001,
2025-07-01,3966,3966,3966,3966,
2025-07-03,4015,4022,4010,4015,
2025-07-04,4021,4021,4011,4018,
2025-07-07,4018,4018,4018,4018,
2025-07-08,4032,4061,4032,4043,
2025-07-09,4048,4064,4036,4038,
2025-07-10,4043,4061,4043,4055,
2025-07-11,4041,4079,4041,4079,3983.74
2025-07-14,4038,4079,4035,4071,3981.56
2025-07-15,4067,4067,3983,3997,3977.6
2025-07-16,4010,4071,4005,4071,3976.22
2025-07-17,4062,4076,4045,4045,3975.28
2025-07-18,4050,4155,4047,4140,3973.78
2025-07-21,4030,4097,4030,4068,3973.94
2025-07-22,4078,4114,4073,4114,3975.12
2025-07-23,4107,4174,4100,4174,3977.94
2025-07-24,4149,4210,4149,4177,3980.48
2025-07-25,4177,4177,4116,4146,3983.18
2025-07-28,4141,4146,4127,4146,3986.1
2025-07-29,4160,4177,4133,4177,3989.4
2025-07-30,4192,4197,4180,4189,3992.32
