Timestamp (UTC),Open,High,Low,Close,"FCPO Apr27: MA ‌ma‌ (50,C,ma,0)"
2026-04-21,4464,4464,4433,4433,
2026-04-22,4540,4540,4540,4540,
2026-04-23,4506,4509,4506,4509,
2026-04-24,4584,4596,4552,4595,
2026-04-27,4569,4576,4569,4576,
2026-04-28,4536,4545,4528,4528,
2026-04-29,4530,4591,4530,4588,
2026-04-30,4630,4630,4612,4616,
2026-05-04,4609,4623,4609,4618,
2026-05-05,4616,4667,4616,4664,
2026-05-06,4666,4666,4563,4567,
2026-05-07,4587,4587,4517,4524,
2026-05-08,4538,4553,4529,4529,
2026-05-11,4562,4562,4548,4553,
2026-05-12,4533,4546,4490,4546,
2026-05-13,4550,4550,4502,4526,
2026-05-14,4511,4511,4473,4488,
2026-05-15,4482,4494,4455,4485,
2026-05-18,4533,4573,4532,4571,
2026-05-19,4557,4644,4557,4634,
2026-05-20,4642,4681,4570,4657,
2026-05-21,4662,4673,4555,4555,
2026-05-22,4568,4579,4542,4561,
2026-05-25,4548,4579,4519,4557,
2026-05-26,4552,4597,4539,4597,
2026-05-28,4621,4646,4613,4624,
2026-05-29,4638,4676,4631,4637,
2026-06-03,4699,4766,4697,4757,
2026-06-04,4756,4770,4684,4684,
2026-06-05,4694,4694,4638,4666,
2026-06-08,4680,4730,4680,4698,
2026-06-09,4697,4715,4628,4671,
2026-06-10,4670,4695,4659,4671,
2026-06-11,4671,4704,4671,4692,
2026-06-12,4687,4694,4552,4599,
2026-06-15,4593,4593,4569,4577,
2026-06-16,4583,4666,4583,4660,
2026-06-18,4632,4703,4631,4675,
2026-06-19,4669,4735,4663,4693,
2026-06-22,4725,4770,4722,4735,
2026-06-23,4740,4795,4697,4725,
2026-06-24,4710,4744,4693,4706,
2026-06-25,4693,4693,4593,4628,
2026-06-26,4649,4690,4619,4631,
