Timestamp (UTC),Open,High,Low,Close,"FCPO Feb27: MA ‌ma‌ (50,C,ma,0)"
2026-02-23,4079,4079,4072,4074,
2026-02-24,4060,4075,4052,4069,
2026-02-25,4072,4073,4050,4050,
2026-02-26,4044,4044,4028,4029,
2026-02-27,4023,4041,4023,4031,
2026-03-02,4084,4125,4084,4125,
2026-03-03,4146,4175,4146,4175,
2026-03-04,4175,4175,4175,4175,
2026-03-05,4142,4238,4142,4182,
2026-03-06,4191,4290,4171,4290,
2026-03-09,4523,4573,4332,4332,
2026-03-10,4376,4384,4213,4292,
2026-03-11,4283,4310,4250,4310,
2026-03-12,4325,4384,4305,4354,
2026-03-13,4383,4411,4352,4400,
2026-03-16,4416,4465,4409,4461,
2026-03-17,4440,4443,4385,4385,
2026-03-18,4416,4422,4309,4331,
2026-03-19,4387,4472,4366,4426,
2026-03-24,4420,4420,4364,4384,
2026-03-25,4353,4403,4345,4403,
2026-03-26,4388,4486,4388,4476,
2026-03-27,4485,4521,4469,4502,
2026-03-30,4510,4659,4510,4640,
2026-03-31,4621,4695,4608,4679,
2026-04-01,4721,4732,4575,4578,
2026-04-02,4569,4659,4560,4628,
2026-04-03,4646,4646,4607,4634,
2026-04-06,4609,4652,4588,4634,
2026-04-07,4658,4662,4600,4600,
2026-04-08,4472,4484,4434,4464,
2026-04-09,4429,4543,4429,4534,
2026-04-10,4538,4563,4446,4446,
2026-04-13,4479,4491,4452,4487,
2026-04-14,4470,4470,4403,4403,
2026-04-15,4375,4412,4370,4411,
2026-04-16,4395,4430,4362,4414,
2026-04-17,4398,4423,4376,4377,
2026-04-20,4409,4424,4392,4416,
2026-04-21,4406,4521,4401,4503,
2026-04-22,4530,4591,4519,4591,
2026-04-23,4580,4580,4539,4546,
2026-04-24,4567,4624,4567,4596,
2026-04-27,4603,4608,4563,4566,
2026-04-28,4570,4583,4549,4572,
2026-04-29,4576,4632,4543,4631,
2026-04-30,4628,4663,4605,4612,
2026-05-04,4605,4655,4602,4642,
2026-05-05,4655,4704,4655,4698,
2026-05-06,4699,4699,4589,4605,4423.26
2026-05-07,4616,4622,4540,4567,4433.12
2026-05-08,4540,4585,4526,4541,4442.56
2026-05-11,4592,4601,4569,4570,4452.96
2026-05-12,4564,4579,4515,4571,4463.8
2026-05-13,4569,4578,4524,4553,4474.24
2026-05-14,4548,4566,4500,4510,4481.94
2026-05-15,4501,4528,4486,4524,4488.92
2026-05-18,4568,4610,4558,4595,4497.32
2026-05-19,4582,4672,4580,4651,4506.7
2026-05-20,4657,4718,4607,4684,4514.58
2026-05-21,4687,4703,4584,4588,4519.7
2026-05-22,4609,4619,4572,4599,4525.84
2026-05-25,4591,4620,4554,4592,4531.48
2026-05-26,4581,4636,4569,4633,4537.06
2026-05-28,4660,4683,4656,4664,4542.34
2026-05-29,4673,4702,4664,4675,4546.62
2026-06-03,4735,4816,4728,4801,4554.94
2026-06-04,4792,4817,4731,4733,4562.98
2026-06-05,4722,4723,4676,4705,4568.56
2026-06-08,4717,4759,4717,4733,4575.54
2026-06-09,4726,4745,4660,4700,4581.48
2026-06-10,4710,4731,4689,4720,4586.36
2026-06-11,4717,4741,4717,4722,4590.76
2026-06-12,4732,4735,4587,4629,4590.54
2026-06-15,4608,4619,4597,4603,4589.02
2026-06-16,4597,4691,4594,4685,4591.16
2026-06-18,4650,4730,4650,4691,4592.42
2026-06-19,4689,4766,4687,4729,4594.32
2026-06-22,4748,4808,4748,4775,4597.14
2026-06-23,4775,4823,4727,4756,4600.26
2026-06-24,4742,4777,4721,4730,4605.58
2026-06-25,4703,4703,4611,4649,4607.88
2026-06-26,4660,4715,4642,4655,4612.06
