Timestamp (UTC),Open,High,Low,Close,"FCPO Jan27: MA ‌ma‌ (50,C,ma,0)"
2025-08-06,4186,4186,4186,4186,
2025-08-08,4185,4185,4184,4184,
2025-09-24,4130,4130,4130,4130,
2025-10-08,4285,4285,4285,4285,
2025-10-10,4324,4324,4300,4300,
2025-10-14,4306,4306,4306,4306,
2025-10-15,4304,4335,4304,4335,
2025-10-31,4134,4134,4134,4134,
2025-11-06,4153,4153,4153,4153,
2025-11-10,4133,4133,4133,4133,
2025-11-14,4106,4106,4106,4106,
2025-11-19,4170,4170,4170,4170,
2025-11-20,4139,4139,4139,4139,
2025-11-21,4065,4065,4055,4055,
2025-11-24,4054,4054,4047,4047,
2025-11-25,4014,4014,4001,4002,
2025-11-27,4030,4031,4030,4031,
2025-12-08,4093,4093,4093,4093,
2025-12-11,4094,4094,4060,4060,
2025-12-12,4060,4060,4026,4026,
2025-12-15,4005,4005,4005,4005,
2025-12-16,3983,3983,3952,3963,
2025-12-17,3963,3972,3960,3972,
2025-12-18,4015,4015,3973,3977,
2025-12-19,3980,3980,3918,3918,
2025-12-22,3950,3982,3948,3980,
2025-12-23,4003,4020,4003,4011,
2025-12-24,4021,4021,4004,4009,
2025-12-26,3999,4013,3999,4005,
2025-12-30,4025,4049,4025,4049,
2025-12-31,4018,4019,4004,4007,
2026-01-02,3985,3985,3980,3980,
2026-01-05,4008,4008,4008,4008,
2026-01-06,4000,4017,3987,3987,
2026-01-07,4004,4018,3986,4018,
2026-01-08,4043,4048,4043,4048,
2026-01-09,4024,4074,4024,4031,
2026-01-12,4029,4100,4021,4099,
2026-01-13,4100,4132,4042,4070,
2026-01-14,4072,4100,4047,4047,
2026-01-15,4042,4044,3979,3979,
2026-01-16,3985,4077,3985,4077,
2026-01-19,4050,4070,4040,4068,
2026-01-20,4074,4105,4074,4085,
2026-01-21,4108,4135,4099,4135,
2026-01-22,4168,4170,4152,4154,
2026-01-23,4128,4129,4090,4116,
2026-01-26,4124,4150,4112,4112,
2026-01-27,4111,4159,4109,4159,
2026-01-28,4163,4163,4126,4135,4081.58
2026-01-29,4146,4178,4137,4166,4081.18
2026-01-30,4162,4162,4093,4109,4079.68
2026-02-03,4087,4115,4087,4109,4079.26
2026-02-04,4108,4151,4108,4151,4076.58
2026-02-05,4138,4167,4125,4157,4073.72
2026-02-06,4140,4140,4124,4125,4070.1
2026-02-09,4112,4112,4108,4108,4065.56
2026-02-10,4098,4098,4035,4035,4063.58
2026-02-11,4067,4082,4027,4049,4061.5
2026-02-12,4056,4056,4005,4020,4059.24
2026-02-13,4020,4021,3970,4010,4057.32
2026-02-19,4040,4113,4040,4113,4056.18
2026-02-20,4107,4126,4087,4108,4055.56
2026-02-23,4082,4092,4061,4070,4055.86
2026-02-24,4075,4103,4049,4058,4056.08
2026-02-25,4047,4077,4042,4047,4056.98
2026-02-26,4041,4044,4006,4010,4056.56
2026-02-27,4034,4048,4018,4033,4055.36
2026-03-02,4068,4140,4068,4139,4056.94
2026-03-03,4150,4176,4132,4176,4059.94
2026-03-04,4180,4185,4148,4166,4063.16
2026-03-05,4152,4244,4149,4165,4067.2
2026-03-06,4199,4301,4179,4300,4073.76
2026-03-09,4646,4646,4354,4374,4081.7
2026-03-10,4365,4393,4233,4290,4089.14
2026-03-11,4300,4336,4266,4336,4096.26
2026-03-12,4339,4415,4326,4373,4103.5
2026-03-13,4382,4429,4372,4404,4111.4
2026-03-16,4450,4480,4430,4477,4120.84
2026-03-17,4449,4461,4396,4396,4127.78
2026-03-18,4430,4438,4309,4348,4134.6
2026-03-19,4399,4482,4369,4443,4143.86
2026-03-24,4426,4440,4374,4397,4151.64
2026-03-25,4399,4409,4359,4405,4160
2026-03-26,4392,4489,4392,4488,4169.4
2026-03-27,4491,4524,4470,4511,4178.66
2026-03-30,4515,4660,4515,4647,4190.98
2026-03-31,4657,4698,4599,4686,4202.72
2026-04-01,4732,4746,4580,4590,4213.12
2026-04-02,4585,4686,4551,4613,4224.44
2026-04-03,4663,4667,4630,4658,4238.02
2026-04-06,4652,4682,4622,4657,4249.62
2026-04-07,4680,4692,4615,4617,4260.6
2026-04-08,4650,4650,4450,4465,4268.2
2026-04-09,4442,4555,4442,4546,4276.42
2026-04-10,4551,4581,4450,4453,4282.4
2026-04-13,4491,4506,4445,4493,4289.94
2026-04-14,4481,4496,4405,4422,4296.14
2026-04-15,4386,4427,4377,4416,4301.28
2026-04-16,4410,4440,4370,4421,4307
2026-04-17,4410,4439,4386,4388,4311.44
2026-04-20,4410,4435,4398,4432,4317.9
2026-04-21,4414,4535,4403,4510,4325.92
2026-04-22,4541,4602,4523,4594,4334.78
2026-04-23,4594,4600,4551,4557,4342.78
2026-04-24,4558,4631,4558,4603,4352.34
2026-04-27,4626,4626,4566,4571,4361.6
2026-04-28,4578,4592,4547,4575,4372.4
2026-04-29,4561,4637,4545,4634,4384.1
2026-04-30,4636,4668,4608,4619,4396.08
2026-05-04,4651,4668,4607,4646,4408.8
2026-05-05,4658,4713,4645,4708,4420.7
2026-05-06,4697,4711,4595,4605,4430.64
2026-05-07,4621,4630,4543,4565,4440.54
