Timestamp (UTC),Open,High,Low,Close
2025-10-14,4277,4277,4277,4277
2025-10-30,4118,4118,4118,4118
2026-01-14,4027,4027,4025,4025
2026-01-21,4083,4090,4083,4090
2026-01-22,4117,4117,4110,4117
2026-01-23,4081,4085,4055,4081
2026-01-26,4083,4114,4083,4089
2026-01-28,4050,4050,4020,4020
2026-01-30,4020,4020,4020,4020
2026-02-10,3998,3998,3980,3980
2026-02-11,3965,3965,3965,3965
2026-02-12,3983,3983,3983,3983
2026-02-13,3930,3930,3930,3930
2026-02-19,3994,4030,3994,4030
2026-02-20,4050,4074,4046,4055
2026-02-23,4053,4055,4040,4052
2026-02-24,4040,4043,4017,4027
2026-02-25,4038,4045,4030,4030
2026-02-26,4003,4015,3986,3986
2026-02-27,4024,4031,4000,4005
2026-03-04,4120,4120,4120,4120
2026-03-05,4111,4183,4105,4176
2026-03-06,4160,4195,4160,4195
2026-03-09,4380,4380,4261,4261
2026-03-10,4169,4169,4169,4169
2026-03-11,4250,4250,4204,4204
2026-03-12,4249,4314,4248,4290
2026-03-13,4312,4350,4288,4326
2026-03-16,4343,4349,4319,4343
2026-03-17,4303,4327,4302,4308
2026-03-18,4296,4296,4211,4265
2026-03-19,4329,4377,4253,4377
2026-03-24,4329,4329,4280,4280
2026-03-25,4266,4285,4266,4285
2026-03-26,4298,4420,4298,4400
2026-03-27,4413,4474,4404,4452
2026-03-30,4478,4543,4472,4543
2026-03-31,4563,4629,4563,4613
2026-04-01,4631,4631,4485,4485
2026-04-02,4530,4556,4499,4499
2026-04-03,4542,4542,4500,4531
2026-04-06,4489,4557,4482,4552
2026-04-07,4563,4563,4517,4517
2026-04-08,4374,4421,4358,4380
2026-04-09,4364,4473,4364,4473
2026-04-10,4478,4485,4377,4377
2026-04-14,4346,4351,4346,4351
2026-04-15,4336,4347,4335,4345
2026-04-16,4322,4329,4322,4329
2026-04-17,4348,4365,4340,4340
2026-04-20,4349,4365,4345,4365
2026-04-21,4341,4440,4341,4440
2026-04-22,4506,4514,4495,4503
2026-04-23,4497,4500,4467,4469
2026-04-24,4537,4545,4497,4545
2026-04-27,4500,4501,4490,4491
2026-04-28,4478,4503,4473,4503
2026-04-30,4576,4576,4541,4541
2026-05-04,4514,4569,4514,4566
2026-05-05,4571,4612,4565,4606
2026-05-06,4573,4587,4511,4511
2026-05-07,4540,4540,4480,4507
2026-05-08,4488,4517,4475,4475
2026-05-11,4513,4513,4511,4511
2026-05-12,4472,4500,4463,4500
2026-05-13,4502,4505,4458,4484
2026-05-14,4462,4462,4433,4433
2026-05-15,4444,4444,4424,4424
2026-05-18,4511,4520,4508,4510
2026-05-19,4536,4575,4523,4570
2026-05-20,4541,4614,4520,4603
2026-05-21,4550,4561,4494,4495
2026-05-22,4518,4518,4506,4508
2026-05-25,4482,4505,4482,4505
2026-05-26,4493,4548,4481,4548
2026-05-28,4557,4585,4556,4574
2026-05-29,4608,4608,4565,4565
2026-06-03,4630,4683,4630,4677
2026-06-04,4685,4685,4624,4635
2026-06-05,4600,4600,4580,4582
2026-06-08,4614,4635,4600,4624
2026-06-09,4613,4643,4572,4586
2026-06-10,4587,4606,4583,4595
2026-06-11,4610,4621,4606,4609
2026-06-12,4609,4610,4508,4508
2026-06-15,4527,4527,4502,4502
2026-06-16,4539,4597,4530,4597
2026-06-18,4598,4631,4588,4598
2026-06-19,4604,4662,4597,4630
2026-06-22,4675,4690,4664,4687
2026-06-23,4698,4698,4628,4660
2026-06-24,4639,4668,4635,4644
2026-06-25,4620,4623,4547,4570
2026-06-26,4602,4628,4557,4581
