Timestamp (UTC),Open,High,Low,Close,"FCPO Mar27: MA ‌ma‌ (50,C,ma,0)"
2025-10-10,4323,4323,4323,4323,
2025-10-21,4330,4330,4330,4330,
2025-11-18,4150,4150,4150,4150,
2025-11-21,4060,4060,4060,4060,
2025-11-26,3995,3995,3995,3995,
2025-11-27,4030,4030,4030,4030,
2025-12-08,4093,4093,4093,4093,
2025-12-15,4004,4004,4004,4004,
2025-12-19,3947,3955,3936,3936,
2025-12-22,3980,3980,3976,3976,
2026-01-07,3989,3989,3989,3989,
2026-01-08,4038,4038,4038,4038,
2026-01-13,4038,4053,4031,4053,
2026-01-14,4071,4075,4054,4059,
2026-01-15,4032,4034,3962,3962,
2026-01-16,3982,4050,3982,4050,
2026-01-19,4055,4066,4055,4066,
2026-01-20,4074,4100,4068,4100,
2026-01-21,4101,4123,4101,4123,
2026-01-22,4155,4155,4141,4150,
2026-01-23,4119,4119,4085,4090,
2026-01-26,4140,4140,4110,4110,
2026-01-27,4099,4130,4099,4130,
2026-01-28,4133,4133,4114,4120,
2026-01-29,4152,4156,4147,4156,
2026-01-30,4150,4150,4076,4087,
2026-02-03,4080,4105,4080,4090,
2026-02-04,4119,4130,4109,4130,
2026-02-05,4122,4149,4122,4137,
2026-02-06,4111,4111,4089,4089,
2026-02-09,4083,4083,4083,4083,
2026-02-10,4065,4065,4031,4031,
2026-02-11,4061,4062,4017,4027,
2026-02-12,4034,4040,3993,3993,
2026-02-13,3977,4001,3977,4001,
2026-02-19,4031,4089,4031,4089,
2026-02-20,4086,4110,4085,4100,
2026-02-23,4080,4086,4067,4086,
2026-02-24,4085,4089,4051,4066,
2026-02-25,4075,4075,4048,4048,
2026-02-26,4034,4035,4009,4009,
2026-02-27,4033,4051,4024,4032,
2026-03-02,4115,4131,4115,4131,
2026-03-03,4138,4160,4133,4158,
2026-03-04,4178,4178,4139,4165,
2026-03-05,4198,4228,4162,4162,
2026-03-06,4181,4280,4167,4280,
2026-03-09,4535,4556,4326,4332,
2026-03-10,4303,4310,4230,4281,
2026-03-11,4238,4298,4225,4281,4099.62
2026-03-12,4286,4369,4281,4337,4099.9
2026-03-13,4351,4391,4342,4380,4100.9
2026-03-16,4398,4446,4384,4442,4106.74
2026-03-17,4393,4419,4351,4351,4112.56
2026-03-18,4382,4385,4287,4339,4119.44
2026-03-19,4386,4458,4336,4444,4127.72
2026-03-24,4395,4402,4353,4359,4133.04
2026-03-25,4334,4391,4328,4391,4140.78
2026-03-26,4383,4478,4383,4470,4151.46
2026-03-27,4463,4516,4462,4492,4161.78
2026-03-30,4518,4655,4507,4634,4174.68
2026-03-31,4638,4687,4592,4675,4187.42
2026-04-01,4699,4722,4560,4562,4197.6
2026-04-02,4551,4649,4551,4571,4207.84
2026-04-03,4610,4611,4588,4590,4220.4
2026-04-06,4621,4624,4580,4613,4231.66
2026-04-07,4629,4638,4580,4580,4241.94
2026-04-08,4455,4473,4418,4461,4249.16
2026-04-09,4429,4530,4429,4520,4257.1
2026-04-10,4542,4546,4429,4429,4262.68
2026-04-13,4469,4478,4436,4463,4270.14
2026-04-14,4436,4448,4388,4388,4275.7
2026-04-15,4357,4400,4357,4392,4280.94
2026-04-16,4361,4422,4354,4411,4286.76
2026-04-17,4383,4413,4368,4369,4291.02
2026-04-20,4394,4414,4394,4412,4297.52
2026-04-21,4396,4510,4396,4488,4305.48
2026-04-22,4509,4576,4509,4573,4314.34
2026-04-23,4543,4563,4524,4528,4322.16
2026-04-24,4563,4615,4561,4588,4332.14
2026-04-27,4598,4598,4555,4555,4341.58
2026-04-28,4565,4574,4510,4565,4352.26
2026-04-29,4548,4613,4538,4613,4363.98
2026-04-30,4623,4654,4595,4595,4376.02
2026-05-04,4597,4648,4592,4634,4388.68
2026-05-05,4631,4691,4631,4678,4400.46
2026-05-06,4678,4678,4579,4593,4410.32
2026-05-07,4605,4612,4529,4564,4419.88
2026-05-08,4538,4574,4517,4532,4429.2
2026-05-11,4580,4584,4561,4561,4439.46
2026-05-12,4563,4571,4508,4557,4450.42
2026-05-13,4568,4570,4515,4546,4460.7
2026-05-14,4551,4563,4492,4503,4468.14
2026-05-15,4490,4520,4475,4516,4475.3
2026-05-18,4550,4600,4550,4587,4483.74
2026-05-19,4575,4664,4575,4644,4493.38
2026-05-20,4657,4709,4595,4671,4501.2
2026-05-21,4678,4694,4571,4573,4506.02
2026-05-22,4584,4605,4559,4586,4512.12
2026-05-25,4579,4607,4541,4583,4518.16
2026-05-26,4568,4622,4556,4622,4523.86
2026-05-28,4648,4670,4640,4646,4529.18
2026-05-29,4669,4696,4654,4664,4533.62
2026-06-03,4735,4800,4720,4788,4542.36
2026-06-04,4781,4800,4713,4717,4549.92
2026-06-05,4710,4724,4663,4693,4554.9
2026-06-08,4721,4753,4709,4726,4562.24
2026-06-09,4725,4737,4651,4693,4568.28
2026-06-10,4695,4721,4679,4698,4572.84
2026-06-11,4693,4729,4693,4713,4577.26
2026-06-12,4719,4723,4573,4623,4577.04
2026-06-15,4599,4612,4588,4591,4575.36
2026-06-16,4592,4685,4587,4679,4577.7
2026-06-18,4651,4725,4651,4686,4580
2026-06-19,4709,4754,4678,4715,4582.5
2026-06-22,4709,4795,4709,4760,4585.44
2026-06-23,4749,4816,4719,4746,4588.76
2026-06-24,4732,4765,4713,4724,4594.02
2026-06-25,4715,4715,4607,4643,4596.48
2026-06-26,4657,4707,4639,4649,4600.88
