Timestamp (UTC),Open,High,Low,Close,"FCPO May27: MA ‌ma‌ (50,C,ma,0)"
2025-08-15,4278,4278,4278,4278,
2025-08-19,4332,4332,4332,4332,
2025-09-29,4179,4179,4179,4179,
2025-10-08,4250,4250,4250,4250,
2025-12-19,3894,3894,3894,3894,
2026-01-15,4011,4033,4011,4033,
2026-01-16,3975,4050,3975,4050,
2026-01-20,4082,4085,4070,4078,
2026-01-21,4076,4110,4070,4110,
2026-01-22,4130,4147,4130,4140,
2026-01-23,4100,4100,4075,4080,
2026-01-26,4107,4135,4090,4090,
2026-01-27,4091,4091,4091,4091,
2026-01-28,4114,4114,4104,4104,
2026-01-30,4071,4071,4045,4053,
2026-02-03,4055,4074,4055,4069,
2026-02-04,4081,4081,4080,4080,
2026-02-06,4080,4087,4080,4087,
2026-02-11,3990,3995,3990,3995,
2026-02-12,4009,4020,3981,3981,
2026-02-19,4016,4058,4016,4058,
2026-02-20,4058,4090,4056,4075,
2026-02-23,4059,4072,4059,4070,
2026-02-24,4080,4080,4037,4056,
2026-02-25,4036,4057,4036,4036,
2026-02-26,4018,4022,4013,4013,
2026-02-27,4027,4044,4010,4020,
2026-03-02,4110,4110,4110,4110,
2026-03-04,4157,4157,4157,4157,
2026-03-05,4169,4196,4169,4196,
2026-03-06,4189,4220,4162,4220,
2026-03-09,4437,4438,4298,4302,
2026-03-10,4237,4237,4206,4224,
2026-03-11,4207,4259,4207,4240,
2026-03-12,4270,4333,4252,4310,
2026-03-13,4335,4369,4322,4346,
2026-03-16,4370,4401,4349,4401,
2026-03-17,4352,4377,4337,4337,
2026-03-18,4344,4345,4241,4311,
2026-03-19,4344,4425,4313,4420,
2026-03-24,4342,4345,4327,4327,
2026-03-25,4309,4359,4309,4359,
2026-03-26,4401,4468,4399,4467,
2026-03-27,4445,4506,4445,4496,
2026-03-30,4496,4632,4492,4619,
2026-03-31,4647,4678,4577,4656,
2026-04-01,4638,4644,4531,4531,
2026-04-02,4577,4598,4577,4595,
2026-04-03,4581,4581,4556,4573,
2026-04-06,4580,4599,4542,4577,4221.52
2026-04-07,4589,4594,4559,4559,4227.14
2026-04-08,4463,4463,4400,4403,4228.56
2026-04-09,4390,4511,4390,4504,4235.06
2026-04-10,4516,4522,4410,4410,4238.26
2026-04-13,4446,4447,4434,4444,4249.26
2026-04-14,4394,4394,4381,4381,4256.22
2026-04-15,4362,4362,4359,4359,4262.4
2026-04-16,4345,4401,4345,4396,4268.76
2026-04-17,4375,4388,4370,4370,4273.96
2026-04-20,4395,4395,4395,4395,4279.06
2026-04-21,4376,4488,4367,4488,4287.22
2026-04-22,4494,4543,4494,4535,4296.12
2026-04-23,4514,4528,4488,4501,4304.32
2026-04-24,4548,4581,4533,4575,4313.74
2026-04-27,4545,4558,4522,4523,4323.14
2026-04-28,4532,4541,4507,4534,4332.44
2026-04-29,4536,4576,4507,4576,4342.36
2026-04-30,4571,4609,4556,4556,4351.74
2026-05-04,4557,4603,4555,4597,4363.78
2026-05-05,4599,4647,4597,4636,4376.88
2026-05-06,4633,4633,4537,4538,4386.48
2026-05-07,4569,4569,4496,4531,4395.6
2026-05-08,4503,4540,4501,4511,4404.42
2026-05-11,4549,4549,4527,4527,4413.84
2026-05-12,4515,4525,4472,4525,4423.62
2026-05-13,4528,4531,4477,4515,4433.66
2026-05-14,4493,4523,4457,4461,4442.48
2026-05-15,4461,4476,4439,4472,4449.72
2026-05-18,4551,4554,4536,4548,4457.54
2026-05-19,4548,4620,4546,4620,4466.02
2026-05-20,4577,4654,4560,4631,4474.24
2026-05-21,4633,4648,4522,4523,4478.66
2026-05-22,4536,4551,4513,4540,4484.98
2026-05-25,4525,4544,4510,4540,4490.98
2026-05-26,4529,4565,4504,4565,4496.08
2026-05-28,4595,4619,4586,4599,4501.14
2026-05-29,4614,4645,4605,4608,4505.28
2026-06-03,4675,4735,4667,4733,4513.2
2026-06-04,4718,4740,4651,4651,4520
2026-06-05,4662,4663,4607,4635,4524.3
2026-06-08,4665,4703,4650,4654,4530.84
2026-06-09,4667,4674,4597,4639,4536.44
2026-06-10,4653,4666,4624,4649,4540.08
2026-06-11,4646,4673,4646,4661,4543.38
2026-06-12,4655,4665,4530,4573,4542.46
2026-06-15,4558,4571,4546,4554,4540.42
2026-06-16,4551,4639,4551,4638,4542.56
2026-06-18,4605,4675,4605,4643,4543.52
2026-06-19,4646,4705,4640,4665,4545.36
2026-06-22,4709,4740,4695,4708,4547.98
2026-06-23,4697,4770,4675,4703,4550.86
2026-06-24,4686,4702,4670,4684,4556.48
2026-06-25,4673,4673,4576,4604,4558.48
2026-06-26,4628,4660,4598,4612,4562.52
