date,series,today_value,pct_rank_rolling,pct_rank_monthly,pct_rank_seasonal,z_rolling,z_monthly,z_seasonal,seasonal_low_sample,overall_disagreement,flagged_windows,max_pct_gap,max_z_gap
2026-06-11,Spot,42.0,85.0,82.8,80.0,0.75,0.56,0.52,False,False,,5.0,0.23
2026-06-11,S1M2M,16.0,90.0,82.2,73.3,1.85,0.62,0.55,False,True,rolling_20d,16.7,1.3
2026-06-11,S2M3M,-8.0,5.0,17.2,13.3,-1.56,-0.68,-0.62,False,False,,12.2,0.94
2026-06-11,S3M4M,1.0,60.0,56.4,43.3,0.44,0.14,0.04,False,False,,16.7,0.4
2026-06-11,S4M5M,2.0,70.0,66.9,71.1,0.54,0.29,0.36,False,False,,4.2,0.25
2026-06-11,S5M6M,5.0,95.0,78.7,79.1,1.47,0.57,0.79,False,False,,16.3,0.9
2026-06-11,S6M7M,-4.0,20.0,29.0,33.7,-0.89,-0.38,-0.34,False,False,,13.7,0.55
2026-06-11,S7M8M,9.0,100.0,90.2,89.5,2.16,0.96,0.83,False,True,rolling_20d,10.5,1.33
2026-06-11,S8M9M,-12.0,0.0,13.4,14.0,-2.35,-0.64,-0.58,False,True,rolling_20d,14.0,1.77
2026-06-11,S9M10M,-2.0,30.0,40.3,40.5,-0.32,-0.09,-0.08,False,False,,10.5,0.24
2026-06-11,S10M11M,9.0,76.3,78.0,86.8,0.81,0.55,0.61,False,False,,10.5,0.26
