datetime,date,tenor,tenor_offset,contract_month,open,high,low,close,avol,bvol,mfi,true_range
2023-03-16 03:30:00,2023-03-16,+9M,9,Jan24,-3,-3,-4,-4,0,10,100000.0,1.0
2023-03-16 06:30:00,2023-03-16,+9M,9,Jan24,-4,-4,-4,-4,0,3,0.0,0.0
2023-03-16 13:00:00,2023-03-16,+9M,9,Jan24,-3,-3,-3,-3,0,1,0.0,1.0
2023-03-17 02:30:00,2023-03-17,+9M,9,Jan24,-3,-3,-4,-4,0,6,166666.6667,1.0
2023-03-17 03:30:00,2023-03-17,+9M,9,Jan24,-4,-4,-4,-4,0,4,0.0,0.0
2023-03-20 06:30:00,2023-03-20,+9M,9,Jan24,-4,-1,-6,-5,5,34,128205.1282,5.0
2023-03-20 07:30:00,2023-03-20,+9M,9,Jan24,-5,-5,-6,-5,2,12,71428.57143,1.0
2023-03-20 09:30:00,2023-03-20,+9M,9,Jan24,-5,-5,-5,-5,2,0,0.0,0.0
2023-03-20 14:00:00,2023-03-20,+9M,9,Jan24,-5,-5,-5,-5,0,2,0.0,0.0
2023-03-21 02:30:00,2023-03-21,+9M,9,Jan24,-4,-4,-4,-4,1,0,0.0,1.0
2023-03-21 03:30:00,2023-03-21,+9M,9,Jan24,-4,-4,-4,-4,4,0,0.0,0.0
2023-03-21 07:00:00,2023-03-21,+9M,9,Jan24,-4,-4,-4,-4,2,0,0.0,0.0
2023-03-21 09:00:00,2023-03-21,+9M,9,Jan24,-2,-2,-2,-2,2,0,0.0,2.0
2023-03-22 02:30:00,2023-03-22,+9M,9,Jan24,-2,-2,-2,-2,4,0,0.0,0.0
2023-03-22 03:30:00,2023-03-22,+9M,9,Jan24,-2,-2,-5,-5,1,3,750000.0,3.0
2023-03-22 14:00:00,2023-03-22,+9M,9,Jan24,-2,-2,-2,-2,2,0,0.0,3.0
2023-03-23 02:30:00,2023-03-23,+9M,9,Jan24,-2,-2,-2,-2,10,0,0.0,0.0
2023-03-23 08:30:00,2023-03-23,+9M,9,Jan24,-4,-4,-4,-4,0,1,0.0,2.0
2023-03-24 06:30:00,2023-03-24,+9M,9,Jan24,-4,-4,-4,-4,0,2,0.0,0.0
2023-03-24 07:30:00,2023-03-24,+9M,9,Jan24,-4,-3,-4,-3,0,2,500000.0,1.0
2023-03-24 08:30:00,2023-03-24,+9M,9,Jan24,-4,-1,-5,-4,3,13,250000.0,4.0
2023-03-27 06:30:00,2023-03-27,+9M,9,Jan24,-1,-1,-1,-1,3,0,0.0,3.0
2023-03-27 07:30:00,2023-03-27,+9M,9,Jan24,-4,-4,-4,-4,0,1,0.0,3.0
2023-03-27 13:00:00,2023-03-27,+9M,9,Jan24,-4,-4,-5,-5,0,3,333333.3333,1.0
2023-03-28 06:30:00,2023-03-28,+9M,9,Jan24,-4,0,-4,0,6,4,400000.0,5.0
2023-03-28 07:30:00,2023-03-28,+9M,9,Jan24,0,0,-1,0,10,0,100000.0,1.0
2023-03-28 08:30:00,2023-03-28,+9M,9,Jan24,0,0,0,0,3,0,0.0,0.0
2023-03-28 09:30:00,2023-03-28,+9M,9,Jan24,-3,-3,-4,-4,0,11,90909.09091,4.0
2023-03-28 13:00:00,2023-03-28,+9M,9,Jan24,-3,-3,-3,-3,1,0,0.0,1.0
2023-03-29 02:30:00,2023-03-29,+9M,9,Jan24,-1,-1,-1,-1,1,0,0.0,2.0
2023-03-29 06:30:00,2023-03-29,+9M,9,Jan24,-1,-1,-1,-1,2,0,0.0,0.0
2023-03-29 07:30:00,2023-03-29,+9M,9,Jan24,-1,-1,-1,-1,1,0,0.0,0.0
2023-03-31 03:30:00,2023-03-31,+9M,9,Jan24,-3,-3,-3,-3,0,1,0.0,2.0
2023-04-03 06:30:00,2023-04-03,+9M,9,Jan24,-3,-3,-3,-3,0,1,0.0,0.0
2023-04-03 07:30:00,2023-04-03,+9M,9,Jan24,-3,-3,-3,-3,0,3,0.0,0.0
2023-04-03 08:30:00,2023-04-03,+9M,9,Jan24,-3,-3,-3,-3,1,0,0.0,0.0
2023-04-04 08:30:00,2023-04-04,+9M,9,Jan24,-4,-3,-4,-3,0,11,90909.09091,1.0
2023-04-05 06:30:00,2023-04-05,+9M,9,Jan24,-2,-2,-2,-2,2,0,0.0,1.0
2023-04-05 07:30:00,2023-04-05,+9M,9,Jan24,-3,-3,-3,-3,0,2,0.0,1.0
2023-04-05 08:30:00,2023-04-05,+9M,9,Jan24,-2,-2,-2,-2,1,0,0.0,1.0
2023-04-06 08:30:00,2023-04-06,+9M,9,Jan24,-2,-2,-2,-2,0,2,0.0,0.0
2023-04-07 02:30:00,2023-04-07,+9M,9,Jan24,-4,-4,-4,-4,0,11,0.0,2.0
2023-04-07 03:30:00,2023-04-07,+9M,9,Jan24,-3,-3,-3,-3,3,0,0.0,1.0
2023-04-07 08:30:00,2023-04-07,+9M,9,Jan24,-4,-4,-4,-4,0,6,0.0,1.0
2023-04-07 09:30:00,2023-04-07,+9M,9,Jan24,-3,-3,-3,-3,1,0,0.0,1.0
2023-04-10 02:30:00,2023-04-10,+9M,9,Jan24,-4,-4,-4,-4,0,10,0.0,1.0
2023-04-10 08:30:00,2023-04-10,+9M,9,Jan24,-1,-1,-1,-1,4,0,0.0,3.0
2023-04-10 13:00:00,2023-04-10,+9M,9,Jan24,-2,-2,-2,-2,0,2,0.0,1.0
2023-04-12 03:30:00,2023-04-12,+9M,9,Jan24,-1,-1,-1,-1,2,0,0.0,1.0
2023-04-12 06:30:00,2023-04-12,+9M,9,Jan24,-3,-3,-3,-3,0,1,0.0,2.0
2023-04-12 08:30:00,2023-04-12,+9M,9,Jan24,-2,-1,-2,-1,38,0,26315.78947,2.0
2023-04-12 13:00:00,2023-04-12,+9M,9,Jan24,-2,-2,-2,-2,0,3,0.0,1.0
2023-04-13 02:30:00,2023-04-13,+9M,9,Jan24,-2,-2,-2,-2,0,1,0.0,0.0
2023-04-13 08:30:00,2023-04-13,+9M,9,Jan24,-2,-2,-2,-2,0,3,0.0,0.0
2023-04-13 15:00:00,2023-04-13,+9M,9,Jan24,-3,-3,-3,-3,0,10,0.0,1.0
2023-04-14 02:30:00,2023-04-14,+9M,9,Jan24,-3,-3,-3,-3,0,3,0.0,0.0
2023-04-14 09:30:00,2023-04-14,+9M,9,Jan24,-4,-4,-4,-4,0,10,0.0,1.0
2023-04-17 08:30:00,2023-04-17,+8M,8,Jan24,-3,-3,-3,-3,0,1,0.0,1.0
2023-04-17 09:30:00,2023-04-17,+8M,8,Jan24,-2,-2,-2,-2,6,0,0.0,1.0
2023-04-18 02:30:00,2023-04-18,+8M,8,Jan24,-2,-2,-2,-2,1,0,0.0,0.0
2023-04-18 02:30:00,2023-04-18,+9M,9,Feb24,5,5,5,5,1,0,0.0,
2023-04-18 08:30:00,2023-04-18,+8M,8,Jan24,-4,-4,-4,-4,0,3,0.0,2.0
2023-04-18 09:30:00,2023-04-18,+8M,8,Jan24,-3,-3,-3,-3,4,0,0.0,1.0
